entry,at,order
"The player ""とーち @ OCY4-ehNwS"" passed the room ownership to ""うみ。 @ lVD5yytn3g"".",2025-09-01T14:52:18.494Z,175673833849400
"The player ""とーち @ OCY4-ehNwS"" quits the game with a stack of 2375.",2025-09-01T14:02:56.085Z,175673537608500
"The player ""らねおか @ XaClitYV1x"" quits the game with a stack of 3040.",2025-09-01T14:02:37.820Z,175673535782000
"""Doc @ rNZKJiwrNl"" shows a A♠.",2025-09-01T14:02:36.228Z,175673535622800
"-- ending hand #163 --",2025-09-01T14:02:34.166Z,175673535416602
"""Doc @ rNZKJiwrNl"" collected 110 from pot",2025-09-01T14:02:34.166Z,175673535416601
"Uncalled bet of 140 returned to ""Doc @ rNZKJiwrNl""",2025-09-01T14:02:34.166Z,175673535416600
"""meisei @ ofYDapRcOx"" folds",2025-09-01T14:02:33.342Z,175673535334200
"""Doc @ rNZKJiwrNl"" bets 140",2025-09-01T14:02:21.550Z,175673534155000
"The admin ""とーち @ OCY4-ehNwS"" enqueued the game stop on next hand.",2025-09-01T14:02:15.820Z,175673533582000
"Turn: A♣, 2♠, Q♠ [K♣]",2025-09-01T14:01:51.203Z,175673531120300
"""meisei @ ofYDapRcOx"" checks",2025-09-01T14:01:50.381Z,175673531038100
"""Doc @ rNZKJiwrNl"" checks",2025-09-01T14:01:33.156Z,175673529315600
"Flop:  [A♣, 2♠, Q♠]",2025-09-01T14:01:30.478Z,175673529047800
"""Doc @ rNZKJiwrNl"" calls 50",2025-09-01T14:01:29.655Z,175673528965500
"""らねおか @ XaClitYV1x"" folds",2025-09-01T14:01:20.722Z,175673528072200
"""meisei @ ofYDapRcOx"" raises to 50",2025-09-01T14:01:19.892Z,175673527989200
"""konasho @ f_d8ebrXPg"" folds",2025-09-01T14:01:02.977Z,175673526297700
"""ばどえあー @ cAulXwsuYc"" folds",2025-09-01T14:01:01.477Z,175673526147700
"""とーち @ OCY4-ehNwS"" folds",2025-09-01T14:00:58.345Z,175673525834500
"""うみ。 @ lVD5yytn3g"" folds",2025-09-01T14:00:57.202Z,175673525720200
"""パンドラ @ pL49LPNYjQ"" folds",2025-09-01T14:00:55.902Z,175673525590200
"""arash! @ lSXafQ4XJ9"" folds",2025-09-01T14:00:54.685Z,175673525468500
