entry,at,order
"The player ""こうちゃん @ GZ5hCGHCjq"" quits the game with a stack of 2260.",2025-09-01T14:01:54.605Z,175673531460501
"The player ""mo' @ -WgKDrZMvL"" quits the game with a stack of 2318.",2025-09-01T14:01:54.605Z,175673531460500
"-- ending hand #81 --",2025-09-01T14:01:51.667Z,175673531166702
"""mo' @ -WgKDrZMvL"" collected 20 from pot",2025-09-01T14:01:51.667Z,175673531166701
"Uncalled bet of 10 returned to ""mo' @ -WgKDrZMvL""",2025-09-01T14:01:51.667Z,175673531166700
"""こうちゃん @ GZ5hCGHCjq"" folds",2025-09-01T14:01:50.829Z,175673531082900
"""mo' @ -WgKDrZMvL"" posts a big blind of 20",2025-09-01T14:01:21.673Z,175673528167308
"""こうちゃん @ GZ5hCGHCjq"" posts a small blind of 10",2025-09-01T14:01:21.673Z,175673528167307
"Player stacks: #6 ""mo' @ -WgKDrZMvL"" (2308) | #7 ""こうちゃん @ GZ5hCGHCjq"" (2270)",2025-09-01T14:01:21.673Z,175673528167304
"-- starting hand #81 (id: owgx6ufqpdnp)  (No Limit Texas Hold'em) (dealer: ""こうちゃん @ GZ5hCGHCjq"") --",2025-09-01T14:01:21.673Z,175673528167303
"The player ""goto-neo @ DEsmp5YN9f"" quits the game with a stack of 2993.",2025-09-01T14:01:21.673Z,175673528167302
"The player ""Ramune @ QBTw2JRIw5"" quits the game with a stack of 2653.",2025-09-01T14:01:21.673Z,175673528167301
"The player ""カイン @ fcHKjLeyz-"" quits the game with a stack of 3405.",2025-09-01T14:01:21.673Z,175673528167300
"-- ending hand #80 --",2025-09-01T14:01:18.733Z,175673527873302
"""mo' @ -WgKDrZMvL"" collected 50 from pot",2025-09-01T14:01:18.733Z,175673527873301
"Uncalled bet of 30 returned to ""mo' @ -WgKDrZMvL""",2025-09-01T14:01:18.733Z,175673527873300
"""Ramune @ QBTw2JRIw5"" folds",2025-09-01T14:01:17.922Z,175673527792200
"""こうちゃん @ GZ5hCGHCjq"" folds",2025-09-01T14:01:17.072Z,175673527707200
"""mo' @ -WgKDrZMvL"" raises to 50",2025-09-01T14:01:12.287Z,175673527228700
"""カイン @ fcHKjLeyz-"" folds",2025-09-01T14:01:06.909Z,175673526690900
"""goto-neo @ DEsmp5YN9f"" folds",2025-09-01T14:01:03.965Z,175673526396500
"""Ramune @ QBTw2JRIw5"" posts a big blind of 20",2025-09-01T14:01:01.225Z,175673526122510
"""こうちゃん @ GZ5hCGHCjq"" posts a small blind of 10",2025-09-01T14:01:01.225Z,175673526122509
"Player stacks: #3 ""goto-neo @ DEsmp5YN9f"" (2993) | #4 ""カイン @ fcHKjLeyz-"" (3405) | #6 ""mo' @ -WgKDrZMvL"" (2278) | #7 ""こうちゃん @ GZ5hCGHCjq"" (2280) | #8 ""Ramune @ QBTw2JRIw5"" (2673)",2025-09-01T14:01:01.225Z,175673526122503
"-- starting hand #80 (id: iul6fgtpkieb)  (No Limit Texas Hold'em) (dealer: ""mo' @ -WgKDrZMvL"") --",2025-09-01T14:01:01.225Z,175673526122502
"The player ""Hibari @ W8YavHzibV"" quits the game with a stack of 2620.",2025-09-01T14:01:01.225Z,175673526122501
"The player ""らねおか @ XaClitYV1x"" quits the game with a stack of 3190.",2025-09-01T14:01:01.225Z,175673526122500
"-- ending hand #79 --",2025-09-01T14:00:58.213Z,175673525821302
"""らねおか @ XaClitYV1x"" collected 130 from pot",2025-09-01T14:00:58.213Z,175673525821301
"Uncalled bet of 110 returned to ""らねおか @ XaClitYV1x""",2025-09-01T14:00:58.213Z,175673525821300
"""Ramune @ QBTw2JRIw5"" folds",2025-09-01T14:00:57.341Z,175673525734100
"""こうちゃん @ GZ5hCGHCjq"" folds",2025-09-01T14:00:49.643Z,175673524964300
"""mo' @ -WgKDrZMvL"" folds",2025-09-01T14:00:48.161Z,175673524816100
"""カイン @ fcHKjLeyz-"" folds",2025-09-01T14:00:46.961Z,175673524696100
"""goto-neo @ DEsmp5YN9f"" folds",2025-09-01T14:00:45.697Z,175673524569700
"""らねおか @ XaClitYV1x"" raises to 160",2025-09-01T14:00:44.436Z,175673524443600
"""Hibari @ W8YavHzibV"" folds",2025-09-01T14:00:39.321Z,175673523932100
"""Ramune @ QBTw2JRIw5"" raises to 50",2025-09-01T14:00:38.107Z,175673523810700
"""こうちゃん @ GZ5hCGHCjq"" posts a big blind of 20",2025-09-01T14:00:35.365Z,175673523536510
"""mo' @ -WgKDrZMvL"" posts a small blind of 10",2025-09-01T14:00:35.365Z,175673523536509
"Player stacks: #1 ""らねおか @ XaClitYV1x"" (3110) | #3 ""goto-neo @ DEsmp5YN9f"" (2993) | #4 ""カイン @ fcHKjLeyz-"" (3405) | #6 ""mo' @ -WgKDrZMvL"" (2288) | #7 ""こうちゃん @ GZ5hCGHCjq"" (2300) | #8 ""Ramune @ QBTw2JRIw5"" (2723) | #9 ""Hibari @ W8YavHzibV"" (2620)",2025-09-01T14:00:35.365Z,175673523536501
"-- starting hand #79 (id: dnga4eat9teu)  (No Limit Texas Hold'em) (dealer: ""カイン @ fcHKjLeyz-"") --",2025-09-01T14:00:35.365Z,175673523536500
"-- ending hand #78 --",2025-09-01T14:00:32.431Z,175673523243102
"""Hibari @ W8YavHzibV"" collected 50 from pot",2025-09-01T14:00:32.431Z,175673523243101
"Uncalled bet of 20 returned to ""Hibari @ W8YavHzibV""",2025-09-01T14:00:32.431Z,175673523243100
"""mo' @ -WgKDrZMvL"" folds",2025-09-01T14:00:31.629Z,175673523162900
"""カイン @ fcHKjLeyz-"" folds",2025-09-01T14:00:30.461Z,175673523046100
"""goto-neo @ DEsmp5YN9f"" folds",2025-09-01T14:00:29.234Z,175673522923400
"""らねおか @ XaClitYV1x"" folds",2025-09-01T14:00:27.962Z,175673522796200
"""Hibari @ W8YavHzibV"" raises to 40",2025-09-01T14:00:26.723Z,175673522672300
"""Ramune @ QBTw2JRIw5"" folds",2025-09-01T14:00:23.779Z,175673522377900
"""こうちゃん @ GZ5hCGHCjq"" folds",2025-09-01T14:00:22.514Z,175673522251400
"""mo' @ -WgKDrZMvL"" posts a big blind of 20",2025-09-01T14:00:21.073Z,175673522107310
"""カイン @ fcHKjLeyz-"" posts a small blind of 10",2025-09-01T14:00:21.073Z,175673522107309
"Player stacks: #1 ""らねおか @ XaClitYV1x"" (3110) | #3 ""goto-neo @ DEsmp5YN9f"" (2993) | #4 ""カイン @ fcHKjLeyz-"" (3415) | #6 ""mo' @ -WgKDrZMvL"" (2308) | #7 ""こうちゃん @ GZ5hCGHCjq"" (2300) | #8 ""Ramune @ QBTw2JRIw5"" (2723) | #9 ""Hibari @ W8YavHzibV"" (2590)",2025-09-01T14:00:21.073Z,175673522107301
"-- starting hand #78 (id: pogpwdn6xqqu)  (No Limit Texas Hold'em) (dealer: ""goto-neo @ DEsmp5YN9f"") --",2025-09-01T14:00:21.073Z,175673522107300
"-- ending hand #77 --",2025-09-01T14:00:18.152Z,175673521815202
"""こうちゃん @ GZ5hCGHCjq"" collected 110 from pot",2025-09-01T14:00:18.152Z,175673521815201
"Uncalled bet of 110 returned to ""こうちゃん @ GZ5hCGHCjq""",2025-09-01T14:00:18.152Z,175673521815200
"""mo' @ -WgKDrZMvL"" folds",2025-09-01T14:00:17.297Z,175673521729700
"""カイン @ fcHKjLeyz-"" folds",2025-09-01T14:00:16.067Z,175673521606700
"""goto-neo @ DEsmp5YN9f"" folds",2025-09-01T14:00:14.839Z,175673521483900
"""らねおか @ XaClitYV1x"" folds",2025-09-01T14:00:13.583Z,175673521358300
"""Hibari @ W8YavHzibV"" folds",2025-09-01T14:00:12.379Z,175673521237900
"""Ramune @ QBTw2JRIw5"" folds",2025-09-01T14:00:11.203Z,175673521120300
"""こうちゃん @ GZ5hCGHCjq"" raises to 150",2025-09-01T14:00:09.936Z,175673520993600
"""mo' @ -WgKDrZMvL"" raises to 40",2025-09-01T14:00:04.706Z,175673520470600
"""カイン @ fcHKjLeyz-"" posts a big blind of 20",2025-09-01T13:59:58.730Z,175673519873010
"""goto-neo @ DEsmp5YN9f"" posts a small blind of 10",2025-09-01T13:59:58.730Z,175673519873009
"Player stacks: #1 ""らねおか @ XaClitYV1x"" (3110) | #3 ""goto-neo @ DEsmp5YN9f"" (3003) | #4 ""カイン @ fcHKjLeyz-"" (3435) | #6 ""mo' @ -WgKDrZMvL"" (2348) | #7 ""こうちゃん @ GZ5hCGHCjq"" (2230) | #8 ""Ramune @ QBTw2JRIw5"" (2723) | #9 ""Hibari @ W8YavHzibV"" (2590)",2025-09-01T13:59:58.730Z,175673519873001
"-- starting hand #77 (id: h5ps37rws5z6)  (No Limit Texas Hold'em) (dealer: ""らねおか @ XaClitYV1x"") --",2025-09-01T13:59:58.730Z,175673519873000
"-- ending hand #76 --",2025-09-01T13:59:55.769Z,175673519576902
"""goto-neo @ DEsmp5YN9f"" collected 20 from pot",2025-09-01T13:59:55.769Z,175673519576901
"Uncalled bet of 10 returned to ""goto-neo @ DEsmp5YN9f""",2025-09-01T13:59:55.769Z,175673519576900
"""らねおか @ XaClitYV1x"" folds",2025-09-01T13:59:54.927Z,175673519492700
"""Hibari @ W8YavHzibV"" folds",2025-09-01T13:59:51.881Z,175673519188100
"""Ramune @ QBTw2JRIw5"" folds",2025-09-01T13:59:50.717Z,175673519071700
"""こうちゃん @ GZ5hCGHCjq"" folds",2025-09-01T13:59:49.512Z,175673518951200
"""mo' @ -WgKDrZMvL"" folds",2025-09-01T13:59:48.298Z,175673518829800
"""カイン @ fcHKjLeyz-"" folds",2025-09-01T13:59:44.908Z,175673518490800
"""goto-neo @ DEsmp5YN9f"" posts a big blind of 20",2025-09-01T13:59:41.962Z,175673518196210
"""らねおか @ XaClitYV1x"" posts a small blind of 10",2025-09-01T13:59:41.962Z,175673518196209
"Player stacks: #1 ""らねおか @ XaClitYV1x"" (3120) | #3 ""goto-neo @ DEsmp5YN9f"" (2993) | #4 ""カイン @ fcHKjLeyz-"" (3435) | #6 ""mo' @ -WgKDrZMvL"" (2348) | #7 ""こうちゃん @ GZ5hCGHCjq"" (2230) | #8 ""Ramune @ QBTw2JRIw5"" (2723) | #9 ""Hibari @ W8YavHzibV"" (2590)",2025-09-01T13:59:41.962Z,175673518196201
"-- starting hand #76 (id: 8aiihukdg3ct)  (No Limit Texas Hold'em) (dealer: ""Hibari @ W8YavHzibV"") --",2025-09-01T13:59:41.962Z,175673518196200
"""らねおか @ XaClitYV1x"" shows a 3♥, 8♠.",2025-09-01T13:59:39.907Z,175673517990700
"-- ending hand #75 --",2025-09-01T13:59:38.317Z,175673517831702
"""Hibari @ W8YavHzibV"" collected 120 from pot",2025-09-01T13:59:38.317Z,175673517831701
"Uncalled bet of 180 returned to ""Hibari @ W8YavHzibV""",2025-09-01T13:59:38.317Z,175673517831700
"""こうちゃん @ GZ5hCGHCjq"" folds",2025-09-01T13:59:37.486Z,175673517748600
"""らねおか @ XaClitYV1x"" folds",2025-09-01T13:59:33.236Z,175673517323600
"""Hibari @ W8YavHzibV"" raises to 230",2025-09-01T13:59:32.018Z,175673517201800
"""Ramune @ QBTw2JRIw5"" folds",2025-09-01T13:59:19.363Z,175673515936300
"""こうちゃん @ GZ5hCGHCjq"" raises to 50",2025-09-01T13:59:18.188Z,175673515818800
"""mo' @ -WgKDrZMvL"" folds",2025-09-01T13:59:13.240Z,175673515324000
"""カイン @ fcHKjLeyz-"" folds",2025-09-01T13:59:12.079Z,175673515207900
"""goto-neo @ DEsmp5YN9f"" folds",2025-09-01T13:59:10.874Z,175673515087400
"""らねおか @ XaClitYV1x"" posts a big blind of 20",2025-09-01T13:59:09.005Z,175673514900510
"""Hibari @ W8YavHzibV"" posts a small blind of 10",2025-09-01T13:59:09.005Z,175673514900509
"Player stacks: #1 ""らねおか @ XaClitYV1x"" (3140) | #3 ""goto-neo @ DEsmp5YN9f"" (2993) | #4 ""カイン @ fcHKjLeyz-"" (3435) | #6 ""mo' @ -WgKDrZMvL"" (2348) | #7 ""こうちゃん @ GZ5hCGHCjq"" (2280) | #8 ""Ramune @ QBTw2JRIw5"" (2723) | #9 ""Hibari @ W8YavHzibV"" (2520)",2025-09-01T13:59:09.005Z,175673514900501
"-- starting hand #75 (id: zgswbxenrudn)  (No Limit Texas Hold'em) (dealer: ""Ramune @ QBTw2JRIw5"") --",2025-09-01T13:59:09.005Z,175673514900500
"-- ending hand #74 --",2025-09-01T13:59:06.093Z,175673514609302
"""こうちゃん @ GZ5hCGHCjq"" collected 330 from pot",2025-09-01T13:59:06.093Z,175673514609301
"Uncalled bet of 80 returned to ""こうちゃん @ GZ5hCGHCjq""",2025-09-01T13:59:06.093Z,175673514609300
"""mo' @ -WgKDrZMvL"" folds",2025-09-01T13:59:05.232Z,175673514523200
"""こうちゃん @ GZ5hCGHCjq"" bets 80",2025-09-01T13:58:46.253Z,175673512625300
"""mo' @ -WgKDrZMvL"" checks",2025-09-01T13:58:26.215Z,175673510621500
"Flop:  [9♠, 6♥, A♦]",2025-09-01T13:58:22.900Z,175673510290000
"""mo' @ -WgKDrZMvL"" calls 150",2025-09-01T13:58:22.091Z,175673510209100
"""Hibari @ W8YavHzibV"" folds",2025-09-01T13:58:18.739Z,175673509873900
"""Ramune @ QBTw2JRIw5"" folds",2025-09-01T13:58:16.354Z,175673509635400
"""こうちゃん @ GZ5hCGHCjq"" raises to 150",2025-09-01T13:58:13.721Z,175673509372100
"""mo' @ -WgKDrZMvL"" raises to 50",2025-09-01T13:58:08.259Z,175673508825900
"""カイン @ fcHKjLeyz-"" folds",2025-09-01T13:58:03.272Z,175673508327200
"""goto-neo @ DEsmp5YN9f"" folds",2025-09-01T13:58:02.036Z,175673508203600
"""らねおか @ XaClitYV1x"" folds",2025-09-01T13:58:00.707Z,175673508070700
"""Hibari @ W8YavHzibV"" posts a big blind of 20",2025-09-01T13:57:59.257Z,175673507925710
"""Ramune @ QBTw2JRIw5"" posts a small blind of 10",2025-09-01T13:57:59.257Z,175673507925709
"Player stacks: #1 ""らねおか @ XaClitYV1x"" (3140) | #3 ""goto-neo @ DEsmp5YN9f"" (2993) | #4 ""カイン @ fcHKjLeyz-"" (3435) | #6 ""mo' @ -WgKDrZMvL"" (2498) | #7 ""こうちゃん @ GZ5hCGHCjq"" (2100) | #8 ""Ramune @ QBTw2JRIw5"" (2733) | #9 ""Hibari @ W8YavHzibV"" (2540)",2025-09-01T13:57:59.257Z,175673507925701
"-- starting hand #74 (id: qnwzs0tocwok)  (No Limit Texas Hold'em) (dealer: ""こうちゃん @ GZ5hCGHCjq"") --",2025-09-01T13:57:59.257Z,175673507925700
"""らねおか @ XaClitYV1x"" shows a 3♥, 7♠.",2025-09-01T13:57:57.169Z,175673507716900
"-- ending hand #73 --",2025-09-01T13:57:55.610Z,175673507561002
"""こうちゃん @ GZ5hCGHCjq"" collected 120 from pot",2025-09-01T13:57:55.610Z,175673507561001
"Uncalled bet of 170 returned to ""こうちゃん @ GZ5hCGHCjq""",2025-09-01T13:57:55.610Z,175673507561000
"""mo' @ -WgKDrZMvL"" folds",2025-09-01T13:57:54.751Z,175673507475100
"""Ramune @ QBTw2JRIw5"" folds",2025-09-01T13:57:53.585Z,175673507358500
"""こうちゃん @ GZ5hCGHCjq"" raises to 220",2025-09-01T13:57:52.311Z,175673507231100
"""mo' @ -WgKDrZMvL"" raises to 50",2025-09-01T13:57:38.330Z,175673505833000
"""カイン @ fcHKjLeyz-"" folds",2025-09-01T13:57:29.888Z,175673504988800
"""goto-neo @ DEsmp5YN9f"" folds",2025-09-01T13:57:28.674Z,175673504867400
"""らねおか @ XaClitYV1x"" folds",2025-09-01T13:57:27.414Z,175673504741400
"""Hibari @ W8YavHzibV"" folds",2025-09-01T13:57:26.179Z,175673504617900
"""Ramune @ QBTw2JRIw5"" posts a big blind of 20",2025-09-01T13:57:23.416Z,175673504341610
"""こうちゃん @ GZ5hCGHCjq"" posts a small blind of 10",2025-09-01T13:57:23.416Z,175673504341609
"Player stacks: #1 ""らねおか @ XaClitYV1x"" (3140) | #3 ""goto-neo @ DEsmp5YN9f"" (2993) | #4 ""カイン @ fcHKjLeyz-"" (3435) | #6 ""mo' @ -WgKDrZMvL"" (2548) | #7 ""こうちゃん @ GZ5hCGHCjq"" (2030) | #8 ""Ramune @ QBTw2JRIw5"" (2753) | #9 ""Hibari @ W8YavHzibV"" (2540)",2025-09-01T13:57:23.416Z,175673504341601
"-- starting hand #73 (id: unp3bubkyewq)  (No Limit Texas Hold'em) (dealer: ""mo' @ -WgKDrZMvL"") --",2025-09-01T13:57:23.416Z,175673504341600
"-- ending hand #72 --",2025-09-01T13:57:20.476Z,175673504047602
"""Ramune @ QBTw2JRIw5"" collected 650 from pot",2025-09-01T13:57:20.476Z,175673504047601
"Uncalled bet of 2103 returned to ""Ramune @ QBTw2JRIw5""",2025-09-01T13:57:20.476Z,175673504047600
"""こうちゃん @ GZ5hCGHCjq"" folds",2025-09-01T13:57:19.668Z,175673503966800
"""mo' @ -WgKDrZMvL"" folds",2025-09-01T13:57:02.249Z,175673502224900
"""Ramune @ QBTw2JRIw5"" raises to 2403 and go all in",2025-09-01T13:56:58.646Z,175673501864600
"""こうちゃん @ GZ5hCGHCjq"" raises to 300",2025-09-01T13:56:20.381Z,175673498038100
"""mo' @ -WgKDrZMvL"" calls 50",2025-09-01T13:56:05.535Z,175673496553500
"""カイン @ fcHKjLeyz-"" folds",2025-09-01T13:56:01.883Z,175673496188300
"""goto-neo @ DEsmp5YN9f"" folds",2025-09-01T13:56:00.562Z,175673496056200
"""らねおか @ XaClitYV1x"" folds",2025-09-01T13:55:59.324Z,175673495932400
"""Hibari @ W8YavHzibV"" folds",2025-09-01T13:55:58.059Z,175673495805900
"""Ramune @ QBTw2JRIw5"" raises to 50",2025-09-01T13:55:56.860Z,175673495686000
"""こうちゃん @ GZ5hCGHCjq"" posts a big blind of 20",2025-09-01T13:55:52.417Z,175673495241710
"""mo' @ -WgKDrZMvL"" posts a small blind of 10",2025-09-01T13:55:52.417Z,175673495241709
"Player stacks: #1 ""らねおか @ XaClitYV1x"" (3140) | #3 ""goto-neo @ DEsmp5YN9f"" (2993) | #4 ""カイン @ fcHKjLeyz-"" (3435) | #6 ""mo' @ -WgKDrZMvL"" (2598) | #7 ""こうちゃん @ GZ5hCGHCjq"" (2330) | #8 ""Ramune @ QBTw2JRIw5"" (2403) | #9 ""Hibari @ W8YavHzibV"" (2540)",2025-09-01T13:55:52.417Z,175673495241701
"-- starting hand #72 (id: gnb9eaxsoyfv)  (No Limit Texas Hold'em) (dealer: ""カイン @ fcHKjLeyz-"") --",2025-09-01T13:55:52.417Z,175673495241700
"-- ending hand #71 --",2025-09-01T13:55:49.514Z,175673494951402
"""mo' @ -WgKDrZMvL"" collected 20 from pot",2025-09-01T13:55:49.514Z,175673494951401
"Uncalled bet of 10 returned to ""mo' @ -WgKDrZMvL""",2025-09-01T13:55:49.514Z,175673494951400
"""カイン @ fcHKjLeyz-"" folds",2025-09-01T13:55:48.688Z,175673494868800
"""goto-neo @ DEsmp5YN9f"" folds",2025-09-01T13:55:47.452Z,175673494745200
"""らねおか @ XaClitYV1x"" folds",2025-09-01T13:55:46.105Z,175673494610500
"""Hibari @ W8YavHzibV"" folds",2025-09-01T13:55:44.869Z,175673494486900
"""Ramune @ QBTw2JRIw5"" folds",2025-09-01T13:55:43.658Z,175673494365800
"""こうちゃん @ GZ5hCGHCjq"" folds",2025-09-01T13:55:42.440Z,175673494244000
"""mo' @ -WgKDrZMvL"" posts a big blind of 20",2025-09-01T13:55:40.441Z,175673494044110
"""カイン @ fcHKjLeyz-"" posts a small blind of 10",2025-09-01T13:55:40.441Z,175673494044109
"Player stacks: #1 ""らねおか @ XaClitYV1x"" (3140) | #3 ""goto-neo @ DEsmp5YN9f"" (2993) | #4 ""カイン @ fcHKjLeyz-"" (3445) | #6 ""mo' @ -WgKDrZMvL"" (2588) | #7 ""こうちゃん @ GZ5hCGHCjq"" (2330) | #8 ""Ramune @ QBTw2JRIw5"" (2403) | #9 ""Hibari @ W8YavHzibV"" (2540)",2025-09-01T13:55:40.441Z,175673494044101
"-- starting hand #71 (id: talj7uobsslf)  (No Limit Texas Hold'em) (dealer: ""goto-neo @ DEsmp5YN9f"") --",2025-09-01T13:55:40.441Z,175673494044100
"""Hibari @ W8YavHzibV"" shows a A♠, A♣.",2025-09-01T13:55:37.280Z,175673493728000
"""らねおか @ XaClitYV1x"" shows a Q♣, A♥.",2025-09-01T13:55:36.898Z,175673493689800
"-- ending hand #70 --",2025-09-01T13:55:36.098Z,175673493609802
"""Hibari @ W8YavHzibV"" collected 330 from pot",2025-09-01T13:55:36.098Z,175673493609801
"Uncalled bet of 320 returned to ""Hibari @ W8YavHzibV""",2025-09-01T13:55:36.098Z,175673493609800
"""らねおか @ XaClitYV1x"" folds",2025-09-01T13:55:35.262Z,175673493526200
"""Hibari @ W8YavHzibV"" raises to 470",2025-09-01T13:55:31.220Z,175673493122000
"""カイン @ fcHKjLeyz-"" folds",2025-09-01T13:55:11.075Z,175673491107500
"""goto-neo @ DEsmp5YN9f"" folds",2025-09-01T13:55:09.253Z,175673490925300
"""らねおか @ XaClitYV1x"" raises to 150",2025-09-01T13:55:08.010Z,175673490801000
"""Hibari @ W8YavHzibV"" raises to 50",2025-09-01T13:54:59.190Z,175673489919000
"""Ramune @ QBTw2JRIw5"" folds",2025-09-01T13:54:55.795Z,175673489579500
"""こうちゃん @ GZ5hCGHCjq"" folds",2025-09-01T13:54:54.525Z,175673489452500
"""mo' @ -WgKDrZMvL"" folds",2025-09-01T13:54:51.501Z,175673489150100
"""カイン @ fcHKjLeyz-"" posts a big blind of 20",2025-09-01T13:54:49.184Z,175673488918410
"""goto-neo @ DEsmp5YN9f"" posts a small blind of 10",2025-09-01T13:54:49.184Z,175673488918409
"Player stacks: #1 ""らねおか @ XaClitYV1x"" (3290) | #3 ""goto-neo @ DEsmp5YN9f"" (3003) | #4 ""カイン @ fcHKjLeyz-"" (3465) | #6 ""mo' @ -WgKDrZMvL"" (2588) | #7 ""こうちゃん @ GZ5hCGHCjq"" (2330) | #8 ""Ramune @ QBTw2JRIw5"" (2403) | #9 ""Hibari @ W8YavHzibV"" (2360)",2025-09-01T13:54:49.184Z,175673488918401
"-- starting hand #70 (id: yynwslwc8hzz)  (No Limit Texas Hold'em) (dealer: ""らねおか @ XaClitYV1x"") --",2025-09-01T13:54:49.184Z,175673488918400
"-- ending hand #69 --",2025-09-01T13:54:46.280Z,175673488628002
"""Ramune @ QBTw2JRIw5"" collected 130 from pot",2025-09-01T13:54:46.280Z,175673488628001
"Uncalled bet of 100 returned to ""Ramune @ QBTw2JRIw5""",2025-09-01T13:54:46.280Z,175673488628000
"""こうちゃん @ GZ5hCGHCjq"" folds",2025-09-01T13:54:45.477Z,175673488547700
"""goto-neo @ DEsmp5YN9f"" folds",2025-09-01T13:54:34.409Z,175673487440900
"""らねおか @ XaClitYV1x"" folds",2025-09-01T13:54:33.120Z,175673487312000
"""Hibari @ W8YavHzibV"" folds",2025-09-01T13:54:29.378Z,175673486937800
"""Ramune @ QBTw2JRIw5"" raises to 150",2025-09-01T13:54:28.173Z,175673486817300
"""こうちゃん @ GZ5hCGHCjq"" raises to 50",2025-09-01T13:54:20.889Z,175673486088900
"""mo' @ -WgKDrZMvL"" folds",2025-09-01T13:54:16.123Z,175673485612300
"""カイン @ fcHKjLeyz-"" folds",2025-09-01T13:54:14.953Z,175673485495300
"""goto-neo @ DEsmp5YN9f"" posts a big blind of 20",2025-09-01T13:54:11.464Z,175673485146410
"""らねおか @ XaClitYV1x"" posts a small blind of 10",2025-09-01T13:54:11.464Z,175673485146409
"Player stacks: #1 ""らねおか @ XaClitYV1x"" (3300) | #3 ""goto-neo @ DEsmp5YN9f"" (3023) | #4 ""カイン @ fcHKjLeyz-"" (3465) | #6 ""mo' @ -WgKDrZMvL"" (2588) | #7 ""こうちゃん @ GZ5hCGHCjq"" (2380) | #8 ""Ramune @ QBTw2JRIw5"" (2323) | #9 ""Hibari @ W8YavHzibV"" (2360)",2025-09-01T13:54:11.464Z,175673485146401
"-- starting hand #69 (id: bzmkiyzti7lo)  (No Limit Texas Hold'em) (dealer: ""Hibari @ W8YavHzibV"") --",2025-09-01T13:54:11.464Z,175673485146400
"-- ending hand #68 --",2025-09-01T13:54:08.560Z,175673484856002
"""こうちゃん @ GZ5hCGHCjq"" collected 50 from pot",2025-09-01T13:54:08.560Z,175673484856001
"Uncalled bet of 30 returned to ""こうちゃん @ GZ5hCGHCjq""",2025-09-01T13:54:08.560Z,175673484856000
"""らねおか @ XaClitYV1x"" folds",2025-09-01T13:54:07.756Z,175673484775600
"""Hibari @ W8YavHzibV"" folds",2025-09-01T13:54:06.541Z,175673484654100
"""Ramune @ QBTw2JRIw5"" folds",2025-09-01T13:54:05.357Z,175673484535700
"""こうちゃん @ GZ5hCGHCjq"" raises to 50",2025-09-01T13:54:04.096Z,175673484409600
"""mo' @ -WgKDrZMvL"" folds",2025-09-01T13:54:00.869Z,175673484086900
