player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"ばどえあー",cAulXwsuYc,2025-09-08T13:35:31.501Z,,2000,,1795,-205
"夏狼",5q3LcF3nPG,2025-09-08T13:33:36.528Z,,2500,,2875,375
"ノガード",dlzwhIfu_I,2025-09-08T13:32:25.616Z,,3250,,2950,-300
"GIL RAIM",Oo-rx1G24B,2025-09-08T12:58:26.576Z,,4234,,3755,-479
"粗茶",GtqOGZOqIV,2025-09-08T12:54:28.234Z,2025-09-08T13:17:15.898Z,2000,0,0,-2000
"らねおか",XaClitYV1x,2025-09-08T12:11:11.309Z,2025-09-08T12:48:56.559Z,2500,2490,0,-10
"はなよ",FEJiL4ZWA6,2025-09-08T12:04:26.729Z,2025-09-08T13:35:31.498Z,3000,13502,0,10502
"じゃがいもはかせ",B-M_0uQTzX,2025-09-08T12:00:37.469Z,2025-09-08T12:54:28.213Z,3000,0,0,-3000
"waho",SnN6w1bdXE,2025-09-08T11:14:22.209Z,2025-09-08T14:03:29.395Z,4339,2250,0,-2089
"るも",7n59-giX1P,2025-09-08T11:13:33.289Z,2025-09-08T11:20:02.611Z,2000,2455,0,455
"konasho",f_d8ebrXPg,2025-09-08T11:05:03.655Z,,3285,,2495,-790
"GIL RAIM",Oo-rx1G24B,2025-09-08T11:05:39.552Z,2025-09-08T12:42:04.579Z,2500,1335,0,-1165
"Hibari",W8YavHzibV,2025-09-08T11:01:30.273Z,2025-09-08T12:54:28.222Z,3000,4896,0,1896
"池田",9zseyWfctH,2025-09-08T11:01:30.275Z,2025-09-08T12:25:32.251Z,2370,2350,0,-20
"とーち",OCY4-ehNwS,2025-09-08T11:01:30.286Z,2025-09-08T11:20:02.603Z,2500,1780,0,-720
"mo'",-WgKDrZMvL,2025-09-08T11:01:30.288Z,2025-09-08T11:20:47.981Z,2500,2610,0,110
"goto-neo",DEsmp5YN9f,2025-09-08T11:01:30.279Z,2025-09-08T11:20:02.566Z,3000,2940,0,-60
"ノガード",dlzwhIfu_I,2025-09-08T11:01:30.282Z,2025-09-08T13:31:23.311Z,2500,0,0,-2500
