entry,at,order
"The player ""waho @ SnN6w1bdXE"" quits the game with a stack of 2250.",2025-09-08T14:03:29.391Z,175734020939100
"-- ending hand #153 --",2025-09-08T14:03:19.706Z,175734019970602
"""waho @ SnN6w1bdXE"" collected 240 from pot",2025-09-08T14:03:19.706Z,175734019970601
"Uncalled bet of 240 returned to ""waho @ SnN6w1bdXE""",2025-09-08T14:03:19.706Z,175734019970600
"""ばどえあー @ cAulXwsuYc"" folds",2025-09-08T14:03:18.866Z,175734019886600
"""waho @ SnN6w1bdXE"" bets 240",2025-09-08T14:03:15.239Z,175734019523900
"""ばどえあー @ cAulXwsuYc"" checks",2025-09-08T14:02:36.951Z,175734015695100
"River: K♣, 9♠, K♦, 2♣ [4♦]",2025-09-08T14:02:17.396Z,175734013739600
"""waho @ SnN6w1bdXE"" checks",2025-09-08T14:02:16.582Z,175734013658200
"""ばどえあー @ cAulXwsuYc"" checks",2025-09-08T14:02:05.708Z,175734012570800
"Turn: K♣, 9♠, K♦ [2♣]",2025-09-08T14:02:02.282Z,175734012228200
"""ばどえあー @ cAulXwsuYc"" calls 40",2025-09-08T14:02:01.430Z,175734012143000
"The admin ""ノガード @ dlzwhIfu_I"" enqueued the game stop on next hand.",2025-09-08T14:01:56.844Z,175734011684400
"""waho @ SnN6w1bdXE"" bets 40",2025-09-08T14:01:34.104Z,175734009410400
"""ばどえあー @ cAulXwsuYc"" checks",2025-09-08T14:01:20.694Z,175734008069400
"Flop:  [K♣, 9♠, K♦]",2025-09-08T14:01:15.711Z,175734007571100
"""ばどえあー @ cAulXwsuYc"" calls 80",2025-09-08T14:01:14.892Z,175734007489200
"""waho @ SnN6w1bdXE"" raises to 80",2025-09-08T14:01:07.990Z,175734006799000
"""ばどえあー @ cAulXwsuYc"" calls 20",2025-09-08T14:00:58.114Z,175734005811400
"""konasho @ f_d8ebrXPg"" folds",2025-09-08T14:00:52.131Z,175734005213100
"""ノガード @ dlzwhIfu_I"" folds",2025-09-08T14:00:51.036Z,175734005103600
"""夏狼 @ 5q3LcF3nPG"" folds",2025-09-08T14:00:48.589Z,175734004858900
"""GIL RAIM @ Oo-rx1G24B"" folds",2025-09-08T14:00:45.793Z,175734004579300
"""waho @ SnN6w1bdXE"" posts a big blind of 20",2025-09-08T14:00:40.987Z,175734004098709
"""ばどえあー @ cAulXwsuYc"" posts a small blind of 10",2025-09-08T14:00:40.987Z,175734004098708
"Player stacks: #1 ""konasho @ f_d8ebrXPg"" (2495) | #2 ""ばどえあー @ cAulXwsuYc"" (1915) | #3 ""waho @ SnN6w1bdXE"" (2130) | #6 ""GIL RAIM @ Oo-rx1G24B"" (3755) | #7 ""夏狼 @ 5q3LcF3nPG"" (2875) | #8 ""ノガード @ dlzwhIfu_I"" (2950)",2025-09-08T14:00:40.987Z,175734004098701
