player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"とーち",OCY4-ehNwS,2025-09-08T13:24:45.046Z,,3212,,2830,-382
"goto-neo",DEsmp5YN9f,2025-09-08T12:47:47.117Z,2025-09-08T14:02:26.604Z,3000,3632,0,632
"IAMB",gjmiQ4-uAW,2025-09-08T12:45:32.920Z,,2500,,3426,926
"ねくと",ghJwIbOflM,2025-09-08T12:35:48.793Z,,3000,,2233,-767
"るも",7n59-giX1P,2025-09-08T12:33:06.586Z,2025-09-08T12:51:37.052Z,2000,1840,0,-160
"うみ。",lVD5yytn3g,2025-09-08T12:19:46.596Z,2025-09-08T14:03:29.834Z,3585,3130,0,-455
"こうちゃん",tOQgx5q4M5,2025-09-08T12:13:23.845Z,2025-09-08T12:31:36.418Z,3000,2970,0,-30
"わた",wX6LJEu-P9,2025-09-08T12:13:23.836Z,2025-09-08T12:31:36.414Z,3000,6099,0,3099
"らねおか",XaClitYV1x,2025-09-08T12:13:23.831Z,2025-09-08T12:18:54.329Z,2500,2345,0,-155
"るも",7n59-giX1P,2025-09-08T11:59:13.386Z,2025-09-08T12:31:36.410Z,2000,2045,0,45
"わた",wX6LJEu-P9,2025-09-08T11:59:13.390Z,2025-09-08T12:12:24.355Z,5479,2500,0,-2979
"はなよ",FEJiL4ZWA6,2025-09-08T11:27:16.086Z,2025-09-08T13:36:16.216Z,10752,8481,0,-2271
"るも",7n59-giX1P,2025-09-08T11:20:14.809Z,2025-09-08T11:58:20.876Z,2000,3074,0,1074
"カイン",fcHKjLeyz-,2025-09-08T11:20:14.807Z,2025-09-08T12:18:54.324Z,2000,4645,0,2645
"goto-neo",DEsmp5YN9f,2025-09-08T11:20:14.804Z,2025-09-08T12:45:06.162Z,3000,0,0,-3000
"とーち",OCY4-ehNwS,2025-09-08T11:20:14.802Z,2025-09-08T13:20:37.351Z,3285,2104,0,-1181
"mo'",-WgKDrZMvL,2025-09-08T11:20:14.811Z,2025-09-08T12:31:36.405Z,2500,5459,0,2959
