entry,at,order
"The player ""goto-neo @ DEsmp5YN9f"" passed the room ownership to ""ねくと @ ghJwIbOflM"".",2025-09-08T14:28:33.859Z,175734171385900
"The player ""うみ。 @ lVD5yytn3g"" quits the game with a stack of 3130.",2025-09-08T14:03:29.830Z,175734020983001
"The player ""IAMB @ gjmiQ4-uAW"" stand up with the stack of 3426.",2025-09-08T14:03:29.830Z,175734020983000
"-- ending hand #183 --",2025-09-08T14:03:26.893Z,175734020689302
"""ねくと @ ghJwIbOflM"" collected 20 from pot",2025-09-08T14:03:26.893Z,175734020689301
"Uncalled bet of 10 returned to ""ねくと @ ghJwIbOflM""",2025-09-08T14:03:26.893Z,175734020689300
"""うみ。 @ lVD5yytn3g"" folds",2025-09-08T14:03:26.059Z,175734020605900
"""IAMB @ gjmiQ4-uAW"" folds",2025-09-08T14:03:10.838Z,175734019083800
"""ねくと @ ghJwIbOflM"" posts a big blind of 20",2025-09-08T14:03:09.553Z,175734018955306
"""うみ。 @ lVD5yytn3g"" posts a small blind of 10",2025-09-08T14:03:09.553Z,175734018955305
"Player stacks: #2 ""IAMB @ gjmiQ4-uAW"" (3426) | #7 ""うみ。 @ lVD5yytn3g"" (3140) | #9 ""ねくと @ ghJwIbOflM"" (2223)",2025-09-08T14:03:09.553Z,175734018955301
"-- starting hand #183 (id: t1xxi1vwhbal)  (No Limit Texas Hold'em) (dead button) --",2025-09-08T14:03:09.553Z,175734018955300
"-- ending hand #182 --",2025-09-08T14:03:06.642Z,175734018664202
"""IAMB @ gjmiQ4-uAW"" collected 120 from pot",2025-09-08T14:03:06.642Z,175734018664201
"Uncalled bet of 180 returned to ""IAMB @ gjmiQ4-uAW""",2025-09-08T14:03:06.642Z,175734018664200
"""うみ。 @ lVD5yytn3g"" folds",2025-09-08T14:03:05.777Z,175734018577700
"""IAMB @ gjmiQ4-uAW"" bets 180",2025-09-08T14:03:03.758Z,175734018375800
"""うみ。 @ lVD5yytn3g"" checks",2025-09-08T14:02:50.255Z,175734017025500
"Turn: J♠, K♠, 9♠ [2♦]",2025-09-08T14:02:46.014Z,175734016601400
"""IAMB @ gjmiQ4-uAW"" checks",2025-09-08T14:02:45.170Z,175734016517000
"""うみ。 @ lVD5yytn3g"" checks",2025-09-08T14:02:42.639Z,175734016263900
"Flop:  [J♠, K♠, 9♠]",2025-09-08T14:02:39.028Z,175734015902800
"""うみ。 @ lVD5yytn3g"" calls 60",2025-09-08T14:02:38.219Z,175734015821900
"""IAMB @ gjmiQ4-uAW"" raises to 60",2025-09-08T14:02:32.479Z,175734015247900
"""ねくと @ ghJwIbOflM"" folds",2025-09-08T14:02:28.042Z,175734014804200
"""うみ。 @ lVD5yytn3g"" posts a big blind of 20",2025-09-08T14:02:26.596Z,175734014659607
"Dead Small Blind",2025-09-08T14:02:26.596Z,175734014659606
"Player stacks: #2 ""IAMB @ gjmiQ4-uAW"" (3366) | #7 ""うみ。 @ lVD5yytn3g"" (3200) | #9 ""ねくと @ ghJwIbOflM"" (2223)",2025-09-08T14:02:26.596Z,175734014659602
"-- starting hand #182 (id: y6mpx1pzblmn)  (No Limit Texas Hold'em) (dealer: ""IAMB @ gjmiQ4-uAW"") --",2025-09-08T14:02:26.596Z,175734014659601
"The player ""goto-neo @ DEsmp5YN9f"" quits the game with a stack of 3632.",2025-09-08T14:02:26.596Z,175734014659600
"-- ending hand #181 --",2025-09-08T14:02:23.615Z,175734014361502
"""うみ。 @ lVD5yytn3g"" collected 50 from pot",2025-09-08T14:02:23.615Z,175734014361501
"Uncalled bet of 26 returned to ""うみ。 @ lVD5yytn3g""",2025-09-08T14:02:23.615Z,175734014361500
"""goto-neo @ DEsmp5YN9f"" folds",2025-09-08T14:02:22.810Z,175734014281000
"""IAMB @ gjmiQ4-uAW"" folds",2025-09-08T14:02:22.000Z,175734014200000
"""ねくと @ ghJwIbOflM"" folds",2025-09-08T14:02:20.920Z,175734014092000
"""うみ。 @ lVD5yytn3g"" raises to 46",2025-09-08T14:02:18.009Z,175734013800900
"""goto-neo @ DEsmp5YN9f"" posts a big blind of 20",2025-09-08T14:02:13.583Z,175734013358307
"""IAMB @ gjmiQ4-uAW"" posts a small blind of 10",2025-09-08T14:02:13.583Z,175734013358306
"Player stacks: #2 ""IAMB @ gjmiQ4-uAW"" (3376) | #4 ""goto-neo @ DEsmp5YN9f"" (3652) | #7 ""うみ。 @ lVD5yytn3g"" (3170) | #9 ""ねくと @ ghJwIbOflM"" (2223)",2025-09-08T14:02:13.583Z,175734013358301
"-- starting hand #181 (id: zb7t1ixu2ds8)  (No Limit Texas Hold'em) (dealer: ""ねくと @ ghJwIbOflM"") --",2025-09-08T14:02:13.583Z,175734013358300
"-- ending hand #180 --",2025-09-08T14:02:10.580Z,175734013058002
"""うみ。 @ lVD5yytn3g"" collected 110 from pot",2025-09-08T14:02:10.580Z,175734013058001
"Uncalled bet of 36 returned to ""うみ。 @ lVD5yytn3g""",2025-09-08T14:02:10.580Z,175734013058000
"""IAMB @ gjmiQ4-uAW"" folds",2025-09-08T14:02:09.656Z,175734012965600
"""うみ。 @ lVD5yytn3g"" bets 36",2025-09-08T14:02:07.830Z,175734012783000
"""IAMB @ gjmiQ4-uAW"" checks",2025-09-08T14:02:00.077Z,175734012007700
"Flop:  [8♣, 3♣, K♠]",2025-09-08T14:01:58.235Z,175734011823500
"""IAMB @ gjmiQ4-uAW"" calls 50",2025-09-08T14:01:57.417Z,175734011741700
"""ねくと @ ghJwIbOflM"" folds",2025-09-08T14:01:54.391Z,175734011439100
"""うみ。 @ lVD5yytn3g"" raises to 50",2025-09-08T14:01:47.951Z,175734010795100
"""goto-neo @ DEsmp5YN9f"" folds",2025-09-08T14:01:43.416Z,175734010341600
"""IAMB @ gjmiQ4-uAW"" posts a big blind of 20",2025-09-08T14:01:41.821Z,175734010182107
"""ねくと @ ghJwIbOflM"" posts a small blind of 10",2025-09-08T14:01:41.821Z,175734010182106
"Player stacks: #2 ""IAMB @ gjmiQ4-uAW"" (3426) | #4 ""goto-neo @ DEsmp5YN9f"" (3652) | #7 ""うみ。 @ lVD5yytn3g"" (3110) | #9 ""ねくと @ ghJwIbOflM"" (2233)",2025-09-08T14:01:41.821Z,175734010182101
"-- starting hand #180 (id: cvxkkwnytbyj)  (No Limit Texas Hold'em) (dealer: ""うみ。 @ lVD5yytn3g"") --",2025-09-08T14:01:41.821Z,175734010182100
"-- ending hand #179 --",2025-09-08T14:01:38.917Z,175734009891702
"""ねくと @ ghJwIbOflM"" collected 20 from pot",2025-09-08T14:01:38.917Z,175734009891701
"Uncalled bet of 10 returned to ""ねくと @ ghJwIbOflM""",2025-09-08T14:01:38.917Z,175734009891700
"""うみ。 @ lVD5yytn3g"" folds",2025-09-08T14:01:38.036Z,175734009803600
"""goto-neo @ DEsmp5YN9f"" folds",2025-09-08T14:01:34.172Z,175734009417200
"""IAMB @ gjmiQ4-uAW"" folds",2025-09-08T14:01:33.155Z,175734009315500
"""ねくと @ ghJwIbOflM"" posts a big blind of 20",2025-09-08T14:01:32.108Z,175734009210807
"""うみ。 @ lVD5yytn3g"" posts a small blind of 10",2025-09-08T14:01:32.108Z,175734009210806
"Player stacks: #2 ""IAMB @ gjmiQ4-uAW"" (3426) | #4 ""goto-neo @ DEsmp5YN9f"" (3652) | #7 ""うみ。 @ lVD5yytn3g"" (3120) | #9 ""ねくと @ ghJwIbOflM"" (2223)",2025-09-08T14:01:32.108Z,175734009210801
"-- starting hand #179 (id: 5o4tbtoy2n7d)  (No Limit Texas Hold'em) (dealer: ""goto-neo @ DEsmp5YN9f"") --",2025-09-08T14:01:32.108Z,175734009210800
"-- ending hand #178 --",2025-09-08T14:01:29.144Z,175734008914402
"""うみ。 @ lVD5yytn3g"" collected 20 from pot",2025-09-08T14:01:29.144Z,175734008914401
"Uncalled bet of 10 returned to ""うみ。 @ lVD5yytn3g""",2025-09-08T14:01:29.144Z,175734008914400
"""goto-neo @ DEsmp5YN9f"" folds",2025-09-08T14:01:28.333Z,175734008833300
"""IAMB @ gjmiQ4-uAW"" folds",2025-09-08T14:01:27.323Z,175734008732300
"""ねくと @ ghJwIbOflM"" folds",2025-09-08T14:01:26.307Z,175734008630700
"""うみ。 @ lVD5yytn3g"" posts a big blind of 20",2025-09-08T14:01:23.811Z,175734008381108
"""goto-neo @ DEsmp5YN9f"" posts a small blind of 10",2025-09-08T14:01:23.811Z,175734008381107
"Player stacks: #2 ""IAMB @ gjmiQ4-uAW"" (3426) | #4 ""goto-neo @ DEsmp5YN9f"" (3662) | #7 ""うみ。 @ lVD5yytn3g"" (3110) | #9 ""ねくと @ ghJwIbOflM"" (2223)",2025-09-08T14:01:23.811Z,175734008381102
"-- starting hand #178 (id: no3qxzsvwv5b)  (No Limit Texas Hold'em) (dealer: ""IAMB @ gjmiQ4-uAW"") --",2025-09-08T14:01:23.811Z,175734008381101
"The player ""とーち @ OCY4-ehNwS"" stand up with the stack of 2830.",2025-09-08T14:01:23.811Z,175734008381100
"-- ending hand #177 --",2025-09-08T14:01:20.896Z,175734008089602
"""うみ。 @ lVD5yytn3g"" collected 980 from pot",2025-09-08T14:01:20.896Z,175734008089601
"Uncalled bet of 200 returned to ""うみ。 @ lVD5yytn3g""",2025-09-08T14:01:20.896Z,175734008089600
"""IAMB @ gjmiQ4-uAW"" folds",2025-09-08T14:01:20.065Z,175734008006500
"""うみ。 @ lVD5yytn3g"" bets 200",2025-09-08T14:01:18.475Z,175734007847500
"""IAMB @ gjmiQ4-uAW"" checks",2025-09-08T14:01:04.146Z,175734006414600
"Flop:  [K♠, K♦, 9♣]",2025-09-08T14:01:01.672Z,175734006167200
"""IAMB @ gjmiQ4-uAW"" calls 480",2025-09-08T14:01:00.857Z,175734006085700
"""うみ。 @ lVD5yytn3g"" raises to 480",2025-09-08T14:00:47.104Z,175734004710400
"""goto-neo @ DEsmp5YN9f"" folds",2025-09-08T14:00:02.661Z,175734000266100
"""IAMB @ gjmiQ4-uAW"" raises to 218",2025-09-08T14:00:01.583Z,175734000158300
"""ねくと @ ghJwIbOflM"" folds",2025-09-08T13:59:57.248Z,175733999724800
"""うみ。 @ lVD5yytn3g"" raises to 46",2025-09-08T13:59:54.611Z,175733999461100
"""とーち @ OCY4-ehNwS"" folds",2025-09-08T13:59:50.759Z,175733999075900
"""goto-neo @ DEsmp5YN9f"" posts a big blind of 20",2025-09-08T13:59:48.813Z,175733998881308
"""IAMB @ gjmiQ4-uAW"" posts a small blind of 10",2025-09-08T13:59:48.813Z,175733998881307
"Player stacks: #2 ""IAMB @ gjmiQ4-uAW"" (3906) | #4 ""goto-neo @ DEsmp5YN9f"" (3682) | #6 ""とーち @ OCY4-ehNwS"" (2830) | #7 ""うみ。 @ lVD5yytn3g"" (2610) | #9 ""ねくと @ ghJwIbOflM"" (2223)",2025-09-08T13:59:48.813Z,175733998881301
"-- starting hand #177 (id: 5tzdw20ioltb)  (No Limit Texas Hold'em) (dealer: ""ねくと @ ghJwIbOflM"") --",2025-09-08T13:59:48.813Z,175733998881300
"-- ending hand #176 --",2025-09-08T13:59:45.883Z,175733998588302
"""とーち @ OCY4-ehNwS"" collected 480 from pot",2025-09-08T13:59:45.883Z,175733998588301
"Uncalled bet of 250 returned to ""とーち @ OCY4-ehNwS""",2025-09-08T13:59:45.883Z,175733998588300
"""ねくと @ ghJwIbOflM"" folds",2025-09-08T13:59:45.075Z,175733998507500
"""とーち @ OCY4-ehNwS"" raises to 480",2025-09-08T13:59:41.772Z,175733998177200
"""IAMB @ gjmiQ4-uAW"" folds",2025-09-08T13:59:24.331Z,175733996433100
"""ねくと @ ghJwIbOflM"" raises to 230",2025-09-08T13:59:23.309Z,175733996330900
"""うみ。 @ lVD5yytn3g"" folds",2025-09-08T13:59:11.520Z,175733995152000
"""とーち @ OCY4-ehNwS"" raises to 50",2025-09-08T13:59:10.494Z,175733995049400
