player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"MasatoM",Zvgc3jh8lw,2025-09-08T13:31:19.481Z,2025-09-08T14:18:47.884Z,3000,4743,0,1743
"こうちゃん",4oZPV-yofs,2025-09-08T13:19:45.356Z,2025-09-08T14:04:01.751Z,3000,3586,0,586
"わた",wX6LJEu-P9,2025-09-08T13:16:00.254Z,2025-09-08T14:04:01.743Z,3000,3448,0,448
"mo'",-WgKDrZMvL,2025-09-08T13:15:28.209Z,,5000,1000,2623,-1377
"arash!",Y0GHwUT0az,2025-09-08T13:15:06.815Z,,3000,2460,2390,1850
"MasatoM",Zvgc3jh8lw,2025-09-08T13:10:48.978Z,2025-09-08T13:30:52.653Z,3000,0,0,-3000
"わた",wX6LJEu-P9,2025-09-08T12:58:22.447Z,2025-09-08T13:15:28.205Z,3000,5102,0,2102
"Doc",rNZKJiwrNl,2025-09-08T12:48:25.661Z,,5500,4120,2730,1350
"Ene",7kPHYByVxS,2025-09-08T12:38:25.940Z,2025-09-08T12:58:22.443Z,2500,2323,0,-177
"わた",wX6LJEu-P9,2025-09-08T12:32:43.166Z,2025-09-08T12:58:04.136Z,3000,1698,0,-1302
"らねおか",XaClitYV1x,2025-09-08T12:32:00.716Z,2025-09-08T12:39:15.526Z,2500,2440,0,-60
"こうちゃん",4oZPV-yofs,2025-09-08T12:32:00.713Z,2025-09-08T13:10:48.973Z,3000,1004,0,-1996
"waho",SnN6w1bdXE,2025-09-08T12:29:48.226Z,2025-09-08T13:10:31.229Z,2500,3350,0,850
"池田",9zseyWfctH,2025-09-08T12:29:48.223Z,2025-09-08T12:44:47.750Z,2000,1983,0,-17
"mo'",-WgKDrZMvL,2025-09-08T12:29:48.229Z,2025-09-08T13:15:06.807Z,2500,1500,0,-1000
