entry,at,order
"The player ""MasatoM @ Zvgc3jh8lw"" quits the game with a stack of 4743.",2025-09-08T14:18:47.879Z,175734112787900
"The player ""こうちゃん @ 4oZPV-yofs"" quits the game with a stack of 3586.",2025-09-08T14:04:01.722Z,175734024172201
"The player ""わた @ wX6LJEu-P9"" quits the game with a stack of 2371.",2025-09-08T14:04:01.722Z,175734024172200
"""Doc @ rNZKJiwrNl"" shows a Q♠, 10♣.",2025-09-08T14:03:59.156Z,175734023915600
"""MasatoM @ Zvgc3jh8lw"" shows a 5♣, 4♣.",2025-09-08T14:03:57.898Z,175734023789800
"""mo' @ -WgKDrZMvL"" shows a Q♦, A♦.",2025-09-08T14:03:57.676Z,175734023767600
"-- ending hand #108 --",2025-09-08T14:03:56.710Z,175734023671002
"""MasatoM @ Zvgc3jh8lw"" collected 2080 from pot",2025-09-08T14:03:56.710Z,175734023671001
"Uncalled bet of 2623 returned to ""MasatoM @ Zvgc3jh8lw""",2025-09-08T14:03:56.710Z,175734023671000
"""mo' @ -WgKDrZMvL"" folds",2025-09-08T14:03:55.897Z,175734023589700
"""MasatoM @ Zvgc3jh8lw"" bets 2623",2025-09-08T14:02:06.314Z,175734012631400
"""mo' @ -WgKDrZMvL"" checks",2025-09-08T14:01:56.649Z,175734011664900
"River: Q♣, 10♥, 9♥, A♠ [3♥]",2025-09-08T14:01:20.783Z,175734008078300
"""MasatoM @ Zvgc3jh8lw"" checks",2025-09-08T14:01:19.939Z,175734007993900
"""mo' @ -WgKDrZMvL"" checks",2025-09-08T14:01:11.232Z,175734007123200
"Turn: Q♣, 10♥, 9♥ [A♠]",2025-09-08T14:01:08.376Z,175734006837600
"""mo' @ -WgKDrZMvL"" calls 700",2025-09-08T14:01:07.513Z,175734006751300
"""MasatoM @ Zvgc3jh8lw"" raises to 700",2025-09-08T14:01:01.523Z,175734006152300
"""mo' @ -WgKDrZMvL"" bets 230",2025-09-08T14:00:47.508Z,175734004750800
"Flop:  [Q♣, 10♥, 9♥]",2025-09-08T14:00:33.388Z,175734003338800
"""わた @ wX6LJEu-P9"" folds",2025-09-08T14:00:32.573Z,175734003257300
"""MasatoM @ Zvgc3jh8lw"" calls 300",2025-09-08T14:00:30.430Z,175734003043000
"""Doc @ rNZKJiwrNl"" folds",2025-09-08T14:00:24.434Z,175734002443400
"""mo' @ -WgKDrZMvL"" raises to 300",2025-09-08T14:00:20.917Z,175734002091700
"""わた @ wX6LJEu-P9"" calls 60",2025-09-08T14:00:16.119Z,175734001611900
"""MasatoM @ Zvgc3jh8lw"" raises to 60",2025-09-08T14:00:14.410Z,175734001441000
"""こうちゃん @ 4oZPV-yofs"" folds",2025-09-08T14:00:11.055Z,175734001105500
"The admin ""mo' @ -WgKDrZMvL"" enqueued the game stop on next hand.",2025-09-08T14:00:08.280Z,175734000828000
"""arash! @ Y0GHwUT0az"" folds",2025-09-08T14:00:06.554Z,175734000655400
"""Doc @ rNZKJiwrNl"" posts a big blind of 20",2025-09-08T14:00:03.839Z,175734000383909
"""mo' @ -WgKDrZMvL"" posts a small blind of 10",2025-09-08T14:00:03.839Z,175734000383908
"Player stacks: #1 ""Doc @ rNZKJiwrNl"" (2750) | #5 ""arash! @ Y0GHwUT0az"" (2390) | #6 ""こうちゃん @ 4oZPV-yofs"" (3586) | #7 ""MasatoM @ Zvgc3jh8lw"" (3663) | #8 ""わた @ wX6LJEu-P9"" (2431) | #10 ""mo' @ -WgKDrZMvL"" (3623)",2025-09-08T14:00:03.839Z,175734000383901
"-- starting hand #108 (id: dpybjckznxyx)  (No Limit Texas Hold'em) (dealer: ""わた @ wX6LJEu-P9"") --",2025-09-08T14:00:03.839Z,175734000383900
"-- ending hand #107 --",2025-09-08T14:00:00.892Z,175734000089202
"""わた @ wX6LJEu-P9"" collected 140 from pot",2025-09-08T14:00:00.892Z,175734000089201
"Uncalled bet of 180 returned to ""わた @ wX6LJEu-P9""",2025-09-08T14:00:00.892Z,175734000089200
"""MasatoM @ Zvgc3jh8lw"" folds",2025-09-08T14:00:00.047Z,175734000004700
"""mo' @ -WgKDrZMvL"" folds",2025-09-08T13:59:53.696Z,175733999369600
"""わた @ wX6LJEu-P9"" raises to 240",2025-09-08T13:59:51.243Z,175733999124300
"""MasatoM @ Zvgc3jh8lw"" raises to 60",2025-09-08T13:59:47.833Z,175733998783300
"""こうちゃん @ 4oZPV-yofs"" folds",2025-09-08T13:59:44.376Z,175733998437600
"""arash! @ Y0GHwUT0az"" folds",2025-09-08T13:59:43.320Z,175733998332000
"""Doc @ rNZKJiwrNl"" folds",2025-09-08T13:59:41.170Z,175733998117000
"""mo' @ -WgKDrZMvL"" posts a big blind of 20",2025-09-08T13:59:39.355Z,175733997935509
"""わた @ wX6LJEu-P9"" posts a small blind of 10",2025-09-08T13:59:39.355Z,175733997935508
"Player stacks: #1 ""Doc @ rNZKJiwrNl"" (2750) | #5 ""arash! @ Y0GHwUT0az"" (2390) | #6 ""こうちゃん @ 4oZPV-yofs"" (3586) | #7 ""MasatoM @ Zvgc3jh8lw"" (3723) | #8 ""わた @ wX6LJEu-P9"" (2351) | #10 ""mo' @ -WgKDrZMvL"" (3643)",2025-09-08T13:59:39.355Z,175733997935501
"-- starting hand #107 (id: cuij2jsscscl)  (No Limit Texas Hold'em) (dealer: ""MasatoM @ Zvgc3jh8lw"") --",2025-09-08T13:59:39.355Z,175733997935500
"-- ending hand #106 --",2025-09-08T13:59:36.438Z,175733997643802
"""Doc @ rNZKJiwrNl"" collected 50 from pot",2025-09-08T13:59:36.438Z,175733997643801
"Uncalled bet of 30 returned to ""Doc @ rNZKJiwrNl""",2025-09-08T13:59:36.438Z,175733997643800
"""わた @ wX6LJEu-P9"" folds",2025-09-08T13:59:35.626Z,175733997562600
"""MasatoM @ Zvgc3jh8lw"" folds",2025-09-08T13:59:34.530Z,175733997453000
"""こうちゃん @ 4oZPV-yofs"" folds",2025-09-08T13:59:33.531Z,175733997353100
"""arash! @ Y0GHwUT0az"" folds",2025-09-08T13:59:31.609Z,175733997160900
"""Doc @ rNZKJiwrNl"" raises to 50",2025-09-08T13:59:30.581Z,175733997058100
"""mo' @ -WgKDrZMvL"" folds",2025-09-08T13:59:20.031Z,175733996003100
"""わた @ wX6LJEu-P9"" posts a big blind of 20",2025-09-08T13:59:16.845Z,175733995684509
"""MasatoM @ Zvgc3jh8lw"" posts a small blind of 10",2025-09-08T13:59:16.845Z,175733995684508
"Player stacks: #1 ""Doc @ rNZKJiwrNl"" (2720) | #5 ""arash! @ Y0GHwUT0az"" (2390) | #6 ""こうちゃん @ 4oZPV-yofs"" (3586) | #7 ""MasatoM @ Zvgc3jh8lw"" (3733) | #8 ""わた @ wX6LJEu-P9"" (2371) | #10 ""mo' @ -WgKDrZMvL"" (3643)",2025-09-08T13:59:16.845Z,175733995684501
"-- starting hand #106 (id: esz25sj7tej0)  (No Limit Texas Hold'em) (dealer: ""こうちゃん @ 4oZPV-yofs"") --",2025-09-08T13:59:16.845Z,175733995684500
"""MasatoM @ Zvgc3jh8lw"" shows a 7♠, K♥.",2025-09-08T13:59:14.574Z,175733995457400
"-- ending hand #105 --",2025-09-08T13:59:13.225Z,175733995322502
"""MasatoM @ Zvgc3jh8lw"" collected 130 from pot",2025-09-08T13:59:13.225Z,175733995322501
"Uncalled bet of 240 returned to ""MasatoM @ Zvgc3jh8lw""",2025-09-08T13:59:13.225Z,175733995322500
"""arash! @ Y0GHwUT0az"" folds",2025-09-08T13:59:12.393Z,175733995239300
"""MasatoM @ Zvgc3jh8lw"" raises to 300",2025-09-08T13:59:10.304Z,175733995030400
