entry,at,order
"The player ""nihao @ q2LdzkXMDA"" requested a seat.",2025-09-08T16:12:54.646Z,175734797464600
"The player ""nihao @ q2LdzkXMDA"" requested a seat.",2025-09-08T16:03:14.493Z,175734739449300
"The player ""池田 @ 9zseyWfctH"" quits the game with a stack of 2494.",2025-09-08T14:04:35.464Z,175734027546400
"""Amu2nd @ Noig3n81r2"" shows a K♥, 9♦.",2025-09-08T14:04:11.492Z,175734025149200
"""らねおか @ XaClitYV1x"" shows a 5♠, 3♣.",2025-09-08T14:04:09.787Z,175734024978700
"-- ending hand #63 --",2025-09-08T14:04:09.244Z,175734024924402
"""Amu2nd @ Noig3n81r2"" collected 50 from pot",2025-09-08T14:04:09.244Z,175734024924401
"Uncalled bet of 30 returned to ""Amu2nd @ Noig3n81r2""",2025-09-08T14:04:09.244Z,175734024924400
"""らねおか @ XaClitYV1x"" folds",2025-09-08T14:04:08.338Z,175734024833800
"""池田 @ 9zseyWfctH"" folds",2025-09-08T14:04:03.894Z,175734024389400
"""Amu2nd @ Noig3n81r2"" raises to 50",2025-09-08T14:04:02.851Z,175734024285100
"""Hibari @ gG60J3OV2j"" folds",2025-09-08T14:03:59.908Z,175734023990800
"The admin ""らねおか @ XaClitYV1x"" enqueued the game stop on next hand.",2025-09-08T14:03:59.371Z,175734023937100
"""hayahaya @ cZlE6c84hA"" folds",2025-09-08T14:03:58.741Z,175734023874100
"""ねくと @ ghJwIbOflM"" folds",2025-09-08T14:03:54.345Z,175734023434500
"""らねおか @ XaClitYV1x"" posts a big blind of 20",2025-09-08T14:03:52.209Z,175734023220909
"""池田 @ 9zseyWfctH"" posts a small blind of 10",2025-09-08T14:03:52.209Z,175734023220908
"Player stacks: #1 ""池田 @ 9zseyWfctH"" (2504) | #2 ""らねおか @ XaClitYV1x"" (3117) | #3 ""ねくと @ ghJwIbOflM"" (4655) | #4 ""hayahaya @ cZlE6c84hA"" (2600) | #6 ""Hibari @ gG60J3OV2j"" (1918) | #8 ""Amu2nd @ Noig3n81r2"" (2813)",2025-09-08T14:03:52.209Z,175734023220901
"-- starting hand #63 (id: fiibjudhizbz)  (No Limit Texas Hold'em) (dealer: ""Amu2nd @ Noig3n81r2"") --",2025-09-08T14:03:52.209Z,175734023220900
"""Hibari @ gG60J3OV2j"" shows a A♥, 9♠.",2025-09-08T14:03:51.060Z,175734023106000
"""池田 @ 9zseyWfctH"" shows a Q♠, 6♠.",2025-09-08T14:03:48.704Z,175734022870400
"-- ending hand #62 --",2025-09-08T14:03:47.907Z,175734022790702
"""Hibari @ gG60J3OV2j"" collected 180 from pot",2025-09-08T14:03:47.907Z,175734022790701
"Uncalled bet of 135 returned to ""Hibari @ gG60J3OV2j""",2025-09-08T14:03:47.907Z,175734022790700
"""池田 @ 9zseyWfctH"" folds",2025-09-08T14:03:47.056Z,175734022705600
"""Hibari @ gG60J3OV2j"" bets 135",2025-09-08T14:03:44.336Z,175734022433600
"""池田 @ 9zseyWfctH"" checks",2025-09-08T14:03:12.345Z,175734019234500
"River: 10♦, K♥, J♦, J♥ [3♥]",2025-09-08T14:02:48.719Z,175734016871900
"""Hibari @ gG60J3OV2j"" checks",2025-09-08T14:02:47.888Z,175734016788800
"""池田 @ 9zseyWfctH"" checks",2025-09-08T14:02:01.549Z,175734012154900
"Turn: 10♦, K♥, J♦ [J♥]",2025-09-08T14:01:49.521Z,175734010952100
"""池田 @ 9zseyWfctH"" calls 35",2025-09-08T14:01:48.649Z,175734010864900
"""Hibari @ gG60J3OV2j"" bets 35",2025-09-08T14:01:35.891Z,175734009589100
"""池田 @ 9zseyWfctH"" checks",2025-09-08T14:01:27.348Z,175734008734800
"Flop:  [10♦, K♥, J♦]",2025-09-08T14:01:24.898Z,175734008489800
"""池田 @ 9zseyWfctH"" calls 50",2025-09-08T14:01:24.025Z,175734008402500
"""Amu2nd @ Noig3n81r2"" folds",2025-09-08T14:01:20.999Z,175734008099900
"""Hibari @ gG60J3OV2j"" raises to 50",2025-09-08T14:01:18.207Z,175734007820700
"""hayahaya @ cZlE6c84hA"" folds",2025-09-08T14:01:09.087Z,175734006908700
"""ねくと @ ghJwIbOflM"" folds",2025-09-08T14:01:07.985Z,175734006798500
"""らねおか @ XaClitYV1x"" folds",2025-09-08T14:01:05.037Z,175734006503700
"""池田 @ 9zseyWfctH"" posts a big blind of 20",2025-09-08T14:01:03.771Z,175734006377109
"""Amu2nd @ Noig3n81r2"" posts a small blind of 10",2025-09-08T14:01:03.771Z,175734006377108
"Player stacks: #1 ""池田 @ 9zseyWfctH"" (2589) | #2 ""らねおか @ XaClitYV1x"" (3117) | #3 ""ねくと @ ghJwIbOflM"" (4655) | #4 ""hayahaya @ cZlE6c84hA"" (2600) | #6 ""Hibari @ gG60J3OV2j"" (1823) | #8 ""Amu2nd @ Noig3n81r2"" (2823)",2025-09-08T14:01:03.771Z,175734006377101
"-- starting hand #62 (id: 62qj88oofxpz)  (No Limit Texas Hold'em) (dealer: ""Hibari @ gG60J3OV2j"") --",2025-09-08T14:01:03.771Z,175734006377100
"-- ending hand #61 --",2025-09-08T14:01:00.844Z,175734006084402
"""Amu2nd @ Noig3n81r2"" collected 20 from pot",2025-09-08T14:01:00.844Z,175734006084401
"Uncalled bet of 10 returned to ""Amu2nd @ Noig3n81r2""",2025-09-08T14:01:00.844Z,175734006084400
"""Hibari @ gG60J3OV2j"" folds",2025-09-08T14:00:59.939Z,175734005993900
"""hayahaya @ cZlE6c84hA"" folds",2025-09-08T14:00:56.668Z,175734005666800
"""ねくと @ ghJwIbOflM"" folds",2025-09-08T14:00:55.649Z,175734005564900
"""らねおか @ XaClitYV1x"" folds",2025-09-08T14:00:52.600Z,175734005260000
"""池田 @ 9zseyWfctH"" folds",2025-09-08T14:00:51.524Z,175734005152400
"""Amu2nd @ Noig3n81r2"" posts a big blind of 20",2025-09-08T14:00:48.202Z,175734004820209
"""Hibari @ gG60J3OV2j"" posts a small blind of 10",2025-09-08T14:00:48.202Z,175734004820208
"Player stacks: #1 ""池田 @ 9zseyWfctH"" (2589) | #2 ""らねおか @ XaClitYV1x"" (3117) | #3 ""ねくと @ ghJwIbOflM"" (4655) | #4 ""hayahaya @ cZlE6c84hA"" (2600) | #6 ""Hibari @ gG60J3OV2j"" (1833) | #8 ""Amu2nd @ Noig3n81r2"" (2813)",2025-09-08T14:00:48.202Z,175734004820201
"-- starting hand #61 (id: pqhhi6cxcfdu)  (No Limit Texas Hold'em) (dealer: ""hayahaya @ cZlE6c84hA"") --",2025-09-08T14:00:48.202Z,175734004820200
"-- ending hand #60 --",2025-09-08T14:00:45.254Z,175734004525402
