player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"arash!",mr4CLM2U0S,2025-09-15T13:59:21.683Z,,3000,,2970,-30
"粗茶",GtqOGZOqIV,2025-09-15T13:01:32.073Z,2025-09-15T14:01:07.500Z,2000,2715,0,715
"夏狼",5q3LcF3nPG,2025-09-15T12:57:20.570Z,,2500,1169,1923,592
"ばどえあー",cAulXwsuYc,2025-09-15T12:33:08.258Z,,2000,,2255,255
"夏狼",5q3LcF3nPG,2025-09-15T12:11:09.714Z,2025-09-15T12:54:44.101Z,2500,0,0,-2500
"NABO",0c3gLD4eiE,2025-09-15T11:39:01.605Z,,2210,4135,2276,4201
"sigma",yHZrsG6l5j,2025-09-15T11:09:32.103Z,2025-09-15T14:01:04.763Z,5106,6489,0,1383
"Hibari",aonl-IBbRz,2025-09-15T11:04:33.437Z,2025-09-15T11:14:46.023Z,3000,2725,0,-275
"あこ",9FY377ItlI,2025-09-15T11:02:58.729Z,2025-09-15T14:00:30.671Z,8292,7150,0,-1142
"こうちゃん",DX56VkkWJZ,2025-09-15T11:02:24.165Z,2025-09-15T12:59:18.440Z,2500,2797,0,297
"konasho",f_d8ebrXPg,2025-09-15T11:02:24.162Z,,2000,,2000,0
"GIL RAIM",Oo-rx1G24B,2025-09-15T11:02:24.160Z,,6185,1107,3682,-1396
"goto-neo",DEsmp5YN9f,2025-09-15T11:00:23.972Z,2025-09-15T11:13:01.869Z,3000,2940,0,-60
"とーち",OCY4-ehNwS,2025-09-15T11:00:23.961Z,2025-09-15T11:13:01.862Z,2500,2505,0,5
"ノガード",dlzwhIfu_I,2025-09-15T11:00:23.957Z,2025-09-15T12:33:08.255Z,4800,2530,0,-2270
"arash!",mr4CLM2U0S,2025-09-15T11:00:23.966Z,2025-09-15T13:57:39.171Z,3000,3225,0,225
