entry,at,order
"The player ""粗茶 @ GtqOGZOqIV"" quits the game with a stack of 2715.",2025-09-15T14:01:07.496Z,175794486749600
"The player ""sigma @ yHZrsG6l5j"" quits the game with a stack of 3000.",2025-09-15T14:01:04.761Z,175794486476100
"The admin ""arash! @ mr4CLM2U0S"" enqueued the game stop on next hand.",2025-09-15T14:00:48.223Z,175794484822300
"-- ending hand #182 --",2025-09-15T14:00:46.890Z,175794484689002
"""粗茶 @ GtqOGZOqIV"" collected 20 from pot",2025-09-15T14:00:46.890Z,175794484689001
"Uncalled bet of 10 returned to ""粗茶 @ GtqOGZOqIV""",2025-09-15T14:00:46.890Z,175794484689000
"""arash! @ mr4CLM2U0S"" folds",2025-09-15T14:00:46.059Z,175794484605900
"""ばどえあー @ cAulXwsuYc"" folds",2025-09-15T14:00:43.112Z,175794484311200
"""夏狼 @ 5q3LcF3nPG"" folds",2025-09-15T14:00:40.724Z,175794484072400
"""NABO @ 0c3gLD4eiE"" folds",2025-09-15T14:00:39.216Z,175794483921600
"""GIL RAIM @ Oo-rx1G24B"" folds",2025-09-15T14:00:38.013Z,175794483801300
"""sigma @ yHZrsG6l5j"" folds",2025-09-15T14:00:33.298Z,175794483329800
"""粗茶 @ GtqOGZOqIV"" posts a big blind of 20",2025-09-15T14:00:30.666Z,175794483066611
"""arash! @ mr4CLM2U0S"" posts a small blind of 10",2025-09-15T14:00:30.666Z,175794483066610
"Your hand is 4♠, Q♣",2025-09-15T14:00:30.666Z,175794483066609
"Player stacks: #1 ""粗茶 @ GtqOGZOqIV"" (2705) | #3 ""sigma @ yHZrsG6l5j"" (3000) | #4 ""GIL RAIM @ Oo-rx1G24B"" (3682) | #5 ""NABO @ 0c3gLD4eiE"" (2276) | #6 ""夏狼 @ 5q3LcF3nPG"" (1923) | #9 ""ばどえあー @ cAulXwsuYc"" (2255) | #10 ""arash! @ mr4CLM2U0S"" (2980)",2025-09-15T14:00:30.666Z,175794483066602
"-- starting hand #182 (id: hh9ysg05yq7k)  (No Limit Texas Hold'em) (dealer: ""ばどえあー @ cAulXwsuYc"") --",2025-09-15T14:00:30.666Z,175794483066601
"The player ""あこ @ 9FY377ItlI"" quits the game with a stack of 2872.",2025-09-15T14:00:30.666Z,175794483066600
"-- ending hand #181 --",2025-09-15T14:00:27.747Z,175794482774702
"""NABO @ 0c3gLD4eiE"" collected 390 from pot",2025-09-15T14:00:27.747Z,175794482774701
"Uncalled bet of 90 returned to ""NABO @ 0c3gLD4eiE""",2025-09-15T14:00:27.747Z,175794482774700
"""GIL RAIM @ Oo-rx1G24B"" folds",2025-09-15T14:00:26.884Z,175794482688400
"""NABO @ 0c3gLD4eiE"" bets 90",2025-09-15T14:00:23.470Z,175794482347000
"""GIL RAIM @ Oo-rx1G24B"" checks",2025-09-15T13:59:59.953Z,175794479995300
"Flop:  [2♥, 9♠, 9♣]",2025-09-15T13:59:55.046Z,175794479504600
"""GIL RAIM @ Oo-rx1G24B"" calls 180",2025-09-15T13:59:54.203Z,175794479420300
"""arash! @ mr4CLM2U0S"" folds",2025-09-15T13:59:50.241Z,175794479024100
