entry,at,order
"""ノガード @ dlzwhIfu_I"" shows a K♥, J♦.",2025-09-15T14:02:27.856Z,175794494785600
"""池田 @ 9zseyWfctH"" shows a 8♥, 7♥.",2025-09-15T14:02:27.232Z,175794494723200
"-- ending hand #167 --",2025-09-15T14:02:26.481Z,175794494648102
"""ノガード @ dlzwhIfu_I"" collected 500 from pot",2025-09-15T14:02:26.481Z,175794494648101
"Uncalled bet of 850 returned to ""ノガード @ dlzwhIfu_I""",2025-09-15T14:02:26.481Z,175794494648100
"""池田 @ 9zseyWfctH"" folds",2025-09-15T14:02:25.650Z,175794494565000
"""ノガード @ dlzwhIfu_I"" bets 850",2025-09-15T14:02:05.072Z,175794492507200
"Flop:  [10♣, 2♥, J♣]",2025-09-15T14:01:46.397Z,175794490639700
"""池田 @ 9zseyWfctH"" calls 240",2025-09-15T14:01:45.573Z,175794490557300
"""waho @ F5iP24qWOL"" folds",2025-09-15T14:01:41.603Z,175794490160300
"""ノガード @ dlzwhIfu_I"" raises to 240",2025-09-15T14:01:35.683Z,175794489568300
"The admin ""ノガード @ dlzwhIfu_I"" enqueued the game stop on next hand.",2025-09-15T14:01:30.320Z,175794489032000
"""池田 @ 9zseyWfctH"" raises to 50",2025-09-15T14:01:27.543Z,175794488754300
"""goto-neo @ DEsmp5YN9f"" folds",2025-09-15T14:01:23.921Z,175794488392100
"""わた @ wX6LJEu-P9"" folds",2025-09-15T14:01:22.910Z,175794488291000
"""るも @ 7n59-giX1P"" folds",2025-09-15T14:01:21.809Z,175794488180900
"""arash! @ mr4CLM2U0S"" folds",2025-09-15T14:01:15.646Z,175794487564600
"""konasho @ f_d8ebrXPg"" folds",2025-09-15T14:01:12.176Z,175794487217600
"""waho @ F5iP24qWOL"" posts a big blind of 20",2025-09-15T14:01:10.760Z,175794487076011
"""ノガード @ dlzwhIfu_I"" posts a small blind of 10",2025-09-15T14:01:10.760Z,175794487076010
"Your hand is 9♠, 5♠",2025-09-15T14:01:10.760Z,175794487076003
"Player stacks: #1 ""konasho @ f_d8ebrXPg"" (2855) | #2 ""arash! @ mr4CLM2U0S"" (5410) | #3 ""るも @ 7n59-giX1P"" (2170) | #4 ""わた @ wX6LJEu-P9"" (2109) | #5 ""goto-neo @ DEsmp5YN9f"" (2362) | #6 ""池田 @ 9zseyWfctH"" (2970) | #7 ""ノガード @ dlzwhIfu_I"" (3748) | #10 ""waho @ F5iP24qWOL"" (3370)",2025-09-15T14:01:10.760Z,175794487076001
