player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"sigma",yHZrsG6l5j,2025-09-22T13:09:39.289Z,2025-09-22T14:03:01.267Z,2912,2490,0,-422
"konasho",f_d8ebrXPg,2025-09-22T12:41:10.700Z,,2000,,1930,-70
"GIL RAIM",Oo-rx1G24B,2025-09-22T12:29:25.149Z,,2500,3210,3194,3904
"らねおか",XaClitYV1x,2025-09-22T11:47:48.148Z,2025-09-22T12:22:21.653Z,2500,1905,0,-595
"Hiiro",MqZu0oArm3,2025-09-22T11:29:53.324Z,2025-09-22T11:32:12.736Z,2000,2000,0,0
"カイン",fcHKjLeyz-,2025-09-22T11:21:09.284Z,2025-09-22T13:02:48.657Z,4430,3705,0,-725
"goto-neo",DEsmp5YN9f,2025-09-22T11:08:44.785Z,2025-09-22T14:03:01.259Z,3000,2488,0,-512
"こうちゃん",4oZPV-yofs,2025-09-22T11:02:08.570Z,2025-09-22T11:24:43.980Z,2500,2383,0,-117
"Hibari",gG60J3OV2j,2025-09-22T11:02:08.568Z,2025-09-22T12:25:36.595Z,3000,3782,0,782
"Kosuke",9oC3qxWkzn,2025-09-22T11:02:08.566Z,,3783,1720,3112,1049
"バター",8EzwHQO50j,2025-09-22T11:02:08.563Z,,4444,1560,2890,6
"とーち",OCY4-ehNwS,2025-09-22T11:02:08.561Z,2025-09-22T11:32:12.732Z,2500,2210,0,-290
"ノガード",dlzwhIfu_I,2025-09-22T11:00:35.118Z,2025-09-22T12:20:03.948Z,3045,2200,0,-845
"arash!",lSXafQ4XJ9,2025-09-22T11:00:35.120Z,,5985,1030,2790,-2165
