entry,at,order
"The player ""sigma @ yHZrsG6l5j"" quits the game with a stack of 2490.",2025-09-22T14:03:01.243Z,175854978124302
"The player ""goto-neo @ DEsmp5YN9f"" quits the game with a stack of 2488.",2025-09-22T14:03:01.243Z,175854978124301
"The player ""sigma @ yHZrsG6l5j"" stand up with the stack of 2490.",2025-09-22T14:03:01.243Z,175854978124300
"-- ending hand #255 --",2025-09-22T14:02:55.240Z,175854977524003
"""GIL RAIM @ Oo-rx1G24B"" collected 260 from pot with Three of a Kind, 10's (combination: 10♥, 10♠, 10♦, K♣, 6♠)",2025-09-22T14:02:55.240Z,175854977524002
"""GIL RAIM @ Oo-rx1G24B"" shows a K♣, 10♥.",2025-09-22T14:02:55.240Z,175854977524001
"""konasho @ f_d8ebrXPg"" shows a K♦, A♥.",2025-09-22T14:02:55.240Z,175854977524000
"""GIL RAIM @ Oo-rx1G24B"" checks",2025-09-22T14:02:54.386Z,175854977438600
"""konasho @ f_d8ebrXPg"" checks",2025-09-22T14:02:51.548Z,175854977154800
"River: 6♠, 4♠, 5♠, 10♠ [10♦]",2025-09-22T14:02:49.481Z,175854976948100
"""konasho @ f_d8ebrXPg"" calls 65",2025-09-22T14:02:48.675Z,175854976867500
"""GIL RAIM @ Oo-rx1G24B"" bets 65",2025-09-22T14:02:44.675Z,175854976467500
"""konasho @ f_d8ebrXPg"" checks",2025-09-22T14:02:39.229Z,175854975922900
"Turn: 6♠, 4♠, 5♠ [10♠]",2025-09-22T14:02:35.938Z,175854975593800
"""GIL RAIM @ Oo-rx1G24B"" checks",2025-09-22T14:02:35.096Z,175854975509600
"""konasho @ f_d8ebrXPg"" checks",2025-09-22T14:02:31.674Z,175854975167400
"Flop:  [6♠, 4♠, 5♠]",2025-09-22T14:02:28.128Z,175854974812800
"""arash! @ lSXafQ4XJ9"" folds",2025-09-22T14:02:27.255Z,175854974725500
"""goto-neo @ DEsmp5YN9f"" folds",2025-09-22T14:02:26.139Z,175854974613900
"""sigma @ yHZrsG6l5j"" folds",2025-09-22T14:02:25.107Z,175854974510700
"""GIL RAIM @ Oo-rx1G24B"" calls 50",2025-09-22T14:02:23.942Z,175854974394200
"The admin ""arash! @ lSXafQ4XJ9"" enqueued the game stop on next hand.",2025-09-22T14:02:13.512Z,175854973351200
"""konasho @ f_d8ebrXPg"" raises to 50",2025-09-22T14:01:53.259Z,175854971325900
"""バター @ 8EzwHQO50j"" folds",2025-09-22T14:01:45.743Z,175854970574300
"""arash! @ lSXafQ4XJ9"" posts a big blind of 20",2025-09-22T14:01:43.925Z,175854970392509
"""goto-neo @ DEsmp5YN9f"" posts a small blind of 10",2025-09-22T14:01:43.925Z,175854970392508
"Your hand is 2♣, 7♥",2025-09-22T14:01:43.925Z,175854970392507
"Player stacks: #1 ""バター @ 8EzwHQO50j"" (2890) | #3 ""konasho @ f_d8ebrXPg"" (2045) | #5 ""GIL RAIM @ Oo-rx1G24B"" (3049) | #6 ""sigma @ yHZrsG6l5j"" (2490) | #9 ""goto-neo @ DEsmp5YN9f"" (2498) | #10 ""arash! @ lSXafQ4XJ9"" (2810)",2025-09-22T14:01:43.925Z,175854970392501
"-- starting hand #255 (id: kpugng7dp4ml)  (No Limit Texas Hold'em) (dealer: ""sigma @ yHZrsG6l5j"") --",2025-09-22T14:01:43.925Z,175854970392500
"-- ending hand #254 --",2025-09-22T14:01:41.014Z,175854970101402
"""GIL RAIM @ Oo-rx1G24B"" collected 370 from pot",2025-09-22T14:01:41.014Z,175854970101401
"Uncalled bet of 370 returned to ""GIL RAIM @ Oo-rx1G24B""",2025-09-22T14:01:41.014Z,175854970101400
"""バター @ 8EzwHQO50j"" folds",2025-09-22T14:01:40.210Z,175854970021000
"""GIL RAIM @ Oo-rx1G24B"" bets 370",2025-09-22T14:01:36.558Z,175854969655800
"""バター @ 8EzwHQO50j"" checks",2025-09-22T14:01:30.243Z,175854969024300
"River: 2♣, 4♥, 5♠, 4♣ [8♠]",2025-09-22T14:01:28.116Z,175854968811600
"""バター @ 8EzwHQO50j"" calls 80",2025-09-22T14:01:27.295Z,175854968729500
"""GIL RAIM @ Oo-rx1G24B"" bets 80",2025-09-22T14:01:22.216Z,175854968221600
"""バター @ 8EzwHQO50j"" checks",2025-09-22T14:01:12.205Z,175854967220500
"Turn: 2♣, 4♥, 5♠ [4♣]",2025-09-22T14:01:08.852Z,175854966885200
"""バター @ 8EzwHQO50j"" calls 40",2025-09-22T14:01:08.019Z,175854966801900
"""GIL RAIM @ Oo-rx1G24B"" bets 40",2025-09-22T14:01:03.309Z,175854966330900
"""バター @ 8EzwHQO50j"" checks",2025-09-22T14:00:51.882Z,175854965188200
"Flop:  [2♣, 4♥, 5♠]",2025-09-22T14:00:44.499Z,175854964449900
"""goto-neo @ DEsmp5YN9f"" folds",2025-09-22T14:00:43.677Z,175854964367700
"""sigma @ yHZrsG6l5j"" folds",2025-09-22T14:00:42.595Z,175854964259500
"""GIL RAIM @ Oo-rx1G24B"" calls 50",2025-09-22T14:00:41.383Z,175854964138300
"""konasho @ f_d8ebrXPg"" folds",2025-09-22T14:00:35.894Z,175854963589400
"""バター @ 8EzwHQO50j"" raises to 50",2025-09-22T14:00:34.624Z,175854963462400
"""arash! @ lSXafQ4XJ9"" folds",2025-09-22T14:00:29.494Z,175854962949400
"""goto-neo @ DEsmp5YN9f"" posts a big blind of 20",2025-09-22T14:00:27.656Z,175854962765610
"""sigma @ yHZrsG6l5j"" posts a small blind of 10",2025-09-22T14:00:27.656Z,175854962765609
"Your hand is K♥, 7♥",2025-09-22T14:00:27.656Z,175854962765608
"Player stacks: #1 ""バター @ 8EzwHQO50j"" (3060) | #3 ""konasho @ f_d8ebrXPg"" (2045) | #5 ""GIL RAIM @ Oo-rx1G24B"" (2849) | #6 ""sigma @ yHZrsG6l5j"" (2500) | #9 ""goto-neo @ DEsmp5YN9f"" (2518) | #10 ""arash! @ lSXafQ4XJ9"" (2810)",2025-09-22T14:00:27.656Z,175854962765602
"-- starting hand #254 (id: kpuj8ivvnmer)  (No Limit Texas Hold'em) (dealer: ""GIL RAIM @ Oo-rx1G24B"") --",2025-09-22T14:00:27.656Z,175854962765601
"The admin updated the player ""sigma @ yHZrsG6l5j"" stack from 2088 to 2500.",2025-09-22T14:00:27.656Z,175854962765600
"""sigma @ yHZrsG6l5j"" shows a 4♦, 6♦.",2025-09-22T14:00:25.901Z,175854962590100
"""arash! @ lSXafQ4XJ9"" shows a A♦, A♥.",2025-09-22T14:00:24.920Z,175854962492000
"-- ending hand #253 --",2025-09-22T14:00:23.287Z,175854962328702
"""sigma @ yHZrsG6l5j"" collected 710 from pot",2025-09-22T14:00:23.287Z,175854962328701
"Uncalled bet of 612 returned to ""sigma @ yHZrsG6l5j""",2025-09-22T14:00:23.287Z,175854962328700
"""arash! @ lSXafQ4XJ9"" folds",2025-09-22T14:00:22.474Z,175854962247400
"""sigma @ yHZrsG6l5j"" bets 612",2025-09-22T13:58:02.690Z,175854948269000
"River: 7♣, Q♠, 3♠, 5♥ [3♣]",2025-09-22T13:57:07.190Z,175854942719000
"""sigma @ yHZrsG6l5j"" calls 250",2025-09-22T13:57:06.302Z,175854942630200
"""arash! @ lSXafQ4XJ9"" bets 250",2025-09-22T13:56:42.515Z,175854940251500
