player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"池田",9zseyWfctH,2025-09-22T13:42:46.378Z,,2000,,1075,-925
"waho",SnN6w1bdXE,2025-09-22T12:53:13.236Z,2025-09-22T14:01:52.809Z,2942,1920,0,-1022
"はなよ",FEJiL4ZWA6,2025-09-22T12:46:21.325Z,,3640,1010,1502,-1128
"あこ",9FY377ItlI,2025-09-22T12:30:10.687Z,2025-09-22T12:42:50.489Z,10000,11095,0,1095
"あこ",9FY377ItlI,2025-09-22T12:19:20.773Z,2025-09-22T12:25:41.017Z,2000,0,0,-2000
"teish",DuQ0jeoozT,2025-09-22T12:04:45.916Z,2025-09-22T12:19:20.767Z,2000,2000,0,0
"るも",7n59-giX1P,2025-09-22T12:04:28.326Z,,2712,,2755,43
"utos",g0yui9LXM4,2025-09-22T11:50:15.281Z,2025-09-22T12:19:20.760Z,2000,2380,0,380
"utos",g0yui9LXM4,2025-09-22T11:41:29.289Z,2025-09-22T11:49:38.968Z,2000,864,0,-1136
"とーち",OCY4-ehNwS,2025-09-22T11:32:37.093Z,2025-09-22T12:19:20.752Z,2500,2665,0,165
"Hiiro",Nb7FKJQWoe,2025-09-22T11:32:37.098Z,,3197,,2508,-689
"arash!",lSXafQ4XJ9,2025-09-22T11:32:37.095Z,,3000,4175,3020,4195
"はなよ",FEJiL4ZWA6,2025-09-22T11:32:37.100Z,2025-09-22T12:42:50.483Z,3000,0,0,-3000
"ノガード",dlzwhIfu_I,2025-09-22T11:32:37.089Z,,3390,1791,4021,2422
