entry,at,order
"""池田 @ 9zseyWfctH"" bets 1075 and go all in",2025-09-22T14:08:22.507Z,175855010250700
"River: K♦, 9♦, 5♣, 7♥ [6♣]",2025-09-22T14:06:49.936Z,175855000993600
"""るも @ 7n59-giX1P"" calls 430",2025-09-22T14:06:49.128Z,175855000912800
"""池田 @ 9zseyWfctH"" bets 430",2025-09-22T14:04:53.386Z,175854989338600
"Turn: K♦, 9♦, 5♣ [7♥]",2025-09-22T14:03:40.974Z,175854982097400
"""るも @ 7n59-giX1P"" calls 145",2025-09-22T14:03:40.156Z,175854982015600
"""池田 @ 9zseyWfctH"" bets 145",2025-09-22T14:03:10.240Z,175854979024000
"Flop:  [K♦, 9♦, 5♣]",2025-09-22T14:02:59.557Z,175854977955700
"""るも @ 7n59-giX1P"" calls 220",2025-09-22T14:02:58.723Z,175854977872300
"The admin ""ノガード @ dlzwhIfu_I"" enqueued the game stop on next hand.",2025-09-22T14:02:56.535Z,175854977653500
"""池田 @ 9zseyWfctH"" raises to 220",2025-09-22T14:02:53.408Z,175854977340800
"""Hiiro @ Nb7FKJQWoe"" folds",2025-09-22T14:02:46.036Z,175854976603600
"""arash! @ lSXafQ4XJ9"" folds",2025-09-22T14:02:42.645Z,175854976264500
"""るも @ 7n59-giX1P"" raises to 50",2025-09-22T14:02:41.551Z,175854976155100
"""はなよ @ FEJiL4ZWA6"" folds",2025-09-22T14:02:37.950Z,175854975795000
"""ノガード @ dlzwhIfu_I"" folds",2025-09-22T14:02:36.902Z,175854975690200
"""池田 @ 9zseyWfctH"" posts a big blind of 20",2025-09-22T14:02:34.033Z,175854975403309
"""Hiiro @ Nb7FKJQWoe"" posts a small blind of 10",2025-09-22T14:02:34.033Z,175854975403308
"Your hand is K♠, 8♣",2025-09-22T14:02:34.033Z,175854975403305
"Player stacks: #1 ""ノガード @ dlzwhIfu_I"" (4021) | #2 ""はなよ @ FEJiL4ZWA6"" (1502) | #4 ""るも @ 7n59-giX1P"" (3550) | #7 ""arash! @ lSXafQ4XJ9"" (3020) | #8 ""Hiiro @ Nb7FKJQWoe"" (2518) | #10 ""池田 @ 9zseyWfctH"" (1870)",2025-09-22T14:02:34.033Z,175854975403301
"-- starting hand #160 (id: 32q8mvlvxuxe)  (No Limit Texas Hold'em) (dealer: ""arash! @ lSXafQ4XJ9"") --",2025-09-22T14:02:34.033Z,175854975403300
"-- ending hand #159 --",2025-09-22T14:02:31.129Z,175854975112902
"""arash! @ lSXafQ4XJ9"" collected 120 from pot",2025-09-22T14:02:31.129Z,175854975112901
"Uncalled bet of 150 returned to ""arash! @ lSXafQ4XJ9""",2025-09-22T14:02:31.129Z,175854975112900
"""ノガード @ dlzwhIfu_I"" folds",2025-09-22T14:02:30.303Z,175854975030300
"""Hiiro @ Nb7FKJQWoe"" folds",2025-09-22T14:02:29.006Z,175854974900600
"""arash! @ lSXafQ4XJ9"" raises to 200",2025-09-22T14:02:27.967Z,175854974796700
"""るも @ 7n59-giX1P"" folds",2025-09-22T14:02:23.073Z,175854974307300
"""はなよ @ FEJiL4ZWA6"" folds",2025-09-22T14:02:21.957Z,175854974195700
"""ノガード @ dlzwhIfu_I"" raises to 50",2025-09-22T14:02:20.252Z,175854974025200
"""池田 @ 9zseyWfctH"" folds",2025-09-22T14:02:12.318Z,175854973231800
"""Hiiro @ Nb7FKJQWoe"" posts a big blind of 20",2025-09-22T14:02:10.899Z,175854973089909
"""arash! @ lSXafQ4XJ9"" posts a small blind of 10",2025-09-22T14:02:10.899Z,175854973089908
"Your hand is 10♠, 10♦",2025-09-22T14:02:10.899Z,175854973089905
"Player stacks: #1 ""ノガード @ dlzwhIfu_I"" (4071) | #2 ""はなよ @ FEJiL4ZWA6"" (1502) | #4 ""るも @ 7n59-giX1P"" (3550) | #7 ""arash! @ lSXafQ4XJ9"" (2950) | #8 ""Hiiro @ Nb7FKJQWoe"" (2538) | #10 ""池田 @ 9zseyWfctH"" (1870)",2025-09-22T14:02:10.899Z,175854973089901
"-- starting hand #159 (id: ketfwom2fmek)  (No Limit Texas Hold'em) (dealer: ""るも @ 7n59-giX1P"") --",2025-09-22T14:02:10.899Z,175854973089900
"-- ending hand #158 --",2025-09-22T14:02:07.982Z,175854972798202
"""池田 @ 9zseyWfctH"" collected 50 from pot",2025-09-22T14:02:07.982Z,175854972798201
"Uncalled bet of 20 returned to ""池田 @ 9zseyWfctH""",2025-09-22T14:02:07.982Z,175854972798200
"""arash! @ lSXafQ4XJ9"" folds",2025-09-22T14:02:07.163Z,175854972716300
"""るも @ 7n59-giX1P"" folds",2025-09-22T14:02:04.342Z,175854972434200
"""はなよ @ FEJiL4ZWA6"" folds",2025-09-22T14:02:03.276Z,175854972327600
"""ノガード @ dlzwhIfu_I"" folds",2025-09-22T14:02:02.217Z,175854972221700
"""池田 @ 9zseyWfctH"" raises to 40",2025-09-22T14:01:58.567Z,175854971856700
"""Hiiro @ Nb7FKJQWoe"" folds",2025-09-22T14:01:55.464Z,175854971546400
"""arash! @ lSXafQ4XJ9"" posts a big blind of 20",2025-09-22T14:01:52.805Z,175854971280510
"""るも @ 7n59-giX1P"" posts a small blind of 10",2025-09-22T14:01:52.805Z,175854971280509
"Your hand is 3♥, 7♣",2025-09-22T14:01:52.805Z,175854971280506
"Player stacks: #1 ""ノガード @ dlzwhIfu_I"" (4071) | #2 ""はなよ @ FEJiL4ZWA6"" (1502) | #4 ""るも @ 7n59-giX1P"" (3560) | #7 ""arash! @ lSXafQ4XJ9"" (2970) | #8 ""Hiiro @ Nb7FKJQWoe"" (2538) | #10 ""池田 @ 9zseyWfctH"" (1840)",2025-09-22T14:01:52.805Z,175854971280502
"-- starting hand #158 (id: 6mpuyxfbmr2t)  (No Limit Texas Hold'em) (dead button) --",2025-09-22T14:01:52.805Z,175854971280501
"The player ""waho @ SnN6w1bdXE"" quits the game with a stack of 1920.",2025-09-22T14:01:52.805Z,175854971280500
"-- ending hand #157 --",2025-09-22T14:01:46.799Z,175854970679903
"""るも @ 7n59-giX1P"" collected 348 from pot with Two Pair, 4's & 3's (combination: 4♥, 4♣, 3♥, 3♠, K♠)",2025-09-22T14:01:46.799Z,175854970679902
"""るも @ 7n59-giX1P"" shows a 3♥, 4♥.",2025-09-22T14:01:46.799Z,175854970679901
"""はなよ @ FEJiL4ZWA6"" shows a 10♦, Q♦.",2025-09-22T14:01:46.799Z,175854970679900
"""るも @ 7n59-giX1P"" calls 77",2025-09-22T14:01:45.952Z,175854970595200
"""はなよ @ FEJiL4ZWA6"" bets 77",2025-09-22T14:01:05.541Z,175854966554100
"""るも @ 7n59-giX1P"" checks",2025-09-22T14:00:57.314Z,175854965731400
"River: 5♥, K♠, 2♠, 3♠ [4♣]",2025-09-22T14:00:36.660Z,175854963666000
"""はなよ @ FEJiL4ZWA6"" checks",2025-09-22T14:00:35.847Z,175854963584700
"""るも @ 7n59-giX1P"" checks",2025-09-22T14:00:31.756Z,175854963175600
"Turn: 5♥, K♠, 2♠ [3♠]",2025-09-22T14:00:28.659Z,175854962865900
"""るも @ 7n59-giX1P"" calls 42",2025-09-22T14:00:27.826Z,175854962782600
"""はなよ @ FEJiL4ZWA6"" bets 42",2025-09-22T14:00:10.932Z,175854961093200
"""るも @ 7n59-giX1P"" checks",2025-09-22T14:00:03.788Z,175854960378800
"Flop:  [5♥, K♠, 2♠]",2025-09-22T14:00:00.745Z,175854960074500
"""るも @ 7n59-giX1P"" calls 50",2025-09-22T13:59:59.894Z,175854959989400
"""waho @ SnN6w1bdXE"" folds",2025-09-22T13:59:56.150Z,175854959615000
"""はなよ @ FEJiL4ZWA6"" raises to 50",2025-09-22T13:59:55.113Z,175854959511300
"""ノガード @ dlzwhIfu_I"" folds",2025-09-22T13:59:45.864Z,175854958586400
"""池田 @ 9zseyWfctH"" folds",2025-09-22T13:59:44.730Z,175854958473000
"""Hiiro @ Nb7FKJQWoe"" folds",2025-09-22T13:59:28.683Z,175854956868300
"""arash! @ lSXafQ4XJ9"" folds",2025-09-22T13:59:27.669Z,175854956766900
"""るも @ 7n59-giX1P"" posts a big blind of 20",2025-09-22T13:59:22.903Z,175854956290310
"""waho @ SnN6w1bdXE"" posts a small blind of 10",2025-09-22T13:59:22.903Z,175854956290309
"Your hand is 4♠, K♥",2025-09-22T13:59:22.903Z,175854956290306
"Player stacks: #1 ""ノガード @ dlzwhIfu_I"" (4071) | #2 ""はなよ @ FEJiL4ZWA6"" (1671) | #3 ""waho @ SnN6w1bdXE"" (1930) | #4 ""るも @ 7n59-giX1P"" (3381) | #7 ""arash! @ lSXafQ4XJ9"" (2970) | #8 ""Hiiro @ Nb7FKJQWoe"" (2538) | #10 ""池田 @ 9zseyWfctH"" (1840)",2025-09-22T13:59:22.903Z,175854956290301
"-- starting hand #157 (id: dfa4rth0y8xq)  (No Limit Texas Hold'em) (dealer: ""はなよ @ FEJiL4ZWA6"") --",2025-09-22T13:59:22.903Z,175854956290300
"-- ending hand #156 --",2025-09-22T13:59:19.999Z,175854955999902
"""Hiiro @ Nb7FKJQWoe"" collected 930 from pot",2025-09-22T13:59:19.999Z,175854955999901
"Uncalled bet of 1608 returned to ""Hiiro @ Nb7FKJQWoe""",2025-09-22T13:59:19.999Z,175854955999900
"""はなよ @ FEJiL4ZWA6"" folds",2025-09-22T13:59:19.143Z,175854955914300
"""池田 @ 9zseyWfctH"" folds",2025-09-22T13:58:13.464Z,175854949346400
"""Hiiro @ Nb7FKJQWoe"" raises to 1998 and go all in",2025-09-22T13:58:12.331Z,175854949233100
