entry,at,order
"The player ""らねおか @ XaClitYV1x"" quits the game with a stack of 1785.",2025-09-22T14:07:18.187Z,175855003818700
"-- ending hand #86 --",2025-09-22T14:00:47.065Z,175854964706502
"""らねおか @ XaClitYV1x"" collected 150 from pot",2025-09-22T14:00:47.065Z,175854964706501
"Uncalled bet of 120 returned to ""らねおか @ XaClitYV1x""",2025-09-22T14:00:47.065Z,175854964706500
"""arash! @ lSXafQ4XJ9"" folds",2025-09-22T14:00:46.209Z,175854964620900
"""Doc @ rNZKJiwrNl"" folds",2025-09-22T14:00:44.972Z,175854964497200
"""teish! @ DuQ0jeoozT"" folds",2025-09-22T14:00:43.742Z,175854964374200
"The admin ""とーち @ OCY4-ehNwS"" enqueued the game stop on next hand.",2025-09-22T14:00:32.247Z,175854963224700
"""とーち @ OCY4-ehNwS"" folds",2025-09-22T14:00:13.510Z,175854961351000
"""らねおか @ XaClitYV1x"" raises to 180",2025-09-22T14:00:11.447Z,175854961144700
"""arash! @ lSXafQ4XJ9"" raises to 60",2025-09-22T14:00:05.613Z,175854960561300
"""Doc @ rNZKJiwrNl"" posts a big blind of 20",2025-09-22T13:59:59.330Z,175854959933008
"""teish! @ DuQ0jeoozT"" posts a small blind of 10",2025-09-22T13:59:59.330Z,175854959933007
"Your hand is 10♥, K♣",2025-09-22T13:59:59.330Z,175854959933002
"Player stacks: #2 ""arash! @ lSXafQ4XJ9"" (3100) | #4 ""らねおか @ XaClitYV1x"" (1695) | #5 ""とーち @ OCY4-ehNwS"" (2625) | #6 ""teish! @ DuQ0jeoozT"" (1980) | #8 ""Doc @ rNZKJiwrNl"" (2955)",2025-09-22T13:59:59.330Z,175854959933001
"-- starting hand #86 (id: iaoxcvgfexlc)  (No Limit Texas Hold'em) (dealer: ""とーち @ OCY4-ehNwS"") --",2025-09-22T13:59:59.330Z,175854959933000
"-- ending hand #85 --",2025-09-22T13:59:56.326Z,175854959632602
"""Doc @ rNZKJiwrNl"" collected 50 from pot",2025-09-22T13:59:56.326Z,175854959632601
"Uncalled bet of 20 returned to ""Doc @ rNZKJiwrNl""",2025-09-22T13:59:56.326Z,175854959632600
"""teish! @ DuQ0jeoozT"" folds",2025-09-22T13:59:55.458Z,175854959545800
"""とーち @ OCY4-ehNwS"" folds",2025-09-22T13:59:51.935Z,175854959193500
"""らねおか @ XaClitYV1x"" folds",2025-09-22T13:59:50.848Z,175854959084800
"""arash! @ lSXafQ4XJ9"" folds",2025-09-22T13:59:41.518Z,175854958151800
"""Doc @ rNZKJiwrNl"" raises to 40",2025-09-22T13:59:38.495Z,175854957849500
"""teish! @ DuQ0jeoozT"" posts a big blind of 20",2025-09-22T13:59:34.112Z,175854957411210
"""とーち @ OCY4-ehNwS"" posts a small blind of 10",2025-09-22T13:59:34.112Z,175854957411209
"Your hand is 2♠, 4♣",2025-09-22T13:59:34.112Z,175854957411204
"Player stacks: #2 ""arash! @ lSXafQ4XJ9"" (3100) | #4 ""らねおか @ XaClitYV1x"" (1695) | #5 ""とーち @ OCY4-ehNwS"" (2635) | #6 ""teish! @ DuQ0jeoozT"" (2000) | #8 ""Doc @ rNZKJiwrNl"" (2925)",2025-09-22T13:59:34.112Z,175854957411203
"-- starting hand #85 (id: tgof3wqrwhof)  (No Limit Texas Hold'em) (dealer: ""らねおか @ XaClitYV1x"") --",2025-09-22T13:59:34.112Z,175854957411202
"The player ""waho @ SnN6w1bdXE"" quits the game with a stack of 2660.",2025-09-22T13:59:34.112Z,175854957411201
"The admin updated the player ""teish! @ DuQ0jeoozT"" stack from 1080 to 2000.",2025-09-22T13:59:34.112Z,175854957411200
"""とーち @ OCY4-ehNwS"" shows a J♦, A♣.",2025-09-22T13:59:31.774Z,175854957177400
"""らねおか @ XaClitYV1x"" shows a J♣, J♠.",2025-09-22T13:59:30.342Z,175854957034200
"-- ending hand #84 --",2025-09-22T13:59:29.810Z,175854956981002
"""とーち @ OCY4-ehNwS"" collected 510 from pot",2025-09-22T13:59:29.810Z,175854956981001
"Uncalled bet of 540 returned to ""とーち @ OCY4-ehNwS""",2025-09-22T13:59:29.810Z,175854956981000
"""らねおか @ XaClitYV1x"" folds",2025-09-22T13:59:29.002Z,175854956900200
"""とーち @ OCY4-ehNwS"" raises to 600",2025-09-22T13:59:25.589Z,175854956558900
"""らねおか @ XaClitYV1x"" bets 60",2025-09-22T13:58:07.457Z,175854948745700
"River: 2♣, 4♣, 2♦, 8♣ [3♦]",2025-09-22T13:57:58.063Z,175854947806300
"""らねおか @ XaClitYV1x"" calls 75",2025-09-22T13:57:57.257Z,175854947725700
"""とーち @ OCY4-ehNwS"" bets 75",2025-09-22T13:57:54.583Z,175854947458300
"""らねおか @ XaClitYV1x"" checks",2025-09-22T13:57:10.324Z,175854943032400
"Turn: 2♣, 4♣, 2♦ [8♣]",2025-09-22T13:57:07.290Z,175854942729000
"WARNING: the admin queued the stack change for the player ""teish! @ DuQ0jeoozT"" reseting to 2000 chips in the next hand.",2025-09-22T13:57:07.236Z,175854942723600
"""らねおか @ XaClitYV1x"" calls 60",2025-09-22T13:57:06.317Z,175854942631700
"""とーち @ OCY4-ehNwS"" bets 60",2025-09-22T13:56:22.232Z,175854938223200
"""らねおか @ XaClitYV1x"" checks",2025-09-22T13:55:55.352Z,175854935535200
"Flop:  [2♣, 4♣, 2♦]",2025-09-22T13:55:51.549Z,175854935154900
"""とーち @ OCY4-ehNwS"" calls 60",2025-09-22T13:55:50.712Z,175854935071200
"""らねおか @ XaClitYV1x"" raises to 60",2025-09-22T13:55:48.144Z,175854934814400
"""arash! @ lSXafQ4XJ9"" folds",2025-09-22T13:55:44.557Z,175854934455700
"""waho @ SnN6w1bdXE"" folds",2025-09-22T13:55:42.273Z,175854934227300
"""Doc @ rNZKJiwrNl"" folds",2025-09-22T13:55:41.147Z,175854934114700
"""teish! @ DuQ0jeoozT"" folds",2025-09-22T13:55:40.024Z,175854934002400
"""とーち @ OCY4-ehNwS"" posts a big blind of 20",2025-09-22T13:55:36.187Z,175854933618709
"""らねおか @ XaClitYV1x"" posts a small blind of 10",2025-09-22T13:55:36.187Z,175854933618708
"Your hand is 7♥, 6♣",2025-09-22T13:55:36.187Z,175854933618702
"Player stacks: #2 ""arash! @ lSXafQ4XJ9"" (3100) | #4 ""らねおか @ XaClitYV1x"" (1950) | #5 ""とーち @ OCY4-ehNwS"" (2380) | #6 ""teish! @ DuQ0jeoozT"" (1080) | #8 ""Doc @ rNZKJiwrNl"" (2925) | #10 ""waho @ SnN6w1bdXE"" (2660)",2025-09-22T13:55:36.187Z,175854933618701
"-- starting hand #84 (id: 5tfreivtlxnj)  (No Limit Texas Hold'em) (dealer: ""arash! @ lSXafQ4XJ9"") --",2025-09-22T13:55:36.187Z,175854933618700
"""waho @ SnN6w1bdXE"" shows a J♠, A♣.",2025-09-22T13:55:33.467Z,175854933346700
"-- ending hand #83 --",2025-09-22T13:55:32.577Z,175854933257702
"""とーち @ OCY4-ehNwS"" collected 50 from pot",2025-09-22T13:55:32.577Z,175854933257701
"Uncalled bet of 20 returned to ""とーち @ OCY4-ehNwS""",2025-09-22T13:55:32.577Z,175854933257700
"""らねおか @ XaClitYV1x"" folds",2025-09-22T13:55:31.771Z,175854933177100
"""arash! @ lSXafQ4XJ9"" folds",2025-09-22T13:55:30.762Z,175854933076200
"""waho @ SnN6w1bdXE"" folds",2025-09-22T13:55:29.587Z,175854932958700
"""Doc @ rNZKJiwrNl"" folds",2025-09-22T13:55:12.122Z,175854931212200
"""teish! @ DuQ0jeoozT"" folds",2025-09-22T13:55:10.992Z,175854931099200
"""とーち @ OCY4-ehNwS"" raises to 40",2025-09-22T13:55:06.740Z,175854930674000
"""らねおか @ XaClitYV1x"" posts a big blind of 20",2025-09-22T13:55:01.782Z,175854930178209
"""arash! @ lSXafQ4XJ9"" posts a small blind of 10",2025-09-22T13:55:01.782Z,175854930178208
"Your hand is A♥, 6♠",2025-09-22T13:55:01.782Z,175854930178202
"Player stacks: #2 ""arash! @ lSXafQ4XJ9"" (3110) | #4 ""らねおか @ XaClitYV1x"" (1970) | #5 ""とーち @ OCY4-ehNwS"" (2350) | #6 ""teish! @ DuQ0jeoozT"" (1080) | #8 ""Doc @ rNZKJiwrNl"" (2925) | #10 ""waho @ SnN6w1bdXE"" (2660)",2025-09-22T13:55:01.782Z,175854930178201
"-- starting hand #83 (id: csollznnqcpo)  (No Limit Texas Hold'em) (dealer: ""waho @ SnN6w1bdXE"") --",2025-09-22T13:55:01.782Z,175854930178200
"-- ending hand #82 --",2025-09-22T13:54:58.796Z,175854929879602
"""waho @ SnN6w1bdXE"" collected 100 from pot",2025-09-22T13:54:58.796Z,175854929879601
"Uncalled bet of 180 returned to ""waho @ SnN6w1bdXE""",2025-09-22T13:54:58.796Z,175854929879600
"""とーち @ OCY4-ehNwS"" folds",2025-09-22T13:54:57.968Z,175854929796800
"""arash! @ lSXafQ4XJ9"" folds",2025-09-22T13:54:56.947Z,175854929694700
"""waho @ SnN6w1bdXE"" raises to 220",2025-09-22T13:54:54.816Z,175854929481600
"""Doc @ rNZKJiwrNl"" folds",2025-09-22T13:54:29.297Z,175854926929700
"""teish! @ DuQ0jeoozT"" folds",2025-09-22T13:54:28.188Z,175854926818800
"""とーち @ OCY4-ehNwS"" raises to 40",2025-09-22T13:54:27.047Z,175854926704700
"""らねおか @ XaClitYV1x"" folds",2025-09-22T13:54:18.737Z,175854925873700
"""arash! @ lSXafQ4XJ9"" posts a big blind of 20",2025-09-22T13:54:16.733Z,175854925673309
"""waho @ SnN6w1bdXE"" posts a small blind of 10",2025-09-22T13:54:16.733Z,175854925673308
"Your hand is K♠, 10♦",2025-09-22T13:54:16.733Z,175854925673302
"Player stacks: #2 ""arash! @ lSXafQ4XJ9"" (3130) | #4 ""らねおか @ XaClitYV1x"" (1970) | #5 ""とーち @ OCY4-ehNwS"" (2390) | #6 ""teish! @ DuQ0jeoozT"" (1080) | #8 ""Doc @ rNZKJiwrNl"" (2925) | #10 ""waho @ SnN6w1bdXE"" (2600)",2025-09-22T13:54:16.733Z,175854925673301
"-- starting hand #82 (id: hmrwffwyifzl)  (No Limit Texas Hold'em) (dealer: ""Doc @ rNZKJiwrNl"") --",2025-09-22T13:54:16.733Z,175854925673300
"-- ending hand #81 --",2025-09-22T13:54:13.823Z,175854925382302
"""Doc @ rNZKJiwrNl"" collected 140 from pot",2025-09-22T13:54:13.823Z,175854925382301
"Uncalled bet of 70 returned to ""Doc @ rNZKJiwrNl""",2025-09-22T13:54:13.823Z,175854925382300
"""arash! @ lSXafQ4XJ9"" folds",2025-09-22T13:54:13.005Z,175854925300500
