player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"TOMO()",upQSzf-M-C,2025-09-29T13:02:15.450Z,,2000,,2574,574
"mo'",-WgKDrZMvL,2025-09-29T12:12:56.391Z,2025-09-29T12:29:24.292Z,2500,2440,0,-60
"Utos",g0yui9LXM4,2025-09-29T11:23:08.077Z,2025-09-29T14:02:32.096Z,2400,2755,0,355
"MasatoM",Zvgc3jh8lw,2025-09-29T11:10:17.864Z,,5175,2758,3900,1483
"るも",7n59-giX1P,2025-09-29T11:07:18.379Z,2025-09-29T14:02:32.086Z,2420,1890,0,-530
"sigma",yHZrsG6l5j,2025-09-29T11:06:52.742Z,,3310,1420,3411,1521
"池田",9zseyWfctH,2025-09-29T11:01:51.347Z,,5270,3062,2685,477
"konasho",f_d8ebrXPg,2025-09-29T11:00:09.913Z,2025-09-29T11:12:46.215Z,2000,2340,0,340
"とーち",OCY4-ehNwS,2025-09-29T11:00:09.915Z,,2500,,2640,140
"ノガード",dlzwhIfu_I,2025-09-29T11:00:09.920Z,2025-09-29T11:08:22.629Z,2500,3000,0,500
"goto-neo",DEsmp5YN9f,2025-09-29T11:00:09.903Z,2025-09-29T11:12:46.209Z,3000,3000,0,0
"GIL RAIM",Oo-rx1G24B,2025-09-29T11:00:09.908Z,,5769,,1985,-3784
"arash!",lSXafQ4XJ9,2025-09-29T11:00:09.925Z,,3000,,1984,-1016
