entry,at,order
"The player ""Utos @ g0yui9LXM4"" quits the game with a stack of 2755.",2025-09-29T14:02:32.080Z,175915455208001
"The player ""るも @ 7n59-giX1P"" quits the game with a stack of 1890.",2025-09-29T14:02:32.080Z,175915455208000
"-- ending hand #165 --",2025-09-29T14:02:29.127Z,175915454912702
"""MasatoM @ Zvgc3jh8lw"" collected 40 from pot",2025-09-29T14:02:29.127Z,175915454912701
"Uncalled bet of 50 returned to ""MasatoM @ Zvgc3jh8lw""",2025-09-29T14:02:29.127Z,175915454912700
"""TOMO() @ upQSzf-M-C"" folds",2025-09-29T14:02:28.278Z,175915454827800
"""MasatoM @ Zvgc3jh8lw"" raises to 70",2025-09-29T14:02:26.319Z,175915454631900
"""arash! @ lSXafQ4XJ9"" folds",2025-09-29T14:02:21.640Z,175915454164000
"""sigma @ yHZrsG6l5j"" folds",2025-09-29T14:02:20.104Z,175915454010400
"The admin ""arash! @ lSXafQ4XJ9"" enqueued the game stop on next hand.",2025-09-29T14:02:08.625Z,175915452862500
"""Utos @ g0yui9LXM4"" folds",2025-09-29T14:02:07.187Z,175915452718700
"""池田 @ 9zseyWfctH"" folds",2025-09-29T14:02:04.345Z,175915452434500
"""るも @ 7n59-giX1P"" folds",2025-09-29T14:02:03.158Z,175915452315800
"""TOMO() @ upQSzf-M-C"" posts a big blind of 20",2025-09-29T14:02:00.916Z,175915452091610
"""MasatoM @ Zvgc3jh8lw"" posts a small blind of 10",2025-09-29T14:02:00.916Z,175915452091609
"Your hand is 5♦, J♣",2025-09-29T14:02:00.916Z,175915452091607
"Player stacks: #1 ""TOMO() @ upQSzf-M-C"" (2594) | #3 ""るも @ 7n59-giX1P"" (1890) | #6 ""池田 @ 9zseyWfctH"" (2685) | #7 ""Utos @ g0yui9LXM4"" (2755) | #8 ""sigma @ yHZrsG6l5j"" (3411) | #9 ""arash! @ lSXafQ4XJ9"" (1984) | #10 ""MasatoM @ Zvgc3jh8lw"" (3880)",2025-09-29T14:02:00.916Z,175915452091601
"-- starting hand #165 (id: csefbdc3xnim)  (No Limit Texas Hold'em) (dealer: ""arash! @ lSXafQ4XJ9"") --",2025-09-29T14:02:00.916Z,175915452091600
"""arash! @ lSXafQ4XJ9"" shows a 8♠, 8♦.",2025-09-29T14:01:58.418Z,175915451841800
"""TOMO() @ upQSzf-M-C"" shows a K♦, Q♦.",2025-09-29T14:01:57.923Z,175915451792300
"-- ending hand #164 --",2025-09-29T14:01:56.604Z,175915451660402
"""TOMO() @ upQSzf-M-C"" collected 370 from pot",2025-09-29T14:01:56.604Z,175915451660401
"Uncalled bet of 160 returned to ""TOMO() @ upQSzf-M-C""",2025-09-29T14:01:56.604Z,175915451660400
"""arash! @ lSXafQ4XJ9"" folds",2025-09-29T14:01:55.785Z,175915451578500
"""TOMO() @ upQSzf-M-C"" raises to 220",2025-09-29T14:01:53.170Z,175915451317000
"""arash! @ lSXafQ4XJ9"" bets 60",2025-09-29T14:01:11.988Z,175915447198800
"River: 10♠, 5♣, 9♦, 8♥ [J♣]",2025-09-29T14:00:44.339Z,175915444433900
"""TOMO() @ upQSzf-M-C"" checks",2025-09-29T14:00:43.485Z,175915444348500
"""arash! @ lSXafQ4XJ9"" checks",2025-09-29T14:00:25.556Z,175915442555600
