player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"goto-neo",DEsmp5YN9f,2025-09-29T13:54:46.823Z,2025-09-29T14:03:53.002Z,3000,3030,0,30
"Ene",7kPHYByVxS,2025-09-29T12:33:08.486Z,2025-09-29T12:57:04.086Z,2200,2840,0,640
"Ramune",QBTw2JRIw5,2025-09-29T12:25:33.135Z,2025-09-29T12:28:31.374Z,3000,3000,0,0
"池田",pZwnej-hJs,2025-09-29T12:19:38.667Z,2025-09-29T14:05:13.444Z,3200,2622,0,-578
"こうちゃん",tOQgx5q4M5,2025-09-29T12:19:08.785Z,2025-09-29T12:25:33.132Z,2500,2500,0,0
"Doc",rNZKJiwrNl,2025-09-29T12:15:31.076Z,,2500,,2200,-300
"池田",pZwnej-hJs,2025-09-29T11:31:45.674Z,2025-09-29T12:05:13.951Z,2000,0,0,-2000
"teish",DuQ0jeoozT,2025-09-29T11:30:11.777Z,,4016,2025,1970,-21
"Utos",g0yui9LXM4,2025-09-29T11:30:11.774Z,2025-09-29T14:03:52.996Z,2623,3662,0,1039
"Utos",g0yui9LXM4,2025-09-29T11:27:47.303Z,2025-09-29T11:28:43.541Z,2400,2400,0,0
"Ramune",soKGYfNQsD,2025-09-29T11:22:42.548Z,2025-09-29T12:20:16.963Z,2815,3418,0,603
"konasho",f_d8ebrXPg,2025-09-29T11:13:12.602Z,,3220,2230,1655,665
"goto-neo",DEsmp5YN9f,2025-09-29T11:13:12.600Z,2025-09-29T13:54:10.283Z,3281,0,0,-3281
"とーち",OCY4-ehNwS,2025-09-29T11:13:12.593Z,2025-09-29T14:03:52.992Z,2500,6415,0,3915
"ノガード",dlzwhIfu_I,2025-09-29T11:13:12.596Z,,3042,,2330,-712
