entry,at,order
"The player ""TOMO() @ upQSzf-M-C"" quits the game with a stack of 2665.",2025-10-06T14:01:05.843Z,175975926584300
"The player ""utos @ 7twUavutb1"" quits the game with a stack of 2380.",2025-10-06T14:01:02.151Z,175975926215100
"The player ""Ramune @ QBTw2JRIw5"" quits the game with a stack of 2701.",2025-10-06T14:00:58.297Z,175975925829700
"""MasatoM @ Zvgc3jh8lw"" shows a 8♦, A♠.",2025-10-06T14:00:56.697Z,175975925669700
"The admin ""ノガード @ dlzwhIfu_I"" enqueued the game stop on next hand.",2025-10-06T14:00:55.284Z,175975925528400
"-- ending hand #171 --",2025-10-06T14:00:54.693Z,175975925469302
"""utos @ 7twUavutb1"" collected 130 from pot",2025-10-06T14:00:54.693Z,175975925469301
"Uncalled bet of 200 returned to ""utos @ 7twUavutb1""",2025-10-06T14:00:54.693Z,175975925469300
"""MasatoM @ Zvgc3jh8lw"" folds",2025-10-06T14:00:53.824Z,175975925382400
"""utos @ 7twUavutb1"" raises to 260",2025-10-06T14:00:50.032Z,175975925003200
"""Doc @ rNZKJiwrNl"" folds",2025-10-06T14:00:45.290Z,175975924529000
"""MasatoM @ Zvgc3jh8lw"" raises to 60",2025-10-06T14:00:44.214Z,175975924421400
"""ノガード @ dlzwhIfu_I"" folds",2025-10-06T14:00:37.955Z,175975923795500
"""TOMO() @ upQSzf-M-C"" folds",2025-10-06T14:00:36.902Z,175975923690200
"""Ramune @ QBTw2JRIw5"" folds",2025-10-06T14:00:35.797Z,175975923579700
"""utos @ 7twUavutb1"" posts a big blind of 20",2025-10-06T14:00:33.271Z,175975923327109
"""Doc @ rNZKJiwrNl"" posts a small blind of 10",2025-10-06T14:00:33.271Z,175975923327108
"Player stacks: #1 ""Doc @ rNZKJiwrNl"" (2829) | #3 ""utos @ 7twUavutb1"" (2310) | #5 ""Ramune @ QBTw2JRIw5"" (2701) | #7 ""TOMO() @ upQSzf-M-C"" (2665) | #9 ""ノガード @ dlzwhIfu_I"" (2485) | #10 ""MasatoM @ Zvgc3jh8lw"" (3300)",2025-10-06T14:00:33.271Z,175975923327101
"-- starting hand #171 (id: 8lpipvliqtjy)  (No Limit Texas Hold'em) (dealer: ""MasatoM @ Zvgc3jh8lw"") --",2025-10-06T14:00:33.271Z,175975923327100
"-- ending hand #170 --",2025-10-06T14:00:30.336Z,175975923033602
"""utos @ 7twUavutb1"" collected 50 from pot",2025-10-06T14:00:30.336Z,175975923033601
"Uncalled bet of 20 returned to ""utos @ 7twUavutb1""",2025-10-06T14:00:30.336Z,175975923033600
"""Doc @ rNZKJiwrNl"" folds",2025-10-06T14:00:29.514Z,175975922951400
"""MasatoM @ Zvgc3jh8lw"" folds",2025-10-06T14:00:28.432Z,175975922843200
"""ノガード @ dlzwhIfu_I"" folds",2025-10-06T14:00:25.884Z,175975922588400
"""TOMO() @ upQSzf-M-C"" folds",2025-10-06T14:00:23.691Z,175975922369100
"""Ramune @ QBTw2JRIw5"" folds",2025-10-06T14:00:22.657Z,175975922265700
"""utos @ 7twUavutb1"" raises to 40",2025-10-06T14:00:21.584Z,175975922158400
"""Doc @ rNZKJiwrNl"" posts a big blind of 20",2025-10-06T14:00:18.733Z,175975921873309
"""MasatoM @ Zvgc3jh8lw"" posts a small blind of 10",2025-10-06T14:00:18.733Z,175975921873308
"Player stacks: #1 ""Doc @ rNZKJiwrNl"" (2849) | #3 ""utos @ 7twUavutb1"" (2280) | #5 ""Ramune @ QBTw2JRIw5"" (2701) | #7 ""TOMO() @ upQSzf-M-C"" (2665) | #9 ""ノガード @ dlzwhIfu_I"" (2485) | #10 ""MasatoM @ Zvgc3jh8lw"" (3310)",2025-10-06T14:00:18.733Z,175975921873301
"-- starting hand #170 (id: xmpg0dtcwhbw)  (No Limit Texas Hold'em) (dealer: ""ノガード @ dlzwhIfu_I"") --",2025-10-06T14:00:18.733Z,175975921873300
"""MasatoM @ Zvgc3jh8lw"" shows a 9♠, 8♦.",2025-10-06T14:00:16.208Z,175975921620800
"-- ending hand #169 --",2025-10-06T14:00:15.123Z,175975921512302
"""Doc @ rNZKJiwrNl"" collected 860 from pot",2025-10-06T14:00:15.123Z,175975921512301
"Uncalled bet of 860 returned to ""Doc @ rNZKJiwrNl""",2025-10-06T14:00:15.123Z,175975921512300
"""MasatoM @ Zvgc3jh8lw"" folds",2025-10-06T14:00:14.304Z,175975921430400
"""Doc @ rNZKJiwrNl"" raises to 1065",2025-10-06T13:57:53.780Z,175975907378000
"""MasatoM @ Zvgc3jh8lw"" bets 205",2025-10-06T13:57:29.429Z,175975904942900
"Turn: A♠, 6♠, 7♣ [5♠]",2025-10-06T13:57:14.467Z,175975903446700
"""Doc @ rNZKJiwrNl"" calls 180",2025-10-06T13:57:13.624Z,175975903362400
"""MasatoM @ Zvgc3jh8lw"" raises to 180",2025-10-06T13:56:38.102Z,175975899810200
"""Doc @ rNZKJiwrNl"" bets 30",2025-10-06T13:56:20.461Z,175975898046100
"""MasatoM @ Zvgc3jh8lw"" checks",2025-10-06T13:56:06.220Z,175975896622000
"Flop:  [A♠, 6♠, 7♣]",2025-10-06T13:56:00.978Z,175975896097800
"""MasatoM @ Zvgc3jh8lw"" calls 40",2025-10-06T13:56:00.157Z,175975896015700
"""ノガード @ dlzwhIfu_I"" folds",2025-10-06T13:55:56.317Z,175975895631700
"""TOMO() @ upQSzf-M-C"" folds",2025-10-06T13:55:55.278Z,175975895527800
"""Ramune @ QBTw2JRIw5"" folds",2025-10-06T13:55:54.233Z,175975895423300
"""utos @ 7twUavutb1"" folds",2025-10-06T13:55:53.203Z,175975895320300
"""Doc @ rNZKJiwrNl"" raises to 40",2025-10-06T13:55:51.222Z,175975895122200
"""MasatoM @ Zvgc3jh8lw"" posts a big blind of 20",2025-10-06T13:55:47.105Z,175975894710509
"""ノガード @ dlzwhIfu_I"" posts a small blind of 10",2025-10-06T13:55:47.105Z,175975894710508
"Player stacks: #1 ""Doc @ rNZKJiwrNl"" (2414) | #3 ""utos @ 7twUavutb1"" (2280) | #5 ""Ramune @ QBTw2JRIw5"" (2701) | #7 ""TOMO() @ upQSzf-M-C"" (2665) | #9 ""ノガード @ dlzwhIfu_I"" (2495) | #10 ""MasatoM @ Zvgc3jh8lw"" (3735)",2025-10-06T13:55:47.105Z,175975894710501
"-- starting hand #169 (id: trhw3x1r0agj)  (No Limit Texas Hold'em) (dealer: ""TOMO() @ upQSzf-M-C"") --",2025-10-06T13:55:47.105Z,175975894710500
"-- ending hand #168 --",2025-10-06T13:55:44.167Z,175975894416702
"""Ramune @ QBTw2JRIw5"" collected 110 from pot",2025-10-06T13:55:44.167Z,175975894416701
"Uncalled bet of 55 returned to ""Ramune @ QBTw2JRIw5""",2025-10-06T13:55:44.167Z,175975894416700
"""ノガード @ dlzwhIfu_I"" folds",2025-10-06T13:55:43.354Z,175975894335400
"""Ramune @ QBTw2JRIw5"" bets 55",2025-10-06T13:55:34.189Z,175975893418900
"""ノガード @ dlzwhIfu_I"" checks",2025-10-06T13:55:28.319Z,175975892831900
"Flop:  [3♣, 5♣, 3♥]",2025-10-06T13:55:25.496Z,175975892549600
"""ノガード @ dlzwhIfu_I"" calls 50",2025-10-06T13:55:24.657Z,175975892465700
"""TOMO() @ upQSzf-M-C"" folds",2025-10-06T13:55:18.076Z,175975891807600
"""Ramune @ QBTw2JRIw5"" raises to 50",2025-10-06T13:55:16.100Z,175975891610000
"""utos @ 7twUavutb1"" folds",2025-10-06T13:55:12.994Z,175975891299400
"""Doc @ rNZKJiwrNl"" folds",2025-10-06T13:55:04.290Z,175975890429000
"""MasatoM @ Zvgc3jh8lw"" folds",2025-10-06T13:55:03.126Z,175975890312600
"""ノガード @ dlzwhIfu_I"" posts a big blind of 20",2025-10-06T13:54:59.880Z,175975889988009
"""TOMO() @ upQSzf-M-C"" posts a small blind of 10",2025-10-06T13:54:59.880Z,175975889988008
"Player stacks: #1 ""Doc @ rNZKJiwrNl"" (2414) | #3 ""utos @ 7twUavutb1"" (2280) | #5 ""Ramune @ QBTw2JRIw5"" (2641) | #7 ""TOMO() @ upQSzf-M-C"" (2675) | #9 ""ノガード @ dlzwhIfu_I"" (2545) | #10 ""MasatoM @ Zvgc3jh8lw"" (3735)",2025-10-06T13:54:59.880Z,175975889988001
"-- starting hand #168 (id: 8tqcqdufzwou)  (No Limit Texas Hold'em) (dealer: ""Ramune @ QBTw2JRIw5"") --",2025-10-06T13:54:59.880Z,175975889988000
