entry,at,order
"The player ""SHINJI1223 @ -R7k1ogPyi"" quits the game with a stack of 3290.",2025-10-06T14:02:15.336Z,175975933533600
"The player ""池田 @ 9zseyWfctH"" quits the game with a stack of 2796.",2025-10-06T14:02:08.088Z,175975932808800
"""池田 @ 9zseyWfctH"" shows a K♥, 9♥.",2025-10-06T14:01:59.853Z,175975931985300
"""waho @ SnN6w1bdXE"" shows a 9♠, 2♣.",2025-10-06T14:01:58.480Z,175975931848000
"""SHINJI1223 @ -R7k1ogPyi"" shows a Q♣, A♥.",2025-10-06T14:01:57.973Z,175975931797300
"-- ending hand #117 --",2025-10-06T14:01:55.865Z,175975931586502
"""SHINJI1223 @ -R7k1ogPyi"" collected 50 from pot",2025-10-06T14:01:55.865Z,175975931586501
"Uncalled bet of 30 returned to ""SHINJI1223 @ -R7k1ogPyi""",2025-10-06T14:01:55.865Z,175975931586500
"""waho @ SnN6w1bdXE"" folds",2025-10-06T14:01:55.061Z,175975931506100
"""池田 @ 9zseyWfctH"" folds",2025-10-06T14:01:48.632Z,175975930863200
"""sigma @ yHZrsG6l5j"" folds",2025-10-06T14:01:47.474Z,175975930747400
"""hanayama_jam @ djAxtB5t0F"" folds",2025-10-06T14:01:45.927Z,175975930592700
"""SHINJI1223 @ -R7k1ogPyi"" raises to 50",2025-10-06T14:01:44.293Z,175975930429300
"The admin ""sigma @ yHZrsG6l5j"" enqueued the game stop on next hand.",2025-10-06T14:01:43.007Z,175975930300700
"""とーち @ OCY4-ehNwS"" folds",2025-10-06T14:01:38.739Z,175975929873900
"""waho @ SnN6w1bdXE"" posts a big blind of 20",2025-10-06T14:01:34.014Z,175975929401409
"""池田 @ 9zseyWfctH"" posts a small blind of 10",2025-10-06T14:01:34.014Z,175975929401408
"Player stacks: #3 ""sigma @ yHZrsG6l5j"" (1802) | #5 ""池田 @ 9zseyWfctH"" (2806) | #6 ""waho @ SnN6w1bdXE"" (2563) | #7 ""とーち @ OCY4-ehNwS"" (2410) | #9 ""SHINJI1223 @ -R7k1ogPyi"" (3260) | #10 ""hanayama_jam @ djAxtB5t0F"" (1939)",2025-10-06T14:01:34.014Z,175975929401401
"-- starting hand #117 (id: wrj5v4jkvslc)  (No Limit Texas Hold'em) (dealer: ""sigma @ yHZrsG6l5j"") --",2025-10-06T14:01:34.014Z,175975929401400
"-- ending hand #116 --",2025-10-06T14:01:31.100Z,175975929110002
"""池田 @ 9zseyWfctH"" collected 20 from pot",2025-10-06T14:01:31.100Z,175975929110001
"Uncalled bet of 10 returned to ""池田 @ 9zseyWfctH""",2025-10-06T14:01:31.100Z,175975929110000
"""sigma @ yHZrsG6l5j"" folds",2025-10-06T14:01:30.262Z,175975929026200
"""hanayama_jam @ djAxtB5t0F"" folds",2025-10-06T14:01:26.161Z,175975928616100
"""SHINJI1223 @ -R7k1ogPyi"" folds",2025-10-06T14:01:25.099Z,175975928509900
"""とーち @ OCY4-ehNwS"" folds",2025-10-06T14:01:23.831Z,175975928383100
"""waho @ SnN6w1bdXE"" folds",2025-10-06T14:01:22.821Z,175975928282100
"""池田 @ 9zseyWfctH"" posts a big blind of 20",2025-10-06T14:01:20.047Z,175975928004709
"""sigma @ yHZrsG6l5j"" posts a small blind of 10",2025-10-06T14:01:20.047Z,175975928004708
"Player stacks: #3 ""sigma @ yHZrsG6l5j"" (1812) | #5 ""池田 @ 9zseyWfctH"" (2796) | #6 ""waho @ SnN6w1bdXE"" (2563) | #7 ""とーち @ OCY4-ehNwS"" (2410) | #9 ""SHINJI1223 @ -R7k1ogPyi"" (3260) | #10 ""hanayama_jam @ djAxtB5t0F"" (1939)",2025-10-06T14:01:20.047Z,175975928004701
"-- starting hand #116 (id: f2xlg2dex6fn)  (No Limit Texas Hold'em) (dealer: ""hanayama_jam @ djAxtB5t0F"") --",2025-10-06T14:01:20.047Z,175975928004700
"-- ending hand #115 --",2025-10-06T14:01:17.126Z,175975927712602
"""SHINJI1223 @ -R7k1ogPyi"" collected 110 from pot",2025-10-06T14:01:17.126Z,175975927712601
"Uncalled bet of 40 returned to ""SHINJI1223 @ -R7k1ogPyi""",2025-10-06T14:01:17.126Z,175975927712600
"""sigma @ yHZrsG6l5j"" folds",2025-10-06T14:01:16.303Z,175975927630300
"""SHINJI1223 @ -R7k1ogPyi"" bets 40",2025-10-06T14:00:52.993Z,175975925299300
"""sigma @ yHZrsG6l5j"" checks",2025-10-06T14:00:47.837Z,175975924783700
"Flop:  [7♦, K♠, 9♠]",2025-10-06T14:00:45.157Z,175975924515700
"""sigma @ yHZrsG6l5j"" calls 50",2025-10-06T14:00:44.312Z,175975924431200
"""hanayama_jam @ djAxtB5t0F"" folds",2025-10-06T14:00:39.883Z,175975923988300
"""SHINJI1223 @ -R7k1ogPyi"" raises to 50",2025-10-06T14:00:38.084Z,175975923808400
"""とーち @ OCY4-ehNwS"" folds",2025-10-06T14:00:32.427Z,175975923242700
"""waho @ SnN6w1bdXE"" folds",2025-10-06T14:00:29.794Z,175975922979400
"""池田 @ 9zseyWfctH"" folds",2025-10-06T14:00:25.393Z,175975922539300
"""sigma @ yHZrsG6l5j"" posts a big blind of 20",2025-10-06T14:00:23.861Z,175975922386109
"""hanayama_jam @ djAxtB5t0F"" posts a small blind of 10",2025-10-06T14:00:23.861Z,175975922386108
"Player stacks: #3 ""sigma @ yHZrsG6l5j"" (1862) | #5 ""池田 @ 9zseyWfctH"" (2796) | #6 ""waho @ SnN6w1bdXE"" (2563) | #7 ""とーち @ OCY4-ehNwS"" (2410) | #9 ""SHINJI1223 @ -R7k1ogPyi"" (3200) | #10 ""hanayama_jam @ djAxtB5t0F"" (1949)",2025-10-06T14:00:23.861Z,175975922386101
"-- starting hand #115 (id: kjxurdlgbfak)  (No Limit Texas Hold'em) (dealer: ""SHINJI1223 @ -R7k1ogPyi"") --",2025-10-06T14:00:23.861Z,175975922386100
"-- ending hand #114 --",2025-10-06T14:00:20.936Z,175975922093602
"""SHINJI1223 @ -R7k1ogPyi"" collected 40 from pot",2025-10-06T14:00:20.936Z,175975922093601
"Uncalled bet of 40 returned to ""SHINJI1223 @ -R7k1ogPyi""",2025-10-06T14:00:20.936Z,175975922093600
"""hanayama_jam @ djAxtB5t0F"" folds",2025-10-06T14:00:20.128Z,175975922012800
"""SHINJI1223 @ -R7k1ogPyi"" raises to 60",2025-10-06T14:00:19.096Z,175975921909600
"""とーち @ OCY4-ehNwS"" folds",2025-10-06T14:00:15.307Z,175975921530700
"""waho @ SnN6w1bdXE"" folds",2025-10-06T14:00:14.312Z,175975921431200
"""池田 @ 9zseyWfctH"" folds",2025-10-06T14:00:12.544Z,175975921254400
"""sigma @ yHZrsG6l5j"" folds",2025-10-06T14:00:11.505Z,175975921150500
"""hanayama_jam @ djAxtB5t0F"" posts a big blind of 20",2025-10-06T14:00:08.328Z,175975920832809
"""SHINJI1223 @ -R7k1ogPyi"" posts a small blind of 10",2025-10-06T14:00:08.328Z,175975920832808
"Player stacks: #3 ""sigma @ yHZrsG6l5j"" (1862) | #5 ""池田 @ 9zseyWfctH"" (2796) | #6 ""waho @ SnN6w1bdXE"" (2563) | #7 ""とーち @ OCY4-ehNwS"" (2410) | #9 ""SHINJI1223 @ -R7k1ogPyi"" (3180) | #10 ""hanayama_jam @ djAxtB5t0F"" (1969)",2025-10-06T14:00:08.328Z,175975920832801
"-- starting hand #114 (id: 2rqh6sjkfmn9)  (No Limit Texas Hold'em) (dealer: ""とーち @ OCY4-ehNwS"") --",2025-10-06T14:00:08.328Z,175975920832800
"-- ending hand #113 --",2025-10-06T14:00:05.412Z,175975920541202
"""hanayama_jam @ djAxtB5t0F"" collected 50 from pot",2025-10-06T14:00:05.412Z,175975920541201
"Uncalled bet of 25 returned to ""hanayama_jam @ djAxtB5t0F""",2025-10-06T14:00:05.412Z,175975920541200
"""SHINJI1223 @ -R7k1ogPyi"" folds",2025-10-06T14:00:04.585Z,175975920458500
"""とーち @ OCY4-ehNwS"" folds",2025-10-06T14:00:02.479Z,175975920247900
"""waho @ SnN6w1bdXE"" folds",2025-10-06T14:00:01.351Z,175975920135100
"""池田 @ 9zseyWfctH"" folds",2025-10-06T13:59:59.231Z,175975919923100
"""sigma @ yHZrsG6l5j"" folds",2025-10-06T13:59:58.164Z,175975919816400
"""hanayama_jam @ djAxtB5t0F"" raises to 45",2025-10-06T13:59:52.924Z,175975919292400
"""SHINJI1223 @ -R7k1ogPyi"" posts a big blind of 20",2025-10-06T13:59:49.404Z,175975918940409
"""とーち @ OCY4-ehNwS"" posts a small blind of 10",2025-10-06T13:59:49.404Z,175975918940408
"Player stacks: #3 ""sigma @ yHZrsG6l5j"" (1862) | #5 ""池田 @ 9zseyWfctH"" (2796) | #6 ""waho @ SnN6w1bdXE"" (2563) | #7 ""とーち @ OCY4-ehNwS"" (2420) | #9 ""SHINJI1223 @ -R7k1ogPyi"" (3200) | #10 ""hanayama_jam @ djAxtB5t0F"" (1939)",2025-10-06T13:59:49.404Z,175975918940401
"-- starting hand #113 (id: upvyz2rj8dzv)  (No Limit Texas Hold'em) (dealer: ""waho @ SnN6w1bdXE"") --",2025-10-06T13:59:49.404Z,175975918940400
"-- ending hand #112 --",2025-10-06T13:59:46.479Z,175975918647902
"""hanayama_jam @ djAxtB5t0F"" collected 50 from pot",2025-10-06T13:59:46.479Z,175975918647901
"Uncalled bet of 30 returned to ""hanayama_jam @ djAxtB5t0F""",2025-10-06T13:59:46.479Z,175975918647900
"""とーち @ OCY4-ehNwS"" folds",2025-10-06T13:59:45.669Z,175975918566900
"""waho @ SnN6w1bdXE"" folds",2025-10-06T13:59:44.666Z,175975918466600
"""池田 @ 9zseyWfctH"" folds",2025-10-06T13:59:43.387Z,175975918338700
"""sigma @ yHZrsG6l5j"" folds",2025-10-06T13:59:42.288Z,175975918228800
"""hanayama_jam @ djAxtB5t0F"" raises to 50",2025-10-06T13:59:35.418Z,175975917541800
"""SHINJI1223 @ -R7k1ogPyi"" folds",2025-10-06T13:59:27.987Z,175975916798700
"""とーち @ OCY4-ehNwS"" posts a big blind of 20",2025-10-06T13:59:25.118Z,175975916511809
"""waho @ SnN6w1bdXE"" posts a small blind of 10",2025-10-06T13:59:25.118Z,175975916511808
"Player stacks: #3 ""sigma @ yHZrsG6l5j"" (1862) | #5 ""池田 @ 9zseyWfctH"" (2796) | #6 ""waho @ SnN6w1bdXE"" (2573) | #7 ""とーち @ OCY4-ehNwS"" (2440) | #9 ""SHINJI1223 @ -R7k1ogPyi"" (3200) | #10 ""hanayama_jam @ djAxtB5t0F"" (1909)",2025-10-06T13:59:25.118Z,175975916511801
"-- starting hand #112 (id: 5l2tug35un5x)  (No Limit Texas Hold'em) (dealer: ""池田 @ 9zseyWfctH"") --",2025-10-06T13:59:25.118Z,175975916511800
"-- ending hand #111 --",2025-10-06T13:59:19.115Z,175975915911502
"""waho @ SnN6w1bdXE"" collected 300 from pot with Three of a Kind, A's (combination: A♣, A♥, A♠, Q♠, J♠)",2025-10-06T13:59:19.115Z,175975915911501
"""waho @ SnN6w1bdXE"" shows a A♣, Q♠.",2025-10-06T13:59:19.115Z,175975915911500
"""とーち @ OCY4-ehNwS"" calls 50",2025-10-06T13:59:18.302Z,175975915830200
"""waho @ SnN6w1bdXE"" bets 50",2025-10-06T13:58:58.006Z,175975913800600
"River: A♥, 6♣, J♠, 5♣ [A♠]",2025-10-06T13:58:17.146Z,175975909714600
"""とーち @ OCY4-ehNwS"" checks",2025-10-06T13:58:16.329Z,175975909632900
"""waho @ SnN6w1bdXE"" checks",2025-10-06T13:58:07.931Z,175975908793100
"Turn: A♥, 6♣, J♠ [5♣]",2025-10-06T13:58:05.936Z,175975908593600
"""waho @ SnN6w1bdXE"" calls 40",2025-10-06T13:58:05.110Z,175975908511000
"""池田 @ 9zseyWfctH"" folds",2025-10-06T13:57:59.468Z,175975907946800
"""とーち @ OCY4-ehNwS"" bets 40",2025-10-06T13:57:57.519Z,175975907751900
"""waho @ SnN6w1bdXE"" checks",2025-10-06T13:57:46.718Z,175975906671800
"""池田 @ 9zseyWfctH"" checks",2025-10-06T13:57:44.876Z,175975906487600
"Flop:  [A♥, 6♣, J♠]",2025-10-06T13:57:42.624Z,175975906262400
"""waho @ SnN6w1bdXE"" calls 40",2025-10-06T13:57:41.816Z,175975906181600
"""池田 @ 9zseyWfctH"" calls 40",2025-10-06T13:57:33.811Z,175975905381100
"""sigma @ yHZrsG6l5j"" folds",2025-10-06T13:57:29.311Z,175975904931100
"""hanayama_jam @ djAxtB5t0F"" folds",2025-10-06T13:57:28.300Z,175975904830000
