player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"北ふくろー",zsx3K4oKRX,2025-10-13T13:27:17.104Z,,3000,,2365,-635
"Ene",7kPHYByVxS,2025-10-13T12:39:31.805Z,2025-10-13T14:03:07.607Z,2200,3176,0,976
"Doc",rNZKJiwrNl,2025-10-13T12:13:50.820Z,,3150,,3335,185
"とーち",OCY4-ehNwS,2025-10-13T11:55:51.734Z,,2500,,2512,12
"カイン",QK8nAFN9E2,2025-10-13T11:48:43.809Z,2025-10-13T14:02:42.887Z,2500,5970,0,3470
"とーち",OCY4-ehNwS,2025-10-13T11:45:21.996Z,2025-10-13T11:53:37.713Z,2500,0,0,-2500
"るも",7n59-giX1P,2025-10-13T11:27:07.671Z,,3180,,1950,-1230
"goto-neo",3uy3Mlil7r,2025-10-13T11:27:07.669Z,2025-10-13T12:03:07.032Z,2500,5045,0,2545
"ねくと",Ck64WUkvLh,2025-10-13T11:24:20.138Z,,3000,,2898,-102
"So",ZzJHmKyKjA,2025-10-13T11:16:37.795Z,2025-10-13T12:12:19.572Z,6062,3000,0,-3062
"Fro",LFyNmo-lH4,2025-10-13T11:02:26.323Z,,4990,1145,2932,-913
"konasho",f_d8ebrXPg,2025-10-13T11:02:26.326Z,2025-10-13T12:03:07.028Z,2260,4077,0,1817
"ノガード",dlzwhIfu_I,2025-10-13T11:02:26.320Z,,3118,,2555,-563
