player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"konasho",f_d8ebrXPg,2025-10-20T13:04:15.828Z,,2000,,2240,240
"池田",9zseyWfctH,2025-10-20T12:16:59.025Z,2025-10-20T14:32:42.647Z,3812,2290,0,-1522
"ばどえあー",3A5XxHAeWL,2025-10-20T12:13:14.241Z,,3335,,2045,-1290
"IAMB",gjmiQ4-uAW,2025-10-20T12:11:59.930Z,2025-10-20T13:58:17.560Z,3565,1970,0,-1595
"waho",SnN6w1bdXE,2025-10-20T11:56:57.719Z,2025-10-20T13:57:37.680Z,3078,3222,0,144
"konasho",f_d8ebrXPg,2025-10-20T11:38:50.878Z,2025-10-20T13:02:00.233Z,2905,0,0,-2905
"とーち",OCY4-ehNwS,2025-10-20T11:28:59.837Z,2025-10-20T11:49:12.581Z,2500,1910,0,-590
"SHINJI1223",-R7k1ogPyi,2025-10-20T11:28:44.443Z,2025-10-20T13:35:12.252Z,3073,3147,0,74
"らねおか",XaClitYV1x,2025-10-20T11:27:12.685Z,2025-10-20T12:13:33.593Z,2500,3247,0,747
"Hibari",aonl-IBbRz,2025-10-20T11:20:30.536Z,2025-10-20T11:48:11.637Z,3000,2954,0,-46
"chinsan",rs6S-uvF6p,2025-10-20T11:17:45.572Z,,2000,8761,2493,9254
"るも",zQtsXjEaZl,2025-10-20T11:06:08.694Z,2025-10-20T11:49:12.577Z,2000,1888,0,-112
"goto-neo",3uy3Mlil7r,2025-10-20T11:00:09.200Z,2025-10-20T11:49:12.573Z,2270,2411,0,141
"ノガード",dlzwhIfu_I,2025-10-20T11:00:09.193Z,,5345,,2805,-2540
