entry,at,order
"The player ""池田 @ 9zseyWfctH"" quits the game with a stack of 2290.",2025-10-20T14:32:42.641Z,176097076264100
"The player ""chinsan @ rs6S-uvF6p"" changed the ID from QRNZpD-B0P to rs6S-uvF6p because authenticated login.",2025-10-20T14:05:40.947Z,176096914094700
"""konasho @ f_d8ebrXPg"" shows a 2♠, 2♥.",2025-10-20T14:01:40.789Z,176096890078900
"-- ending hand #253 --",2025-10-20T14:01:39.052Z,176096889905202
"""池田 @ 9zseyWfctH"" collected 110 from pot",2025-10-20T14:01:39.052Z,176096889905201
"Uncalled bet of 35 returned to ""池田 @ 9zseyWfctH""",2025-10-20T14:01:39.052Z,176096889905200
"""konasho @ f_d8ebrXPg"" folds",2025-10-20T14:01:38.190Z,176096889819000
"""池田 @ 9zseyWfctH"" bets 35",2025-10-20T14:01:35.250Z,176096889525000
"""konasho @ f_d8ebrXPg"" checks",2025-10-20T14:00:28.120Z,176096882812000
"Flop:  [10♠, 7♥, 5♣]",2025-10-20T14:00:23.378Z,176096882337800
"""konasho @ f_d8ebrXPg"" calls 50",2025-10-20T14:00:22.569Z,176096882256900
"""chinsan @ QRNZpD-B0P"" folds",2025-10-20T14:00:20.549Z,176096882054900
"""池田 @ 9zseyWfctH"" raises to 50",2025-10-20T14:00:19.493Z,176096881949300
"The admin ""ノガード @ dlzwhIfu_I"" enqueued the game stop on next hand.",2025-10-20T14:00:18.029Z,176096881802900
"""ノガード @ dlzwhIfu_I"" folds",2025-10-20T14:00:15.344Z,176096881534400
"""ばどえあー @ 3A5XxHAeWL"" folds",2025-10-20T14:00:13.618Z,176096881361800
"""konasho @ f_d8ebrXPg"" posts a big blind of 20",2025-10-20T14:00:11.167Z,176096881116708
"""chinsan @ QRNZpD-B0P"" posts a small blind of 10",2025-10-20T14:00:11.167Z,176096881116707
"Player stacks: #2 ""ばどえあー @ 3A5XxHAeWL"" (2045) | #4 ""ノガード @ dlzwhIfu_I"" (2805) | #6 ""池田 @ 9zseyWfctH"" (2230) | #9 ""chinsan @ QRNZpD-B0P"" (2503) | #10 ""konasho @ f_d8ebrXPg"" (2290)",2025-10-20T14:00:11.167Z,176096881116701
"-- starting hand #253 (id: o0rgygfpkueu)  (No Limit Texas Hold'em) (dealer: ""池田 @ 9zseyWfctH"") --",2025-10-20T14:00:11.167Z,176096881116700
