entry,at,order
"The player ""Miharu @ AAC7lMsXCu"" quits the game with a stack of 3438.",2025-10-20T14:00:51.627Z,176096885162700
"The player ""Miharu @ AAC7lMsXCu"" stand up with the stack of 3438.",2025-10-20T14:00:49.833Z,176096884983300
"The player ""カイン @ QK8nAFN9E2"" quits the game with a stack of 2225.",2025-10-20T14:00:27.181Z,176096882718100
"The player ""Ene @ 7kPHYByVxS"" quits the game with a stack of 2137.",2025-10-20T14:00:24.577Z,176096882457700
"The admin ""goto-neo @ 3uy3Mlil7r"" enqueued the game stop on next hand.",2025-10-20T14:00:20.543Z,176096882054300
"-- ending hand #80 --",2025-10-20T14:00:18.573Z,176096881857302
"""Miharu @ AAC7lMsXCu"" collected 450 from pot with Straight, 5 High (combination: 5♣, 4♣, 3♦, 2♥, A♥)",2025-10-20T14:00:18.573Z,176096881857301
"""Miharu @ AAC7lMsXCu"" shows a 4♣, 5♣.",2025-10-20T14:00:18.573Z,176096881857300
"""カイン @ QK8nAFN9E2"" calls 120",2025-10-20T14:00:17.757Z,176096881775700
"""Miharu @ AAC7lMsXCu"" bets 120",2025-10-20T14:00:13.798Z,176096881379800
"""カイン @ QK8nAFN9E2"" checks",2025-10-20T13:59:51.245Z,176096879124500
"River: 3♦, J♣, 4♠, 2♥ [A♥]",2025-10-20T13:59:48.205Z,176096878820500
"""カイン @ QK8nAFN9E2"" calls 40",2025-10-20T13:59:47.321Z,176096878732100
"""Miharu @ AAC7lMsXCu"" bets 40",2025-10-20T13:59:41.622Z,176096878162200
"""カイン @ QK8nAFN9E2"" checks",2025-10-20T13:59:24.817Z,176096876481700
"Turn: 3♦, J♣, 4♠ [2♥]",2025-10-20T13:59:21.854Z,176096876185400
"""Miharu @ AAC7lMsXCu"" checks",2025-10-20T13:59:21.018Z,176096876101800
"""カイン @ QK8nAFN9E2"" checks",2025-10-20T13:59:15.999Z,176096875599900
"Flop:  [3♦, J♣, 4♠]",2025-10-20T13:59:13.450Z,176096875345000
"""Ene @ 7kPHYByVxS"" folds",2025-10-20T13:59:12.638Z,176096875263800
