player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Hibari",gG60J3OV2j,2025-10-27T13:08:45.873Z,2025-10-27T14:01:19.198Z,3000,3165,0,165
"マツケン",eYO1CvV4v9,2025-10-27T12:35:19.430Z,2025-10-27T14:03:21.158Z,2000,3421,0,1421
"Shindo",6Wn2Yz7jGc,2025-10-27T12:21:12.838Z,2025-10-27T14:05:26.119Z,3000,6039,0,3039
"マツケン",eYO1CvV4v9,2025-10-27T11:56:10.166Z,2025-10-27T12:34:17.961Z,2200,0,0,-2200
"Ene",7kPHYByVxS,2025-10-27T11:54:10.455Z,2025-10-27T14:02:41.657Z,2200,3544,0,1344
"Ene",7kPHYByVxS,2025-10-27T11:43:31.121Z,2025-10-27T11:53:52.440Z,2200,0,0,-2200
"Tom",1pz3XQvr3U,2025-10-27T11:08:37.553Z,2025-10-27T14:04:53.331Z,4827,4878,0,51
"粗茶",ALOhwkjN9v,2025-10-27T11:05:52.109Z,2025-10-27T11:09:38.242Z,2000,1970,0,-30
"ノガード",dlzwhIfu_I,2025-10-27T11:05:52.107Z,2025-10-27T11:09:38.240Z,2500,2500,0,0
"池田",9zseyWfctH,2025-10-27T11:05:52.100Z,2025-10-27T11:09:38.237Z,2000,2075,0,75
"konasho",f_d8ebrXPg,2025-10-27T11:02:38.580Z,,2000,,1996,-4
"Ene",7kPHYByVxS,2025-10-27T11:02:38.578Z,2025-10-27T11:41:55.226Z,2200,0,0,-2200
"goto-neo",3uy3Mlil7r,2025-10-27T11:00:58.840Z,,3000,3317,2180,2497
"Shindo",6Wn2Yz7jGc,2025-10-27T11:00:58.831Z,2025-10-27T12:19:16.271Z,4328,0,0,-4328
"MasatoM",Zvgc3jh8lw,2025-10-27T11:00:58.842Z,2025-10-27T12:58:35.562Z,3000,8424,0,5424
"ノガード",dlzwhIfu_I,2025-10-27T11:00:58.847Z,2025-10-27T11:04:59.769Z,2500,0,0,-2500
"arash!",Y0GHwUT0az,2025-10-27T11:00:58.835Z,,5921,2360,3007,-554
