entry,at,order
"The player ""Shindo @ 6Wn2Yz7jGc"" quits the game with a stack of 6039.",2025-10-27T14:05:26.112Z,176157392611200
"The player ""Tom @ 1pz3XQvr3U"" quits the game with a stack of 3355.",2025-10-27T14:04:53.327Z,176157389332700
"The player ""マツケン @ eYO1CvV4v9"" quits the game with a stack of 3421.",2025-10-27T14:03:21.155Z,176157380115500
"The player ""Ene @ 7kPHYByVxS"" quits the game with a stack of 0.",2025-10-27T14:02:41.654Z,176157376165400
"-- ending hand #199 --",2025-10-27T14:02:35.647Z,176157375564701
"""Shindo @ 6Wn2Yz7jGc"" collected 5456 from pot with Full House, K's over 10's (combination: K♦, K♣, K♠, 10♣, 10♦)",2025-10-27T14:02:35.647Z,176157375564700
"River: K♠, 10♣, 10♦, A♣ [Q♥]",2025-10-27T14:02:31.642Z,176157375164200
"Turn: K♠, 10♣, 10♦ [A♣]",2025-10-27T14:02:27.591Z,176157374759100
"Flop:  [K♠, 10♣, 10♦]",2025-10-27T14:02:23.560Z,176157374356000
"""Shindo @ 6Wn2Yz7jGc"" shows a K♦, K♣.",2025-10-27T14:02:19.485Z,176157373948501
"""Ene @ 7kPHYByVxS"" shows a K♥, Q♠.",2025-10-27T14:02:19.485Z,176157373948500
"""konasho @ f_d8ebrXPg"" folds",2025-10-27T14:02:18.658Z,176157373865800
"""Shindo @ 6Wn2Yz7jGc"" raises to 2648",2025-10-27T14:02:16.806Z,176157373680600
"""Ene @ 7kPHYByVxS"" raises to 2648 and go all in",2025-10-27T14:02:04.434Z,176157372443400
"""Tom @ 1pz3XQvr3U"" folds",2025-10-27T14:01:50.662Z,176157371066200
"""konasho @ f_d8ebrXPg"" raises to 150",2025-10-27T14:01:49.620Z,176157370962000
"""Shindo @ 6Wn2Yz7jGc"" raises to 50",2025-10-27T14:01:43.973Z,176157370397300
"""goto-neo @ 3uy3Mlil7r"" folds",2025-10-27T14:01:41.188Z,176157370118800
"""マツケン @ eYO1CvV4v9"" folds",2025-10-27T14:01:40.166Z,176157370016600
"""arash! @ Y0GHwUT0az"" folds",2025-10-27T14:01:39.013Z,176157369901300
"The admin ""arash! @ Y0GHwUT0az"" enqueued the game stop on next hand.",2025-10-27T14:01:38.341Z,176157369834100
"""Ene @ 7kPHYByVxS"" posts a big blind of 20",2025-10-27T14:01:19.192Z,176157367919211
"""Tom @ 1pz3XQvr3U"" posts a small blind of 10",2025-10-27T14:01:19.192Z,176157367919210
"Player stacks: #1 ""konasho @ f_d8ebrXPg"" (2146) | #2 ""Tom @ 1pz3XQvr3U"" (3365) | #4 ""Ene @ 7kPHYByVxS"" (2648) | #6 ""arash! @ Y0GHwUT0az"" (3007) | #7 ""マツケン @ eYO1CvV4v9"" (3421) | #8 ""goto-neo @ 3uy3Mlil7r"" (2180) | #10 ""Shindo @ 6Wn2Yz7jGc"" (3231)",2025-10-27T14:01:19.192Z,176157367919202
"-- starting hand #199 (id: olxyr3bv2o6y)  (No Limit Texas Hold'em) (dealer: ""konasho @ f_d8ebrXPg"") --",2025-10-27T14:01:19.192Z,176157367919201
"The player ""Hibari @ gG60J3OV2j"" quits the game with a stack of 3165.",2025-10-27T14:01:19.192Z,176157367919200
"""Tom @ 1pz3XQvr3U"" shows a 7♠, 9♠.",2025-10-27T14:01:17.124Z,176157367712400
"""Shindo @ 6Wn2Yz7jGc"" shows a Q♠, K♦.",2025-10-27T14:01:16.099Z,176157367609900
"-- ending hand #198 --",2025-10-27T14:01:14.889Z,176157367488902
"""Shindo @ 6Wn2Yz7jGc"" collected 110 from pot",2025-10-27T14:01:14.889Z,176157367488901
"Uncalled bet of 67 returned to ""Shindo @ 6Wn2Yz7jGc""",2025-10-27T14:01:14.889Z,176157367488900
"""Tom @ 1pz3XQvr3U"" folds",2025-10-27T14:01:14.071Z,176157367407100
"""Shindo @ 6Wn2Yz7jGc"" bets 67",2025-10-27T14:01:11.633Z,176157367163300
"""Tom @ 1pz3XQvr3U"" checks",2025-10-27T14:00:58.540Z,176157365854000
"Flop:  [4♥, J♣, 6♦]",2025-10-27T14:00:57.135Z,176157365713500
