player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"ノガード",dlzwhIfu_I,2025-10-27T13:27:13.694Z,,2500,,2225,-275
"たつにい",A2MC0-G8sO,2025-10-27T13:24:24.223Z,2025-10-27T14:01:12.633Z,2635,2386,0,-249
"Shindo",CdJ7XyzSRz,2025-10-27T12:51:34.868Z,2025-10-27T14:01:58.297Z,3973,2635,0,-1338
"らねおか",XaClitYV1x,2025-10-27T12:31:28.766Z,,5000,1820,2474,-706
"Ene",7kPHYByVxS,2025-10-27T12:22:17.187Z,2025-10-27T14:00:41.874Z,2200,1976,0,-224
"らねおか",XaClitYV1x,2025-10-27T12:19:54.695Z,2025-10-27T12:30:30.413Z,2500,1960,0,-540
"LostLamb",nZVZhqDbpq,2025-10-27T12:24:48.793Z,2025-10-27T14:00:50.496Z,2000,6516,0,4516
"chinsan",rs6S-uvF6p,2025-10-27T12:02:49.566Z,2025-10-27T14:01:24.192Z,3709,4050,0,341
"るも",zQtsXjEaZl,2025-10-27T11:32:46.776Z,2025-10-27T12:09:19.657Z,2000,4115,0,2115
"Ene",7kPHYByVxS,2025-10-27T11:22:14.663Z,2025-10-27T12:21:56.274Z,3502,0,0,-3502
"かいる",nPiUhQEVMi,2025-10-27T11:19:22.228Z,2025-10-27T14:05:22.329Z,3000,4787,0,1787
"池田",9zseyWfctH,2025-10-27T11:10:19.526Z,2025-10-27T12:11:40.071Z,2000,4170,0,2170
"粗茶",ALOhwkjN9v,2025-10-27T11:10:19.524Z,2025-10-27T11:22:14.659Z,2000,1745,0,-255
"Tom",1pz3XQvr3U,2025-10-27T11:09:30.819Z,2025-10-27T14:04:56.620Z,3000,4790,0,1790
"MasatoM",Zvgc3jh8lw,2025-10-27T11:09:30.828Z,2025-10-27T12:32:19.564Z,6820,2725,0,-4095
"Shindo",CdJ7XyzSRz,2025-10-27T11:09:30.821Z,2025-10-27T12:50:04.374Z,3000,3965,0,965
"ノガード",dlzwhIfu_I,2025-10-27T11:09:30.824Z,2025-10-27T13:24:24.219Z,2500,0,0,-2500
