entry,at,order
"The player ""かいる @ nPiUhQEVMi"" quits the game with a stack of 3687.",2025-10-27T14:05:22.321Z,176157392232100
"The player ""Tom @ 1pz3XQvr3U"" quits the game with a stack of 2970.",2025-10-27T14:04:56.617Z,176157389661700
"The player ""かいる @ nPiUhQEVMi"" sit back with the stack of 3687.",2025-10-27T14:02:10.882Z,176157373088200
"The player ""かいる @ nPiUhQEVMi"" stand up with the stack of 3687.",2025-10-27T14:02:08.429Z,176157372842900
"The player ""かいる @ nPiUhQEVMi"" sit back with the stack of 3687.",2025-10-27T14:02:05.986Z,176157372598600
"The player ""かいる @ nPiUhQEVMi"" stand up with the stack of 3687.",2025-10-27T14:02:04.652Z,176157372465200
"The player ""Shindo @ CdJ7XyzSRz"" quits the game with a stack of 2635.",2025-10-27T14:01:58.293Z,176157371829300
"The player ""chinsan @ rs6S-uvF6p"" quits the game with a stack of 3000.",2025-10-27T14:01:24.190Z,176157368419000
"The player ""たつにい @ A2MC0-G8sO"" quits the game with a stack of 2386.",2025-10-27T14:01:12.628Z,176157367262800
"The player ""LostLamb @ nZVZhqDbpq"" quits the game with a stack of 3422.",2025-10-27T14:00:50.493Z,176157365049300
"The player ""Ene @ 7kPHYByVxS"" quits the game with a stack of 1976.",2025-10-27T14:00:41.871Z,176157364187100
"""LostLamb @ nZVZhqDbpq"" shows a A♦, 3♦.",2025-10-27T14:00:36.933Z,176157363693300
"-- ending hand #141 --",2025-10-27T14:00:35.956Z,176157363595602
"""LostLamb @ nZVZhqDbpq"" collected 178 from pot",2025-10-27T14:00:35.956Z,176157363595601
"Uncalled bet of 560 returned to ""LostLamb @ nZVZhqDbpq""",2025-10-27T14:00:35.956Z,176157363595600
"""たつにい @ A2MC0-G8sO"" folds",2025-10-27T14:00:35.140Z,176157363514000
"The admin ""ノガード @ dlzwhIfu_I"" enqueued the game stop on next hand.",2025-10-27T14:00:17.931Z,176157361793100
"""LostLamb @ nZVZhqDbpq"" bets 560",2025-10-27T13:58:29.891Z,176157350989100
"""たつにい @ A2MC0-G8sO"" checks",2025-10-27T13:58:06.958Z,176157348695800
"Turn: 5♠, J♥, 7♦ [2♣]",2025-10-27T13:58:03.840Z,176157348384000
"""たつにい @ A2MC0-G8sO"" calls 34",2025-10-27T13:58:03.019Z,176157348301900
"""LostLamb @ nZVZhqDbpq"" bets 34",2025-10-27T13:57:48.122Z,176157346812200
"""たつにい @ A2MC0-G8sO"" checks",2025-10-27T13:57:37.793Z,176157345779300
"Flop:  [5♠, J♥, 7♦]",2025-10-27T13:57:33.853Z,176157345385300
"""たつにい @ A2MC0-G8sO"" calls 50",2025-10-27T13:57:32.993Z,176157345299300
"""ノガード @ dlzwhIfu_I"" folds",2025-10-27T13:57:24.710Z,176157344471000
"""Shindo @ CdJ7XyzSRz"" folds",2025-10-27T13:57:23.591Z,176157344359100
"""LostLamb @ nZVZhqDbpq"" raises to 50",2025-10-27T13:57:22.550Z,176157344255000
"""Tom @ 1pz3XQvr3U"" folds",2025-10-27T13:57:18.514Z,176157343851400
"""chinsan @ rs6S-uvF6p"" folds",2025-10-27T13:57:17.435Z,176157343743500
"""Ene @ 7kPHYByVxS"" folds",2025-10-27T13:57:15.445Z,176157343544500
"""らねおか @ XaClitYV1x"" folds",2025-10-27T13:57:12.285Z,176157343228500
"""かいる @ nPiUhQEVMi"" folds",2025-10-27T13:57:11.223Z,176157343122300
"""たつにい @ A2MC0-G8sO"" posts a big blind of 20",2025-10-27T13:57:05.294Z,176157342529413
"""ノガード @ dlzwhIfu_I"" posts a small blind of 10",2025-10-27T13:57:05.294Z,176157342529412
"Player stacks: #1 ""chinsan @ rs6S-uvF6p"" (3000) | #2 ""Tom @ 1pz3XQvr3U"" (2970) | #3 ""LostLamb @ nZVZhqDbpq"" (3328) | #4 ""Shindo @ CdJ7XyzSRz"" (2635) | #5 ""ノガード @ dlzwhIfu_I"" (2235) | #6 ""たつにい @ A2MC0-G8sO"" (2470) | #8 ""かいる @ nPiUhQEVMi"" (3687) | #9 ""らねおか @ XaClitYV1x"" (2474) | #10 ""Ene @ 7kPHYByVxS"" (1976)",2025-10-27T13:57:05.294Z,176157342529402
"-- starting hand #141 (id: iwak75ybldch)  (No Limit Texas Hold'em) (dealer: ""Shindo @ CdJ7XyzSRz"") --",2025-10-27T13:57:05.294Z,176157342529401
"The admin updated the player ""chinsan @ rs6S-uvF6p"" stack from 4050 to 3000.",2025-10-27T13:57:05.294Z,176157342529400
"-- ending hand #140 --",2025-10-27T13:57:02.333Z,176157342233302
"""Shindo @ CdJ7XyzSRz"" collected 1045 from pot",2025-10-27T13:57:02.333Z,176157342233301
"Uncalled bet of 1590 returned to ""Shindo @ CdJ7XyzSRz""",2025-10-27T13:57:02.333Z,176157342233300
"""ノガード @ dlzwhIfu_I"" folds",2025-10-27T13:57:01.477Z,176157342147700
"""Shindo @ CdJ7XyzSRz"" raises to 2090 and go all in",2025-10-27T13:56:58.679Z,176157341867900
"""Ene @ 7kPHYByVxS"" folds",2025-10-27T13:56:48.802Z,176157340880200
"""ノガード @ dlzwhIfu_I"" raises to 500",2025-10-27T13:56:47.735Z,176157340773500
"""Shindo @ CdJ7XyzSRz"" raises to 200",2025-10-27T13:56:41.150Z,176157340115000
"""LostLamb @ nZVZhqDbpq"" folds",2025-10-27T13:56:36.408Z,176157339640800
"""Tom @ 1pz3XQvr3U"" folds",2025-10-27T13:56:35.345Z,176157339534500
"""chinsan @ rs6S-uvF6p"" folds",2025-10-27T13:56:26.995Z,176157338699500
"WARNING: the admin queued the stack change for the player ""chinsan @ rs6S-uvF6p"" reseting to 3000 chips in the next hand.",2025-10-27T13:56:26.367Z,176157338636700
"""Ene @ 7kPHYByVxS"" raises to 45",2025-10-27T13:56:25.888Z,176157338588800
"""らねおか @ XaClitYV1x"" folds",2025-10-27T13:56:17.264Z,176157337726400
