entry,at,order
"The player ""Hibari @ gG60J3OV2j"" quits the game with a stack of 3187.",2025-10-27T14:04:01.347Z,176157384134700
"-- ending hand #150 --",2025-10-27T14:03:54.720Z,176157383472002
"""池田 @ 9zseyWfctH"" collected 350 from pot",2025-10-27T14:03:54.720Z,176157383472001
"Uncalled bet of 710 returned to ""池田 @ 9zseyWfctH""",2025-10-27T14:03:54.720Z,176157383472000
"""arash! @ Y0GHwUT0az"" folds",2025-10-27T14:03:53.889Z,176157383388900
"""池田 @ 9zseyWfctH"" bets 710",2025-10-27T14:03:49.895Z,176157382989500
"""arash! @ Y0GHwUT0az"" checks",2025-10-27T14:02:55.355Z,176157377535500
"River: J♠, 8♦, 8♣, 8♠ [10♣]",2025-10-27T14:02:54.262Z,176157377426200
"""arash! @ Y0GHwUT0az"" calls 105",2025-10-27T14:02:53.440Z,176157377344000
"""池田 @ 9zseyWfctH"" bets 105",2025-10-27T14:02:41.153Z,176157376115300
"The admin ""るも @ zQtsXjEaZl"" enqueued the game stop on next hand.",2025-10-27T14:02:06.718Z,176157372671800
"""arash! @ Y0GHwUT0az"" checks",2025-10-27T14:02:04.815Z,176157372481500
"Turn: J♠, 8♦, 8♣ [8♠]",2025-10-27T14:01:30.091Z,176157369009100
"""arash! @ Y0GHwUT0az"" calls 25",2025-10-27T14:01:29.256Z,176157368925600
"""池田 @ 9zseyWfctH"" bets 25",2025-10-27T14:01:20.174Z,176157368017400
"""arash! @ Y0GHwUT0az"" checks",2025-10-27T14:01:16.091Z,176157367609100
"Flop:  [J♠, 8♦, 8♣]",2025-10-27T14:01:12.163Z,176157367216300
"""arash! @ Y0GHwUT0az"" calls 40",2025-10-27T14:01:11.350Z,176157367135000
"""YOSHI @ UmZubBYz2l"" folds",2025-10-27T14:01:06.218Z,176157366621800
"""るも @ zQtsXjEaZl"" folds",2025-10-27T14:01:05.169Z,176157366516900
"""Hibari @ gG60J3OV2j"" folds",2025-10-27T14:01:04.108Z,176157366410800
"""池田 @ 9zseyWfctH"" raises to 40",2025-10-27T14:01:03.043Z,176157366304300
"""Ene @ 7kPHYByVxS"" folds",2025-10-27T14:01:00.607Z,176157366060700
"""Doc @ rNZKJiwrNl"" folds",2025-10-27T14:00:57.923Z,176157365792300
"""arash! @ Y0GHwUT0az"" posts a big blind of 20",2025-10-27T14:00:56.194Z,176157365619410
"""YOSHI @ UmZubBYz2l"" posts a small blind of 10",2025-10-27T14:00:56.194Z,176157365619409
"Player stacks: #1 ""Doc @ rNZKJiwrNl"" (3071) | #3 ""Ene @ 7kPHYByVxS"" (1983) | #4 ""池田 @ 9zseyWfctH"" (1889) | #6 ""Hibari @ gG60J3OV2j"" (3187) | #7 ""るも @ zQtsXjEaZl"" (2690) | #8 ""YOSHI @ UmZubBYz2l"" (2610) | #9 ""arash! @ Y0GHwUT0az"" (2937)",2025-10-27T14:00:56.194Z,176157365619401
"-- starting hand #150 (id: ut6txtx08ceb)  (No Limit Texas Hold'em) (dealer: ""るも @ zQtsXjEaZl"") --",2025-10-27T14:00:56.194Z,176157365619400
"-- ending hand #149 --",2025-10-27T14:00:53.287Z,176157365328702
"""Doc @ rNZKJiwrNl"" collected 50 from pot",2025-10-27T14:00:53.287Z,176157365328701
"Uncalled bet of 20 returned to ""Doc @ rNZKJiwrNl""",2025-10-27T14:00:53.287Z,176157365328700
"""YOSHI @ UmZubBYz2l"" folds",2025-10-27T14:00:52.453Z,176157365245300
"""るも @ zQtsXjEaZl"" folds",2025-10-27T14:00:48.995Z,176157364899500
"""Hibari @ gG60J3OV2j"" folds",2025-10-27T14:00:47.933Z,176157364793300
"""池田 @ 9zseyWfctH"" folds",2025-10-27T14:00:46.823Z,176157364682300
"""Ene @ 7kPHYByVxS"" folds",2025-10-27T14:00:45.798Z,176157364579800
"""Doc @ rNZKJiwrNl"" raises to 40",2025-10-27T14:00:44.728Z,176157364472800
"""arash! @ Y0GHwUT0az"" folds",2025-10-27T14:00:38.545Z,176157363854500
"""YOSHI @ UmZubBYz2l"" posts a big blind of 20",2025-10-27T14:00:32.992Z,176157363299211
"""るも @ zQtsXjEaZl"" posts a small blind of 10",2025-10-27T14:00:32.992Z,176157363299210
"Player stacks: #1 ""Doc @ rNZKJiwrNl"" (3041) | #3 ""Ene @ 7kPHYByVxS"" (1983) | #4 ""池田 @ 9zseyWfctH"" (1889) | #6 ""Hibari @ gG60J3OV2j"" (3187) | #7 ""るも @ zQtsXjEaZl"" (2700) | #8 ""YOSHI @ UmZubBYz2l"" (2630) | #9 ""arash! @ Y0GHwUT0az"" (2937)",2025-10-27T14:00:32.992Z,176157363299202
"-- starting hand #149 (id: ry874rs0gt9c)  (No Limit Texas Hold'em) (dealer: ""Hibari @ gG60J3OV2j"") --",2025-10-27T14:00:32.992Z,176157363299201
"The player ""LostLamb @ nZVZhqDbpq"" quits the game with a stack of 1649.",2025-10-27T14:00:32.992Z,176157363299200
"-- ending hand #148 --",2025-10-27T14:00:26.989Z,176157362698902
"""るも @ zQtsXjEaZl"" collected 300 from pot with Pair, K's (combination: K♣, K♦, Q♥, 10♦, 8♥)",2025-10-27T14:00:26.989Z,176157362698901
"""るも @ zQtsXjEaZl"" shows a K♣, 10♦.",2025-10-27T14:00:26.989Z,176157362698900
"""Doc @ rNZKJiwrNl"" checks",2025-10-27T14:00:26.175Z,176157362617500
"""るも @ zQtsXjEaZl"" checks",2025-10-27T14:00:02.803Z,176157360280300
"River: 4♥, Q♥, K♦, 8♥ [3♦]",2025-10-27T14:00:00.330Z,176157360033000
"""るも @ zQtsXjEaZl"" calls 60",2025-10-27T13:59:59.370Z,176157359937000
"""Doc @ rNZKJiwrNl"" bets 60",2025-10-27T13:59:50.167Z,176157359016700
"""るも @ zQtsXjEaZl"" checks",2025-10-27T13:59:38.225Z,176157357822500
"Turn: 4♥, Q♥, K♦ [8♥]",2025-10-27T13:59:35.550Z,176157357555000
"""るも @ zQtsXjEaZl"" calls 45",2025-10-27T13:59:34.740Z,176157357474000
"""Doc @ rNZKJiwrNl"" bets 45",2025-10-27T13:59:20.639Z,176157356063900
"""るも @ zQtsXjEaZl"" checks",2025-10-27T13:59:06.386Z,176157354638600
"Flop:  [4♥, Q♥, K♦]",2025-10-27T13:58:54.049Z,176157353404900
"""るも @ zQtsXjEaZl"" calls 40",2025-10-27T13:58:53.238Z,176157353323800
"""Hibari @ gG60J3OV2j"" folds",2025-10-27T13:58:51.367Z,176157353136700
"""LostLamb @ nZVZhqDbpq"" folds",2025-10-27T13:58:50.340Z,176157353034000
"""池田 @ 9zseyWfctH"" folds",2025-10-27T13:58:49.258Z,176157352925800
"""Ene @ 7kPHYByVxS"" folds",2025-10-27T13:58:48.110Z,176157352811000
"""Doc @ rNZKJiwrNl"" raises to 40",2025-10-27T13:58:47.054Z,176157352705400
"""arash! @ Y0GHwUT0az"" folds",2025-10-27T13:58:43.351Z,176157352335100
"""YOSHI @ UmZubBYz2l"" folds",2025-10-27T13:58:39.108Z,176157351910800
"""るも @ zQtsXjEaZl"" posts a big blind of 20",2025-10-27T13:58:36.826Z,176157351682611
"""Hibari @ gG60J3OV2j"" posts a small blind of 10",2025-10-27T13:58:36.826Z,176157351682610
"Player stacks: #1 ""Doc @ rNZKJiwrNl"" (3186) | #3 ""Ene @ 7kPHYByVxS"" (1983) | #4 ""池田 @ 9zseyWfctH"" (1889) | #5 ""LostLamb @ nZVZhqDbpq"" (1649) | #6 ""Hibari @ gG60J3OV2j"" (3197) | #7 ""るも @ zQtsXjEaZl"" (2545) | #8 ""YOSHI @ UmZubBYz2l"" (2630) | #9 ""arash! @ Y0GHwUT0az"" (2937)",2025-10-27T13:58:36.826Z,176157351682601
"-- starting hand #148 (id: twmxaeplh5s0)  (No Limit Texas Hold'em) (dealer: ""LostLamb @ nZVZhqDbpq"") --",2025-10-27T13:58:36.826Z,176157351682600
"-- ending hand #147 --",2025-10-27T13:58:33.872Z,176157351387202
"""LostLamb @ nZVZhqDbpq"" collected 100 from pot",2025-10-27T13:58:33.872Z,176157351387201
"Uncalled bet of 180 returned to ""LostLamb @ nZVZhqDbpq""",2025-10-27T13:58:33.872Z,176157351387200
"""YOSHI @ UmZubBYz2l"" folds",2025-10-27T13:58:33.059Z,176157351305900
"""Hibari @ gG60J3OV2j"" folds",2025-10-27T13:58:30.878Z,176157351087800
"""LostLamb @ nZVZhqDbpq"" raises to 220",2025-10-27T13:58:25.665Z,176157350566500
"""池田 @ 9zseyWfctH"" folds",2025-10-27T13:58:20.073Z,176157350007300
"""Ene @ 7kPHYByVxS"" folds",2025-10-27T13:58:18.914Z,176157349891400
"""Doc @ rNZKJiwrNl"" folds",2025-10-27T13:58:17.888Z,176157349788800
"""arash! @ Y0GHwUT0az"" folds",2025-10-27T13:58:13.468Z,176157349346800
"""YOSHI @ UmZubBYz2l"" raises to 40",2025-10-27T13:58:10.344Z,176157349034400
"""るも @ zQtsXjEaZl"" folds",2025-10-27T13:58:06.823Z,176157348682300
"""Hibari @ gG60J3OV2j"" posts a big blind of 20",2025-10-27T13:58:05.484Z,176157348548411
"""LostLamb @ nZVZhqDbpq"" posts a small blind of 10",2025-10-27T13:58:05.484Z,176157348548410
"Player stacks: #1 ""Doc @ rNZKJiwrNl"" (3186) | #3 ""Ene @ 7kPHYByVxS"" (1983) | #4 ""池田 @ 9zseyWfctH"" (1889) | #5 ""LostLamb @ nZVZhqDbpq"" (1589) | #6 ""Hibari @ gG60J3OV2j"" (3217) | #7 ""るも @ zQtsXjEaZl"" (2545) | #8 ""YOSHI @ UmZubBYz2l"" (2670) | #9 ""arash! @ Y0GHwUT0az"" (2937)",2025-10-27T13:58:05.484Z,176157348548401
"-- starting hand #147 (id: itmpz4vcr6ez)  (No Limit Texas Hold'em) (dealer: ""池田 @ 9zseyWfctH"") --",2025-10-27T13:58:05.484Z,176157348548400
"-- ending hand #146 --",2025-10-27T13:57:59.477Z,176157347947702
"""Doc @ rNZKJiwrNl"" collected 990 from pot with Pair, A's (combination: A♦, A♣, Q♥, J♣, 10♦)",2025-10-27T13:57:59.477Z,176157347947701
"""Doc @ rNZKJiwrNl"" shows a A♦, 10♦.",2025-10-27T13:57:59.477Z,176157347947700
"""LostLamb @ nZVZhqDbpq"" calls 300",2025-10-27T13:57:58.633Z,176157347863300
"""Doc @ rNZKJiwrNl"" bets 300",2025-10-27T13:57:50.198Z,176157347019800
"""LostLamb @ nZVZhqDbpq"" checks",2025-10-27T13:57:39.737Z,176157345973700
"River: A♣, J♣, 3♠, Q♥ [7♥]",2025-10-27T13:57:34.253Z,176157345425300
"""Doc @ rNZKJiwrNl"" checks",2025-10-27T13:57:33.411Z,176157345341100
"""LostLamb @ nZVZhqDbpq"" checks",2025-10-27T13:57:23.738Z,176157344373800
"Turn: A♣, J♣, 3♠ [Q♥]",2025-10-27T13:57:16.501Z,176157343650100
"""LostLamb @ nZVZhqDbpq"" calls 140",2025-10-27T13:57:15.675Z,176157343567500
"""Doc @ rNZKJiwrNl"" bets 140",2025-10-27T13:57:00.381Z,176157342038100
"""LostLamb @ nZVZhqDbpq"" checks",2025-10-27T13:56:50.178Z,176157341017800
"Flop:  [A♣, J♣, 3♠]",2025-10-27T13:56:48.290Z,176157340829000
"""LostLamb @ nZVZhqDbpq"" calls 50",2025-10-27T13:56:47.430Z,176157340743000
"""池田 @ 9zseyWfctH"" folds",2025-10-27T13:56:46.109Z,176157340610900
"""Ene @ 7kPHYByVxS"" folds",2025-10-27T13:56:45.053Z,176157340505300
"""Doc @ rNZKJiwrNl"" raises to 50",2025-10-27T13:56:43.814Z,176157340381400
"""arash! @ Y0GHwUT0az"" folds",2025-10-27T13:56:38.274Z,176157339827400
"""YOSHI @ UmZubBYz2l"" folds",2025-10-27T13:56:35.783Z,176157339578300
"""るも @ zQtsXjEaZl"" folds",2025-10-27T13:56:34.704Z,176157339470400
"""Hibari @ gG60J3OV2j"" folds",2025-10-27T13:56:33.664Z,176157339366400
"""LostLamb @ nZVZhqDbpq"" posts a big blind of 20",2025-10-27T13:56:31.872Z,176157339187211
"""池田 @ 9zseyWfctH"" posts a small blind of 10",2025-10-27T13:56:31.872Z,176157339187210
"Player stacks: #1 ""Doc @ rNZKJiwrNl"" (2686) | #3 ""Ene @ 7kPHYByVxS"" (1983) | #4 ""池田 @ 9zseyWfctH"" (1899) | #5 ""LostLamb @ nZVZhqDbpq"" (2079) | #6 ""Hibari @ gG60J3OV2j"" (3217) | #7 ""るも @ zQtsXjEaZl"" (2545) | #8 ""YOSHI @ UmZubBYz2l"" (2670) | #9 ""arash! @ Y0GHwUT0az"" (2937)",2025-10-27T13:56:31.872Z,176157339187201
"-- starting hand #146 (id: vvtxzm6eesgy)  (No Limit Texas Hold'em) (dealer: ""Ene @ 7kPHYByVxS"") --",2025-10-27T13:56:31.872Z,176157339187200
"-- ending hand #145 --",2025-10-27T13:56:28.970Z,176157338897002
"""arash! @ Y0GHwUT0az"" collected 50 from pot",2025-10-27T13:56:28.970Z,176157338897001
"Uncalled bet of 20 returned to ""arash! @ Y0GHwUT0az""",2025-10-27T13:56:28.970Z,176157338897000
