player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"かいる",nPiUhQEVMi,2025-11-03T13:56:14.150Z,2025-11-03T14:09:02.447Z,3000,3250,0,250
"Tom",1pz3XQvr3U,2025-11-03T12:29:37.062Z,2025-11-03T12:36:08.010Z,3000,2970,0,-30
"Shindo",CdJ7XyzSRz,2025-11-03T12:24:39.276Z,2025-11-03T12:36:08.006Z,3000,1420,0,-1580
"るも",zQtsXjEaZl,2025-11-03T12:22:08.556Z,,2000,,3720,1720
"ナカヤマ",rSiu_iM_f9,2025-11-03T12:04:17.692Z,2025-11-03T14:09:17.661Z,2000,1790,0,-210
"Jongo",DrGOt1cq1y,2025-11-03T13:16:10.385Z,2025-11-03T14:07:09.075Z,2000,4250,0,2250
"粗茶",GtqOGZOqIV,2025-11-03T11:38:51.366Z,2025-11-03T12:04:17.688Z,2550,1765,0,-785
"かいる",nPiUhQEVMi,2025-11-03T11:23:13.123Z,2025-11-03T13:55:45.056Z,5785,3929,0,-1856
"chinsan",rs6S-uvF6p,2025-11-03T11:20:25.093Z,2025-11-03T11:22:47.098Z,2500,2500,0,0
"hibiki_72o",JY_jKUgodq,2025-11-03T11:20:25.089Z,2025-11-03T12:16:30.900Z,3000,3180,0,180
"sigma",yHZrsG6l5j,2025-11-03T11:10:06.372Z,2025-11-03T14:07:09.067Z,5660,3875,0,-1785
"バター",gKgFHG7H9P,2025-11-03T11:10:06.369Z,2025-11-03T11:22:47.096Z,3000,3550,0,550
"konasho",f_d8ebrXPg,2025-11-03T11:05:24.030Z,2025-11-03T11:22:47.094Z,2980,2190,0,-790
"LostLamb",nZVZhqDbpq,2025-11-03T11:02:50.011Z,2025-11-03T11:22:47.090Z,2000,2179,0,179
"-TOMO-",-zWKG5L3i7,2025-11-03T11:02:28.870Z,,2000,,3545,1545
"goto-neo",3uy3Mlil7r,2025-11-03T11:00:17.433Z,2025-11-03T12:36:07.999Z,3000,3291,0,291
"ノガード",dlzwhIfu_I,2025-11-03T11:00:17.438Z,2025-11-03T11:22:47.087Z,2500,3096,0,596
"arash!",lSXafQ4XJ9,2025-11-03T11:00:17.435Z,,3000,,2475,-525
