entry,at,order
"The player ""ナカヤマ @ rSiu_iM_f9"" quits the game with a stack of 1790.",2025-11-03T14:09:17.657Z,176217895765700
"The player ""かいる @ nPiUhQEVMi"" quits the game with a stack of 3250.",2025-11-03T14:09:02.435Z,176217894243500
"The player ""Jongo @ DrGOt1cq1y"" quits the game with a stack of 2990.",2025-11-03T14:07:09.060Z,176217882906003
"The player ""sigma @ yHZrsG6l5j"" quits the game with a stack of 2725.",2025-11-03T14:07:09.060Z,176217882906002
"The player ""Jongo @ DrGOt1cq1y"" stand up with the stack of 2990.",2025-11-03T14:07:09.060Z,176217882906001
"The player ""sigma @ yHZrsG6l5j"" stand up with the stack of 2725.",2025-11-03T14:07:09.060Z,176217882906000
"""かいる @ nPiUhQEVMi"" shows a A♥, 8♠.",2025-11-03T14:07:06.787Z,176217882678700
"""-TOMO- @ -zWKG5L3i7"" shows a J♥, K♦.",2025-11-03T14:07:05.516Z,176217882551600
"-- ending hand #153 --",2025-11-03T14:07:04.723Z,176217882472302
"""かいる @ nPiUhQEVMi"" collected 500 from pot",2025-11-03T14:07:04.723Z,176217882472301
"Uncalled bet of 375 returned to ""かいる @ nPiUhQEVMi""",2025-11-03T14:07:04.723Z,176217882472300
"""-TOMO- @ -zWKG5L3i7"" folds",2025-11-03T14:07:03.900Z,176217882390000
"""かいる @ nPiUhQEVMi"" bets 375",2025-11-03T14:07:01.076Z,176217882107600
"""-TOMO- @ -zWKG5L3i7"" checks",2025-11-03T14:05:01.237Z,176217870123700
"River: A♣, 10♣, 5♠, 8♣ [K♥]",2025-11-03T14:04:43.603Z,176217868360300
"""かいる @ nPiUhQEVMi"" calls 150",2025-11-03T14:04:42.761Z,176217868276100
"""-TOMO- @ -zWKG5L3i7"" bets 150",2025-11-03T14:03:31.845Z,176217861184500
"Turn: A♣, 10♣, 5♠ [8♣]",2025-11-03T14:02:54.613Z,176217857461300
"""かいる @ nPiUhQEVMi"" calls 40",2025-11-03T14:02:53.802Z,176217857380200
"""-TOMO- @ -zWKG5L3i7"" bets 40",2025-11-03T14:02:20.026Z,176217854002600
"Flop:  [A♣, 10♣, 5♠]",2025-11-03T14:01:51.256Z,176217851125600
"The admin ""arash! @ lSXafQ4XJ9"" enqueued the game stop on next hand.",2025-11-03T14:01:50.739Z,176217851073900
"""かいる @ nPiUhQEVMi"" calls 60",2025-11-03T14:01:50.415Z,176217851041500
"""-TOMO- @ -zWKG5L3i7"" raises to 60",2025-11-03T14:01:47.848Z,176217850784800
"""ナカヤマ @ rSiu_iM_f9"" folds",2025-11-03T14:01:43.948Z,176217850394800
"""sigma @ yHZrsG6l5j"" folds",2025-11-03T14:01:41.705Z,176217850170500
"""Jongo @ DrGOt1cq1y"" folds",2025-11-03T14:01:40.651Z,176217850065100
"""arash! @ lSXafQ4XJ9"" folds",2025-11-03T14:01:39.518Z,176217849951800
"""かいる @ nPiUhQEVMi"" posts a big blind of 20",2025-11-03T14:01:37.647Z,176217849764709
"""-TOMO- @ -zWKG5L3i7"" posts a small blind of 10",2025-11-03T14:01:37.647Z,176217849764708
"Player stacks: #1 ""-TOMO- @ -zWKG5L3i7"" (3795) | #2 ""かいる @ nPiUhQEVMi"" (3000) | #5 ""arash! @ lSXafQ4XJ9"" (2475) | #7 ""Jongo @ DrGOt1cq1y"" (2990) | #8 ""sigma @ yHZrsG6l5j"" (2725) | #9 ""ナカヤマ @ rSiu_iM_f9"" (1790)",2025-11-03T14:01:37.647Z,176217849764701
"-- starting hand #153 (id: uuiwul3ejmip)  (No Limit Texas Hold'em) (dealer: ""ナカヤマ @ rSiu_iM_f9"") --",2025-11-03T14:01:37.647Z,176217849764700
"-- ending hand #152 --",2025-11-03T14:01:34.699Z,176217849469902
"""sigma @ yHZrsG6l5j"" collected 50 from pot",2025-11-03T14:01:34.699Z,176217849469901
"Uncalled bet of 30 returned to ""sigma @ yHZrsG6l5j""",2025-11-03T14:01:34.699Z,176217849469900
"""-TOMO- @ -zWKG5L3i7"" folds",2025-11-03T14:01:33.891Z,176217849389100
"""ナカヤマ @ rSiu_iM_f9"" folds",2025-11-03T14:01:32.700Z,176217849270000
"""sigma @ yHZrsG6l5j"" raises to 50",2025-11-03T14:01:31.686Z,176217849168600
"""Jongo @ DrGOt1cq1y"" folds",2025-11-03T14:01:27.709Z,176217848770900
"""arash! @ lSXafQ4XJ9"" folds",2025-11-03T14:01:21.916Z,176217848191600
"""かいる @ nPiUhQEVMi"" folds",2025-11-03T14:01:20.868Z,176217848086800
"""-TOMO- @ -zWKG5L3i7"" posts a big blind of 20",2025-11-03T14:01:18.685Z,176217847868509
"""ナカヤマ @ rSiu_iM_f9"" posts a small blind of 10",2025-11-03T14:01:18.685Z,176217847868508
"Player stacks: #1 ""-TOMO- @ -zWKG5L3i7"" (3815) | #2 ""かいる @ nPiUhQEVMi"" (3000) | #5 ""arash! @ lSXafQ4XJ9"" (2475) | #7 ""Jongo @ DrGOt1cq1y"" (2990) | #8 ""sigma @ yHZrsG6l5j"" (2695) | #9 ""ナカヤマ @ rSiu_iM_f9"" (1800)",2025-11-03T14:01:18.685Z,176217847868501
"-- starting hand #152 (id: qrxi1evdbfj7)  (No Limit Texas Hold'em) (dealer: ""sigma @ yHZrsG6l5j"") --",2025-11-03T14:01:18.685Z,176217847868500
"""ナカヤマ @ rSiu_iM_f9"" shows a Q♠, K♠.",2025-11-03T14:01:16.581Z,176217847658100
"-- ending hand #151 --",2025-11-03T14:01:15.066Z,176217847506602
"""sigma @ yHZrsG6l5j"" collected 700 from pot",2025-11-03T14:01:15.066Z,176217847506601
"Uncalled bet of 300 returned to ""sigma @ yHZrsG6l5j""",2025-11-03T14:01:15.066Z,176217847506600
"""ナカヤマ @ rSiu_iM_f9"" folds",2025-11-03T14:01:14.261Z,176217847426100
"""sigma @ yHZrsG6l5j"" bets 300",2025-11-03T14:00:15.654Z,176217841565400
"Turn: J♦, A♣, 3♦ [5♦]",2025-11-03T13:59:21.228Z,176217836122800
"""sigma @ yHZrsG6l5j"" calls 150",2025-11-03T13:59:20.380Z,176217836038000
"""ナカヤマ @ rSiu_iM_f9"" bets 150",2025-11-03T13:58:11.537Z,176217829153700
"""sigma @ yHZrsG6l5j"" checks",2025-11-03T13:57:24.367Z,176217824436700
"Flop:  [J♦, A♣, 3♦]",2025-11-03T13:57:20.528Z,176217824052800
