entry,at,order
"The player ""Doc @ rNZKJiwrNl"" quits the game with a stack of 3120.",2025-11-03T14:03:56.006Z,176217863600600
"The player ""SHINJI1223 @ -R7k1ogPyi"" stand up with the stack of 2900.",2025-11-03T14:01:18.695Z,176217847869500
"""SHINJI1223 @ -R7k1ogPyi"" shows a K♥, J♣.",2025-11-03T14:01:06.145Z,176217846614500
"-- ending hand #162 --",2025-11-03T14:01:04.478Z,176217846447802
"""SHINJI1223 @ -R7k1ogPyi"" collected 40 from pot",2025-11-03T14:01:04.478Z,176217846447801
"Uncalled bet of 40 returned to ""SHINJI1223 @ -R7k1ogPyi""",2025-11-03T14:01:04.478Z,176217846447800
"""ねくと @ Ck64WUkvLh"" folds",2025-11-03T14:01:03.649Z,176217846364900
"""SHINJI1223 @ -R7k1ogPyi"" raises to 60",2025-11-03T14:01:02.262Z,176217846226200
"""ノガード @ dlzwhIfu_I"" folds",2025-11-03T14:00:57.745Z,176217845774500
"The admin ""ノガード @ dlzwhIfu_I"" enqueued the game stop on next hand.",2025-11-03T14:00:56.733Z,176217845673300
"""LostLamb @ nZVZhqDbpq"" folds",2025-11-03T14:00:53.589Z,176217845358900
"""Doc @ rNZKJiwrNl"" folds",2025-11-03T14:00:50.771Z,176217845077100
"""ねくと @ Ck64WUkvLh"" posts a big blind of 20",2025-11-03T14:00:49.126Z,176217844912608
"""SHINJI1223 @ -R7k1ogPyi"" posts a small blind of 10",2025-11-03T14:00:49.126Z,176217844912607
"Player stacks: #1 ""ねくと @ Ck64WUkvLh"" (2610) | #3 ""Doc @ rNZKJiwrNl"" (3120) | #5 ""LostLamb @ nZVZhqDbpq"" (2290) | #8 ""ノガード @ dlzwhIfu_I"" (2615) | #10 ""SHINJI1223 @ -R7k1ogPyi"" (2880)",2025-11-03T14:00:49.126Z,176217844912601
"-- starting hand #162 (id: cgcd7sbsxr5v)  (No Limit Texas Hold'em) (dealer: ""ノガード @ dlzwhIfu_I"") --",2025-11-03T14:00:49.126Z,176217844912600
"""ねくと @ Ck64WUkvLh"" shows a A♦, A♣.",2025-11-03T14:00:46.811Z,176217844681100
"-- ending hand #161 --",2025-11-03T14:00:45.499Z,176217844549902
"""ねくと @ Ck64WUkvLh"" collected 90 from pot",2025-11-03T14:00:45.499Z,176217844549901
