player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"tori",yBFBFrMQaI,2025-11-03T13:41:44.479Z,2025-11-03T14:03:48.854Z,2000,2793,0,793
"konasho",f_d8ebrXPg,2025-11-03T13:32:59.221Z,2025-11-03T14:03:35.857Z,2000,1800,0,-200
"Shindo",6Wn2Yz7jGc,2025-11-03T13:28:07.268Z,2025-11-03T14:03:41.472Z,3000,2018,0,-982
"とーち",573aP-RRLR,2025-11-03T13:04:26.354Z,,2500,,2760,260
"konasho",f_d8ebrXPg,2025-11-03T12:39:26.037Z,2025-11-03T13:30:23.360Z,2652,0,0,-2652
"chinsan",rs6S-uvF6p,2025-11-03T12:37:50.508Z,2025-11-03T13:59:38.592Z,3255,1483,0,-1772
"Ene",7kPHYByVxS,2025-11-03T12:37:26.884Z,2025-11-03T14:03:35.850Z,2200,5468,0,3268
"hibiki_72o",JY_jKUgodq,,2025-11-03T12:39:26.034Z,3000,3000,0,0
"Tom",1pz3XQvr3U,2025-11-03T12:35:33.045Z,2025-11-03T14:03:40.561Z,3000,2828,0,-172
"Shindo",CdJ7XyzSRz,2025-11-03T12:35:33.042Z,2025-11-03T13:21:35.048Z,3000,3068,0,68
"goto-neo",3uy3Mlil7r,2025-11-03T12:35:33.040Z,,5205,3257,3337,1389
