entry,at,order
"The player ""tori @ yBFBFrMQaI"" quits the game with a stack of 2793.",2025-11-03T14:03:48.850Z,176217862885000
"The player ""Shindo @ 6Wn2Yz7jGc"" quits the game with a stack of 2018.",2025-11-03T14:03:41.468Z,176217862146800
"The player ""Tom @ 1pz3XQvr3U"" quits the game with a stack of 2828.",2025-11-03T14:03:40.557Z,176217862055700
"The player ""konasho @ f_d8ebrXPg"" quits the game with a stack of 1800.",2025-11-03T14:03:35.846Z,176217861584601
"The player ""Ene @ 7kPHYByVxS"" quits the game with a stack of 2418.",2025-11-03T14:03:35.846Z,176217861584600
"-- ending hand #99 --",2025-11-03T14:03:32.911Z,176217861291102
"""Shindo @ 6Wn2Yz7jGc"" collected 210 from pot",2025-11-03T14:03:32.911Z,176217861291101
"Uncalled bet of 300 returned to ""Shindo @ 6Wn2Yz7jGc""",2025-11-03T14:03:32.911Z,176217861291100
"""tori @ yBFBFrMQaI"" folds",2025-11-03T14:03:32.057Z,176217861205700
"""Shindo @ 6Wn2Yz7jGc"" bets 300",2025-11-03T14:03:29.810Z,176217860981000
"""tori @ yBFBFrMQaI"" checks",2025-11-03T14:03:02.131Z,176217858213100
"Turn: 9♥, 3♦, K♦ [2♣]",2025-11-03T14:03:00.306Z,176217858030600
"""Tom @ 1pz3XQvr3U"" folds",2025-11-03T14:02:59.487Z,176217857948700
"""tori @ yBFBFrMQaI"" calls 40",2025-11-03T14:02:57.700Z,176217857770000
"""Shindo @ 6Wn2Yz7jGc"" bets 40",2025-11-03T14:02:55.393Z,176217857539300
"""Tom @ 1pz3XQvr3U"" checks",2025-11-03T14:02:50.127Z,176217857012700
"""tori @ yBFBFrMQaI"" checks",2025-11-03T14:02:37.589Z,176217855758900
"Flop:  [9♥, 3♦, K♦]",2025-11-03T14:02:33.460Z,176217855346000
"""tori @ yBFBFrMQaI"" calls 40",2025-11-03T14:02:32.571Z,176217855257100
"""Ene @ 7kPHYByVxS"" folds",2025-11-03T14:02:29.257Z,176217854925700
"""Shindo @ 6Wn2Yz7jGc"" calls 40",2025-11-03T14:02:28.437Z,176217854843700
"The admin ""goto-neo @ 3uy3Mlil7r"" enqueued the game stop on next hand.",2025-11-03T14:02:23.048Z,176217854304800
"""konasho @ f_d8ebrXPg"" folds",2025-11-03T14:02:15.313Z,176217853531300
"""goto-neo @ 3uy3Mlil7r"" folds",2025-11-03T14:02:13.959Z,176217853395900
"""Tom @ 1pz3XQvr3U"" raises to 40",2025-11-03T14:02:12.895Z,176217853289500
"""tori @ yBFBFrMQaI"" posts a big blind of 20",2025-11-03T14:02:09.648Z,176217852964810
"""Ene @ 7kPHYByVxS"" posts a small blind of 10",2025-11-03T14:02:09.648Z,176217852964809
"Player stacks: #1 ""goto-neo @ 3uy3Mlil7r"" (3337) | #2 ""konasho @ f_d8ebrXPg"" (1800) | #5 ""Shindo @ 6Wn2Yz7jGc"" (1888) | #8 ""Ene @ 7kPHYByVxS"" (2428) | #9 ""tori @ yBFBFrMQaI"" (2873) | #10 ""Tom @ 1pz3XQvr3U"" (2868)",2025-11-03T14:02:09.648Z,176217852964802
"-- starting hand #99 (id: ozfum7lkgsut)  (No Limit Texas Hold'em) (dead button) --",2025-11-03T14:02:09.648Z,176217852964801
"The player ""とーち @ 573aP-RRLR"" stand up with the stack of 2760.",2025-11-03T14:02:09.648Z,176217852964800
"-- ending hand #98 --",2025-11-03T14:02:06.738Z,176217852673802
"""Ene @ 7kPHYByVxS"" collected 20 from pot",2025-11-03T14:02:06.738Z,176217852673801
"Uncalled bet of 10 returned to ""Ene @ 7kPHYByVxS""",2025-11-03T14:02:06.738Z,176217852673800
"""とーち @ 573aP-RRLR"" folds",2025-11-03T14:02:05.932Z,176217852593200
"""Shindo @ 6Wn2Yz7jGc"" folds",2025-11-03T14:02:04.905Z,176217852490500
"""konasho @ f_d8ebrXPg"" folds",2025-11-03T14:02:01.693Z,176217852169300
"""goto-neo @ 3uy3Mlil7r"" folds",2025-11-03T14:02:00.530Z,176217852053000
"""Tom @ 1pz3XQvr3U"" folds",2025-11-03T14:01:59.477Z,176217851947700
"""tori @ yBFBFrMQaI"" folds",2025-11-03T14:01:58.400Z,176217851840000
"""Ene @ 7kPHYByVxS"" posts a big blind of 20",2025-11-03T14:01:56.058Z,176217851605810
"""とーち @ 573aP-RRLR"" posts a small blind of 10",2025-11-03T14:01:56.058Z,176217851605809
"Player stacks: #1 ""goto-neo @ 3uy3Mlil7r"" (3337) | #2 ""konasho @ f_d8ebrXPg"" (1800) | #5 ""Shindo @ 6Wn2Yz7jGc"" (1888) | #7 ""とーち @ 573aP-RRLR"" (2770) | #8 ""Ene @ 7kPHYByVxS"" (2418) | #9 ""tori @ yBFBFrMQaI"" (2873) | #10 ""Tom @ 1pz3XQvr3U"" (2868)",2025-11-03T14:01:56.058Z,176217851605801
"-- starting hand #98 (id: b2nvt3ihqrne)  (No Limit Texas Hold'em) (dealer: ""Shindo @ 6Wn2Yz7jGc"") --",2025-11-03T14:01:56.058Z,176217851605800
"-- ending hand #97 --",2025-11-03T14:01:53.055Z,176217851305502
"""とーち @ 573aP-RRLR"" collected 200 from pot",2025-11-03T14:01:53.055Z,176217851305501
