player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"バター",XyeA0v6nHG,2025-11-10T13:55:06.774Z,,3000,,2960,-40
"LostLamb",nZVZhqDbpq,2025-11-10T13:43:27.618Z,,3000,,3080,80
"うみ。",lVD5yytn3g,2025-11-10T13:19:33.519Z,,2200,,2175,-25
"池田",9zseyWfctH,2025-11-10T13:09:53.784Z,2025-11-10T14:01:05.603Z,2000,2070,0,70
"カイン",QK8nAFN9E2,2025-11-10T12:55:14.555Z,2025-11-10T14:01:31.682Z,3000,3367,0,367
"LostLamb",nZVZhqDbpq,2025-11-10T12:48:23.016Z,2025-11-10T13:42:55.996Z,4125,0,0,-4125
"LostLamb",nZVZhqDbpq,2025-11-10T12:38:12.334Z,2025-11-10T12:44:29.811Z,2000,0,0,-2000
"LostLamb",nZVZhqDbpq,2025-11-10T12:09:39.944Z,2025-11-10T12:37:25.163Z,2000,0,0,-2000
"sigma",yHZrsG6l5j,2025-11-10T11:50:33.198Z,2025-11-10T14:01:21.387Z,2500,4192,0,1692
"かいる",nPiUhQEVMi,2025-11-10T11:40:04.153Z,2025-11-10T14:02:01.456Z,3000,7267,0,4267
"utos",g0yui9LXM4,2025-11-10T11:16:48.148Z,,2400,,2977,577
"とーち",573aP-RRLR,2025-11-10T11:16:48.144Z,2025-11-10T12:11:04.109Z,2500,3060,0,560
"るも",zQtsXjEaZl,2025-11-10T11:14:33.116Z,2025-11-10T12:29:06.859Z,2449,2010,0,-439
"goto-neo",3uy3Mlil7r,2025-11-10T11:11:47.658Z,2025-11-10T12:10:44.963Z,3000,2865,0,-135
"Milly",AAC7lMsXCu,2025-11-10T11:04:00.208Z,2025-11-10T12:11:04.103Z,3161,2555,0,-606
"バター",q1-hxhH04p,2025-11-10T11:02:53.140Z,2025-11-10T13:53:30.367Z,3843,5300,0,1457
"ノガード",dlzwhIfu_I,2025-11-10T11:02:53.136Z,,2500,,2800,300
