entry,at,order
"The player ""Ryuki @ P_L-3f2PPW"" canceled the seat request.",2025-11-10T15:54:58.699Z,176279009869900
"The player ""Ryuki @ P_L-3f2PPW"" requested a seat.",2025-11-10T15:54:42.285Z,176279008228500
"The player ""Ryuki @ P_L-3f2PPW"" canceled the seat request.",2025-11-10T15:54:32.556Z,176279007255600
"The player ""Ryuki @ P_L-3f2PPW"" requested a seat.",2025-11-10T15:54:01.467Z,176279004146700
"The player ""かいる @ nPiUhQEVMi"" quits the game with a stack of 3200.",2025-11-10T14:02:01.435Z,176278332143500
"The player ""カイン @ QK8nAFN9E2"" quits the game with a stack of 3367.",2025-11-10T14:01:31.679Z,176278329167900
"The player ""sigma @ yHZrsG6l5j"" quits the game with a stack of 2840.",2025-11-10T14:01:21.385Z,176278328138500
"The player ""池田 @ 9zseyWfctH"" quits the game with a stack of 2070.",2025-11-10T14:01:05.599Z,176278326559900
"-- ending hand #174 --",2025-11-10T14:00:56.928Z,176278325692802
"""かいる @ nPiUhQEVMi"" collected 90 from pot",2025-11-10T14:00:56.928Z,176278325692801
"Uncalled bet of 67 returned to ""かいる @ nPiUhQEVMi""",2025-11-10T14:00:56.928Z,176278325692800
"""バター @ XyeA0v6nHG"" folds",2025-11-10T14:00:56.126Z,176278325612600
"""かいる @ nPiUhQEVMi"" bets 67",2025-11-10T14:00:49.472Z,176278324947200
"The admin ""ノガード @ dlzwhIfu_I"" enqueued the game stop on next hand.",2025-11-10T14:00:48.676Z,176278324867600
"""バター @ XyeA0v6nHG"" checks",2025-11-10T14:00:16.570Z,176278321657000
"River: 7♦, 10♠, 2♣, 4♠ [A♥]",2025-11-10T14:00:08.665Z,176278320866500
"""かいる @ nPiUhQEVMi"" checks",2025-11-10T14:00:07.848Z,176278320784800
"""バター @ XyeA0v6nHG"" checks",2025-11-10T13:59:56.385Z,176278319638500
"Turn: 7♦, 10♠, 2♣ [4♠]",2025-11-10T13:59:51.236Z,176278319123600
"""かいる @ nPiUhQEVMi"" checks",2025-11-10T13:59:50.374Z,176278319037400
"""バター @ XyeA0v6nHG"" checks",2025-11-10T13:59:40.387Z,176278318038700
"Flop:  [7♦, 10♠, 2♣]",2025-11-10T13:59:37.441Z,176278317744100
"""バター @ XyeA0v6nHG"" calls 40",2025-11-10T13:59:36.627Z,176278317662700
"""sigma @ yHZrsG6l5j"" folds",2025-11-10T13:59:32.921Z,176278317292100
"""utos @ g0yui9LXM4"" folds",2025-11-10T13:59:31.857Z,176278317185700
"""うみ。 @ lVD5yytn3g"" folds",2025-11-10T13:59:30.737Z,176278317073700
"""ノガード @ dlzwhIfu_I"" folds",2025-11-10T13:59:29.701Z,176278316970100
"""池田 @ 9zseyWfctH"" folds",2025-11-10T13:59:28.688Z,176278316868800
"""かいる @ nPiUhQEVMi"" raises to 40",2025-11-10T13:59:27.059Z,176278316705900
"""カイン @ QK8nAFN9E2"" folds",2025-11-10T13:59:22.857Z,176278316285700
"""LostLamb @ nZVZhqDbpq"" folds",2025-11-10T13:59:21.851Z,176278316185100
"""バター @ XyeA0v6nHG"" posts a big blind of 20",2025-11-10T13:59:16.378Z,176278315637812
"""sigma @ yHZrsG6l5j"" posts a small blind of 10",2025-11-10T13:59:16.378Z,176278315637811
"Player stacks: #1 ""LostLamb @ nZVZhqDbpq"" (3080) | #2 ""カイン @ QK8nAFN9E2"" (3367) | #3 ""かいる @ nPiUhQEVMi"" (3150) | #4 ""池田 @ 9zseyWfctH"" (2070) | #6 ""ノガード @ dlzwhIfu_I"" (2800) | #7 ""うみ。 @ lVD5yytn3g"" (2175) | #8 ""utos @ g0yui9LXM4"" (2977) | #9 ""sigma @ yHZrsG6l5j"" (2850) | #10 ""バター @ XyeA0v6nHG"" (3000)",2025-11-10T13:59:16.378Z,176278315637801
"-- starting hand #174 (id: 16tm7cdlhf7e)  (No Limit Texas Hold'em) (dealer: ""utos @ g0yui9LXM4"") --",2025-11-10T13:59:16.378Z,176278315637800
"-- ending hand #173 --",2025-11-10T13:59:10.374Z,176278315037402
"""sigma @ yHZrsG6l5j"" collected 110 from pot with Pair, Q's (combination: Q♣, Q♠, A♣, K♠, 10♦)",2025-11-10T13:59:10.374Z,176278315037401
"""sigma @ yHZrsG6l5j"" shows a 10♦, Q♣.",2025-11-10T13:59:10.374Z,176278315037400
"""ノガード @ dlzwhIfu_I"" checks",2025-11-10T13:59:09.521Z,176278314952100
"""sigma @ yHZrsG6l5j"" checks",2025-11-10T13:59:07.064Z,176278314706400
"River: A♣, K♠, 6♦, Q♠ [5♥]",2025-11-10T13:58:52.183Z,176278313218300
"""ノガード @ dlzwhIfu_I"" checks",2025-11-10T13:58:51.349Z,176278313134900
"""sigma @ yHZrsG6l5j"" checks",2025-11-10T13:58:41.183Z,176278312118300
"Turn: A♣, K♠, 6♦ [Q♠]",2025-11-10T13:58:16.759Z,176278309675900
"""ノガード @ dlzwhIfu_I"" checks",2025-11-10T13:58:15.928Z,176278309592800
"""sigma @ yHZrsG6l5j"" checks",2025-11-10T13:57:58.990Z,176278307899000
"Flop:  [A♣, K♠, 6♦]",2025-11-10T13:57:55.611Z,176278307561100
