player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"わた",26v7hSw7Sn,2025-11-10T13:45:01.279Z,,2000,,2233,233
"-TOMO-",-zWKG5L3i7,2025-11-10T13:23:36.037Z,2025-11-10T14:01:37.434Z,2000,0,0,-2000
"Doc",rNZKJiwrNl,2025-11-10T13:02:22.906Z,,2500,,3072,572
"utos",g0yui9LXM4,2025-11-10T12:54:53.790Z,,2400,4848,1718,4166
"Ene",7kPHYByVxS,2025-11-10T12:54:10.251Z,,2200,,1947,-253
"わた",26v7hSw7Sn,2025-11-10T12:49:22.166Z,2025-11-10T13:43:56.306Z,2000,750,0,-1250
"わた",26v7hSw7Sn,2025-11-10T12:42:10.657Z,2025-11-10T12:48:59.366Z,2000,0,0,-2000
"Ene",7kPHYByVxS,2025-11-10T12:35:33.682Z,2025-11-10T12:44:28.131Z,2200,1980,0,-220
"mo'",-WgKDrZMvL,2025-11-10T12:32:45.420Z,,2500,,2845,345
"るも",zQtsXjEaZl,2025-11-10T12:29:51.036Z,2025-11-10T13:58:02.726Z,2851,1960,0,-891
"Milly",AAC7lMsXCu,2025-11-10T12:13:25.920Z,2025-11-10T12:39:19.793Z,3000,2724,0,-276
"とーち",573aP-RRLR,2025-11-10T12:13:25.917Z,,3008,,5513,2505
"goto-neo",3uy3Mlil7r,2025-11-10T12:13:25.911Z,,5983,2028,3024,-931
