player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"池田",9zseyWfctH,2025-11-17T13:49:00.208Z,2025-11-17T14:24:20.559Z,2000,2050,0,50
"Hibari",W8YavHzibV,2025-11-17T13:33:31.673Z,2025-11-17T14:07:49.833Z,3000,2782,0,-218
"わた",26v7hSw7Sn,2025-11-17T12:43:19.578Z,,3000,6741,3057,6798
"ぼくだよ",EN9N_Z9A78,2025-11-17T12:33:28.735Z,2025-11-17T14:09:52.498Z,3775,2611,0,-1164
"バター",6tdx4JqMMc,2025-11-17T12:03:14.105Z,2025-11-17T12:30:20.119Z,3000,2710,0,-290
"LostLamb",nZVZhqDbpq,2025-11-17T11:56:45.199Z,,7571,4481,2986,-104
"-TOMO-",-zWKG5L3i7,2025-11-17T11:31:56.970Z,2025-11-17T14:07:58.929Z,2666,2057,0,-609
"るも",zQtsXjEaZl,2025-11-17T11:25:46.775Z,2025-11-17T13:10:18.643Z,2870,0,0,-2870
"kosuke",9oC3qxWkzn,2025-11-17T11:15:43.099Z,,2500,3225,3262,3987
"ぼくだよ",EN9N_Z9A78,2025-11-17T11:13:21.997Z,2025-11-17T12:30:20.115Z,2618,0,0,-2618
"goto-neo",3uy3Mlil7r,2025-11-17T11:10:15.870Z,2025-11-17T11:56:45.194Z,3000,2939,0,-61
"バター",6tdx4JqMMc,2025-11-17T11:09:49.808Z,2025-11-17T11:59:45.926Z,3000,0,0,-3000
"konasho",f_d8ebrXPg,2025-11-17T11:09:49.799Z,2025-11-17T11:56:45.189Z,2155,2235,0,80
"はるぽん",Vr4hVH6Y-l,2025-11-17T11:09:49.806Z,2025-11-17T11:56:45.184Z,2000,2430,0,430
"ノガード",dlzwhIfu_I,2025-11-17T11:09:49.802Z,,4820,2009,2400,-411
