player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Jongo",DrGOt1cq1y,2025-11-17T13:39:01.627Z,,2000,,1890,-110
"Riku",zz83sIdu2k,2025-11-17T13:23:02.600Z,2025-11-17T14:03:56.640Z,2000,1260,0,-740
"カイン",QK8nAFN9E2,2025-11-17T12:29:10.163Z,2025-11-17T13:59:44.235Z,2500,2295,0,-205
"konasho",f_d8ebrXPg,2025-11-17T12:16:53.792Z,,2000,,1955,-45
"kanimiso",0f3UuYd-1N,2025-11-17T12:16:53.789Z,2025-11-17T13:24:35.484Z,2000,1550,0,-450
"池田",9zseyWfctH,2025-11-17T12:15:11.677Z,2025-11-17T14:03:29.035Z,2000,3360,0,1360
"かいる",nPiUhQEVMi,2025-11-17T12:06:38.169Z,2025-11-17T14:03:46.674Z,2000,2555,0,555
"ぼくだよ",EN9N_Z9A78,2025-11-17T12:01:46.872Z,,2500,,3530,1030
"はるぽん",Vr4hVH6Y-l,2025-11-17T11:59:42.633Z,2025-11-17T14:03:33.216Z,2000,2765,0,765
"konasho",f_d8ebrXPg,2025-11-17T11:59:42.631Z,2025-11-17T12:14:30.946Z,2000,0,0,-2000
"goto-neo",3uy3Mlil7r,2025-11-17T11:59:42.636Z,,4602,1805,2637,-160
