player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"はやと",afwX5VdcTj,2025-11-24T13:36:25.315Z,,3000,,2555,-445
"Riku",zz83sIdu2k,2025-11-24T13:20:58.686Z,2025-11-24T14:02:46.476Z,2000,2060,0,60
"sigma",yHZrsG6l5j,2025-11-24T13:08:09.703Z,,2500,,2011,-489
"MasatoM",Zvgc3jh8lw,2025-11-24T13:04:40.298Z,2025-11-24T13:40:25.225Z,3000,2930,0,-70
"LostLamb",nZVZhqDbpq,2025-11-24T11:42:07.116Z,2025-11-24T12:58:45.570Z,3000,3542,0,542
"waho",Oc04ITRF7i,2025-11-24T11:38:10.872Z,2025-11-24T13:22:54.273Z,2200,2292,0,92
"うみ。",lVD5yytn3g,2025-11-24T11:27:30.551Z,,2200,,2495,295
"かいる",nPiUhQEVMi,2025-11-24T11:13:58.615Z,,2565,,2297,-268
"洋平",tz49-1PH6t,2025-11-24T11:05:01.434Z,2025-11-24T13:04:40.296Z,3266,1970,0,-1296
"-TOMO-",-zWKG5L3i7,2025-11-24T11:04:24.054Z,,2784,,2474,-310
"Jongo",DrGOt1cq1y,2025-11-24T11:04:24.052Z,,2000,,2621,621
"ばどえあー",yIVa1pKt3y,2025-11-24T11:04:24.047Z,,2000,,2490,490
"goto-neo",3uy3Mlil7r,2025-11-24T11:04:12.380Z,2025-11-24T11:12:08.657Z,3000,2970,0,-30
"konasho",f_d8ebrXPg,2025-11-24T11:00:21.318Z,2025-11-24T11:12:08.654Z,2000,2020,0,20
"とーち",IilnNqke4Y,2025-11-24T11:00:21.315Z,2025-11-24T11:04:12.377Z,2500,2480,0,-20
"mo'",-WgKDrZMvL,2025-11-24T11:00:21.312Z,2025-11-24T11:08:02.052Z,2500,2690,0,190
"ノガード",dlzwhIfu_I,2025-11-24T11:00:21.322Z,,2500,,3118,618
