entry,at,order
"The player ""Riku @ zz83sIdu2k"" quits the game with a stack of 2060.",2025-11-24T14:02:46.469Z,176399296646900
"-- ending hand #112 --",2025-11-24T14:02:43.459Z,176399296345902
"""ばどえあー @ yIVa1pKt3y"" collected 270 from pot",2025-11-24T14:02:43.459Z,176399296345901
"Uncalled bet of 200 returned to ""ばどえあー @ yIVa1pKt3y""",2025-11-24T14:02:43.459Z,176399296345900
"""ノガード @ dlzwhIfu_I"" folds",2025-11-24T14:02:42.602Z,176399296260200
"""ばどえあー @ yIVa1pKt3y"" bets 200",2025-11-24T14:02:31.604Z,176399295160400
"River: Q♥, 9♣, 7♥, 6♠ [J♦]",2025-11-24T14:01:08.894Z,176399286889400
"""ノガード @ dlzwhIfu_I"" checks",2025-11-24T14:01:08.051Z,176399286805100
"The admin ""ノガード @ dlzwhIfu_I"" enqueued the game stop on next hand.",2025-11-24T14:01:04.534Z,176399286453400
"""ばどえあー @ yIVa1pKt3y"" checks",2025-11-24T14:00:51.299Z,176399285129900
"Turn: Q♥, 9♣, 7♥ [6♠]",2025-11-24T14:00:11.970Z,176399281197000
"""ノガード @ dlzwhIfu_I"" checks",2025-11-24T14:00:11.129Z,176399281112900
"""ばどえあー @ yIVa1pKt3y"" checks",2025-11-24T13:59:51.019Z,176399279101900
"Flop:  [Q♥, 9♣, 7♥]",2025-11-24T13:59:38.391Z,176399277839100
"""ばどえあー @ yIVa1pKt3y"" calls 120",2025-11-24T13:59:37.581Z,176399277758100
"""はやと @ afwX5VdcTj"" folds",2025-11-24T13:59:09.104Z,176399274910400
"""sigma @ yHZrsG6l5j"" folds",2025-11-24T13:59:08.022Z,176399274802200
"""ノガード @ dlzwhIfu_I"" raises to 120",2025-11-24T13:59:07.011Z,176399274701100
"""Jongo @ DrGOt1cq1y"" folds",2025-11-24T13:59:02.562Z,176399274256200
"""かいる @ nPiUhQEVMi"" folds",2025-11-24T13:59:01.530Z,176399274153000
"""Riku @ zz83sIdu2k"" folds",2025-11-24T13:59:00.331Z,176399274033100
"""ばどえあー @ yIVa1pKt3y"" raises to 40",2025-11-24T13:58:59.203Z,176399273920300
"""-TOMO- @ -zWKG5L3i7"" folds",2025-11-24T13:58:55.723Z,176399273572300
"""うみ。 @ lVD5yytn3g"" folds",2025-11-24T13:58:54.647Z,176399273464700
"""はやと @ afwX5VdcTj"" posts a big blind of 20",2025-11-24T13:58:52.350Z,176399273235012
"""sigma @ yHZrsG6l5j"" posts a small blind of 10",2025-11-24T13:58:52.350Z,176399273235011
"Player stacks: #1 ""sigma @ yHZrsG6l5j"" (2021) | #2 ""はやと @ afwX5VdcTj"" (2575) | #3 ""うみ。 @ lVD5yytn3g"" (2495) | #5 ""-TOMO- @ -zWKG5L3i7"" (2474) | #6 ""ばどえあー @ yIVa1pKt3y"" (2340) | #7 ""Riku @ zz83sIdu2k"" (2060) | #8 ""かいる @ nPiUhQEVMi"" (2297) | #9 ""Jongo @ DrGOt1cq1y"" (2621) | #10 ""ノガード @ dlzwhIfu_I"" (3238)",2025-11-24T13:58:52.350Z,176399273235001
"-- starting hand #112 (id: uxerfryc84cn)  (No Limit Texas Hold'em) (dealer: ""ノガード @ dlzwhIfu_I"") --",2025-11-24T13:58:52.350Z,176399273235000
"""はやと @ afwX5VdcTj"" shows a Q♦.",2025-11-24T13:58:50.592Z,176399273059200
"-- ending hand #111 --",2025-11-24T13:58:48.713Z,176399272871302
