player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"utos",g0yui9LXM4,2025-11-24T13:53:14.190Z,,2400,,2772,372
"わた",26v7hSw7Sn,2025-11-24T13:49:18.317Z,,3000,,3446,446
"goto-neo",3uy3Mlil7r,2025-11-24T13:18:39.025Z,2025-11-24T14:04:41.397Z,3000,2970,0,-30
"konasho",f_d8ebrXPg,2025-11-24T12:46:27.976Z,,2480,,2000,-480
"るも",zQtsXjEaZl,2025-11-24T12:41:15.249Z,2025-11-24T14:05:01.470Z,2000,2290,0,290
"ぼくだよ",EN9N_Z9A78,2025-11-24T12:07:21.791Z,2025-11-24T14:04:57.253Z,2880,1940,0,-940
"らねおか",XaClitYV1x,2025-11-24T11:42:18.154Z,,5000,6070,1893,2963
"LostLamb",nZVZhqDbpq,2025-11-24T11:39:17.968Z,2025-11-24T11:39:33.401Z,3000,3000,0,0
"あこ",9FY377ItlI,2025-11-24T11:26:57.149Z,2025-11-24T11:41:26.729Z,2000,0,0,-2000
"うみ。",lVD5yytn3g,2025-11-24T11:25:11.529Z,,3091,4857,3839,5605
"goto-neo",3uy3Mlil7r,2025-11-24T11:10:39.697Z,2025-11-24T13:17:50.331Z,5500,0,0,-5500
"konasho",f_d8ebrXPg,2025-11-24T11:10:39.702Z,2025-11-24T12:45:58.023Z,2675,0,0,-2675
"とーち",hig4fvwo_m,2025-11-24T11:10:39.700Z,2025-11-24T13:11:04.320Z,3125,3896,0,771
"mo'",-WgKDrZMvL,2025-11-24T11:10:39.694Z,2025-11-24T14:05:12.070Z,2500,3678,0,1178
