entry,at,order
"The player ""mo' @ -WgKDrZMvL"" passed the room ownership to ""うみ。 @ lVD5yytn3g"".",2025-11-24T14:10:46.948Z,176399344694800
"The player ""mo' @ -WgKDrZMvL"" quits the game with a stack of 2693.",2025-11-24T14:05:12.056Z,176399311205600
"The player ""るも @ zQtsXjEaZl"" quits the game with a stack of 2290.",2025-11-24T14:05:01.461Z,176399310146100
"The player ""ぼくだよ @ EN9N_Z9A78"" quits the game with a stack of 1940.",2025-11-24T14:04:57.249Z,176399309724900
"The player ""goto-neo @ 3uy3Mlil7r"" quits the game with a stack of 2970.",2025-11-24T14:04:41.392Z,176399308139200
"-- ending hand #253 --",2025-11-24T14:04:38.473Z,176399307847302
"""わた @ 26v7hSw7Sn"" collected 594 from pot",2025-11-24T14:04:38.473Z,176399307847301
"Uncalled bet of 891 returned to ""わた @ 26v7hSw7Sn""",2025-11-24T14:04:38.473Z,176399307847300
"""utos @ g0yui9LXM4"" folds",2025-11-24T14:04:37.628Z,176399307762800
"""らねおか @ XaClitYV1x"" folds",2025-11-24T14:04:36.552Z,176399307655200
"""わた @ 26v7hSw7Sn"" bets 891",2025-11-24T14:04:29.247Z,176399306924700
"""utos @ g0yui9LXM4"" checks",2025-11-24T14:04:23.981Z,176399306398100
"""らねおか @ XaClitYV1x"" checks",2025-11-24T14:02:14.442Z,176399293444200
"River: 5♦, 3♦, Q♥, 3♣ [5♣]",2025-11-24T14:02:12.337Z,176399293233700
"""らねおか @ XaClitYV1x"" calls 108",2025-11-24T14:02:11.517Z,176399293151700
"""わた @ 26v7hSw7Sn"" calls 108",2025-11-24T14:02:02.659Z,176399292265900
"""utos @ g0yui9LXM4"" bets 108",2025-11-24T14:01:54.596Z,176399291459600
"""らねおか @ XaClitYV1x"" checks",2025-11-24T14:01:06.189Z,176399286618900
"Turn: 5♦, 3♦, Q♥ [3♣]",2025-11-24T14:01:03.775Z,176399286377500
"""らねおか @ XaClitYV1x"" calls 40",2025-11-24T14:01:02.915Z,176399286291500
"The admin ""mo' @ -WgKDrZMvL"" enqueued the game stop on next hand.",2025-11-24T14:00:58.809Z,176399285880900
"""わた @ 26v7hSw7Sn"" calls 40",2025-11-24T14:00:47.871Z,176399284787100
"""utos @ g0yui9LXM4"" bets 40",2025-11-24T14:00:45.866Z,176399284586600
"""らねおか @ XaClitYV1x"" checks",2025-11-24T14:00:33.963Z,176399283396300
"Flop:  [5♦, 3♦, Q♥]",2025-11-24T14:00:32.178Z,176399283217800
"""konasho @ f_d8ebrXPg"" folds",2025-11-24T14:00:31.377Z,176399283137700
"""うみ。 @ lVD5yytn3g"" folds",2025-11-24T14:00:25.184Z,176399282518400
"""わた @ 26v7hSw7Sn"" calls 40",2025-11-24T14:00:24.138Z,176399282413800
"""utos @ g0yui9LXM4"" calls 40",2025-11-24T14:00:22.540Z,176399282254000
"""るも @ zQtsXjEaZl"" folds",2025-11-24T14:00:21.154Z,176399282115400
