player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"粗茶",GtqOGZOqIV,2025-12-01T12:54:00.994Z,,2000,,4256,2256
"Riku",zz83sIdu2k,2025-12-01T12:41:08.882Z,2025-12-01T12:41:44.035Z,2000,2000,0,0
"Jongo",DrGOt1cq1y,2025-12-01T12:04:12.873Z,2025-12-01T13:45:42.565Z,2000,2357,0,357
"池田",9zseyWfctH,2025-12-01T11:53:13.829Z,,2145,,2640,495
"とーち",OCY4-ehNwS,2025-12-01T11:37:23.766Z,2025-12-01T11:42:43.243Z,2500,2500,0,0
"しゅごしゅぎ",9mJ9fgUOSI,2025-12-01T11:31:51.791Z,2025-12-01T11:37:23.763Z,2000,1970,0,-30
"TP",NEEYDnny4C,2025-12-01T11:28:48.085Z,2025-12-01T12:20:22.532Z,3035,2940,0,-95
"たか＆とし",Ckzf_NMq9W,2025-12-01T11:17:18.421Z,,6000,,2915,-3085
"はるぽん",Vr4hVH6Y-l,2025-12-01T11:12:02.083Z,2025-12-01T11:42:43.240Z,2000,1880,0,-120
"かいる",nPiUhQEVMi,2025-12-01T11:03:56.028Z,,4574,,2000,-2574
"shindo",t6tldzOLXE,2025-12-01T11:05:29.089Z,2025-12-01T14:02:10.047Z,3000,1332,0,-1668
"さとうき",XvV199EQBF,2025-12-01T11:00:04.210Z,,2500,,3625,1125
"systemysk",BQ0T2n7S1h,2025-12-01T11:00:04.215Z,2025-12-01T12:49:29.575Z,2500,5029,0,2529
"ノガード",dlzwhIfu_I,2025-12-01T11:00:04.220Z,,2500,1145,2165,810
