player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"waho",Oc04ITRF7i,2025-12-01T13:14:44.616Z,2025-12-01T14:01:28.301Z,2500,2220,0,-280
"Tom",1pz3XQvr3U,2025-12-01T12:12:11.273Z,2025-12-01T14:01:32.376Z,3000,2770,0,-230
"Jongo",DrGOt1cq1y,2025-12-01T11:58:17.926Z,2025-12-01T13:44:55.897Z,2750,1960,0,-790
"しゅごしゅぎ",mvDUEnmMJs,2025-12-01T11:54:49.180Z,2025-12-01T14:02:45.089Z,2000,3355,0,1355
"ぼくだよ",EN9N_Z9A78,2025-12-01T11:48:28.493Z,2025-12-01T12:41:17.895Z,2500,2855,0,355
"はるぽん",Vr4hVH6Y-l,2025-12-01T11:42:59.121Z,2025-12-01T14:01:46.301Z,2000,2060,0,60
"TP",NEEYDnny4C,2025-12-01T11:40:21.584Z,2025-12-01T12:40:38.445Z,6000,7895,0,1895
"とーち",OCY4-ehNwS,2025-12-01T11:40:21.580Z,2025-12-01T12:41:17.891Z,2500,2498,0,-2
"konasho",f_d8ebrXPg,2025-12-01T11:39:36.267Z,,3520,,2170,-1350
"しゅごしゅぎ",mvDUEnmMJs,2025-12-01T11:39:36.269Z,2025-12-01T11:53:48.930Z,2000,0,0,-2000
"Shindo",vZ7dvFc8ti,2025-12-01T11:39:36.265Z,2025-12-01T14:02:12.780Z,3000,3987,0,987
