entry,at,order
"The player ""Shindo @ vZ7dvFc8ti"" passed the room ownership to ""konasho @ f_d8ebrXPg"".",2025-12-01T14:08:12.840Z,176459809284000
"The player ""しゅごしゅぎ @ mvDUEnmMJs"" quits the game with a stack of 3355.",2025-12-01T14:02:45.084Z,176459776508400
"The player ""Shindo @ vZ7dvFc8ti"" quits the game with a stack of 3987.",2025-12-01T14:02:12.777Z,176459773277700
"The player ""はるぽん @ Vr4hVH6Y-l"" quits the game with a stack of 2060.",2025-12-01T14:01:46.298Z,176459770629800
"The player ""Tom @ 1pz3XQvr3U"" quits the game with a stack of 2770.",2025-12-01T14:01:32.372Z,176459769237200
"The player ""waho @ Oc04ITRF7i"" quits the game with a stack of 2220.",2025-12-01T14:01:28.297Z,176459768829700
"-- ending hand #169 --",2025-12-01T14:01:22.282Z,176459768228202
"""はるぽん @ Vr4hVH6Y-l"" collected 1100 from pot with Two Pair, A's & 4's (combination: A♥, A♣, 4♦, 4♥, 9♥)",2025-12-01T14:01:22.282Z,176459768228201
"""はるぽん @ Vr4hVH6Y-l"" shows a 4♦, A♥.",2025-12-01T14:01:22.282Z,176459768228200
"""Tom @ 1pz3XQvr3U"" calls 330",2025-12-01T14:01:21.440Z,176459768144000
"The admin ""Shindo @ vZ7dvFc8ti"" enqueued the game stop on next hand.",2025-12-01T14:00:49.461Z,176459764946100
"""はるぽん @ Vr4hVH6Y-l"" bets 330",2025-12-01T14:00:03.049Z,176459760304900
"""Tom @ 1pz3XQvr3U"" checks",2025-12-01T13:59:21.285Z,176459756128500
"River: 4♥, A♣, 9♥, 7♣ [8♦]",2025-12-01T13:59:17.990Z,176459755799000
"""Tom @ 1pz3XQvr3U"" calls 110",2025-12-01T13:59:17.173Z,176459755717300
"""はるぽん @ Vr4hVH6Y-l"" bets 110",2025-12-01T13:58:29.342Z,176459750934200
"""Tom @ 1pz3XQvr3U"" checks",2025-12-01T13:58:02.321Z,176459748232100
"Turn: 4♥, A♣, 9♥ [7♣]",2025-12-01T13:58:00.672Z,176459748067200
"""Tom @ 1pz3XQvr3U"" calls 55",2025-12-01T13:57:59.836Z,176459747983600
"""はるぽん @ Vr4hVH6Y-l"" bets 55",2025-12-01T13:57:41.073Z,176459746107300
"""Tom @ 1pz3XQvr3U"" checks",2025-12-01T13:57:27.236Z,176459744723600
"Flop:  [4♥, A♣, 9♥]",2025-12-01T13:57:26.256Z,176459744625600
"""Tom @ 1pz3XQvr3U"" calls 50",2025-12-01T13:57:25.452Z,176459744545200
"""waho @ Oc04ITRF7i"" folds",2025-12-01T13:57:23.399Z,176459744339900
"""はるぽん @ Vr4hVH6Y-l"" raises to 50",2025-12-01T13:57:22.373Z,176459744237300
"""Shindo @ vZ7dvFc8ti"" folds",2025-12-01T13:57:18.244Z,176459743824400
"""しゅごしゅぎ @ mvDUEnmMJs"" folds",2025-12-01T13:57:15.363Z,176459743536300
"""konasho @ f_d8ebrXPg"" folds",2025-12-01T13:57:14.382Z,176459743438200
"""Tom @ 1pz3XQvr3U"" posts a big blind of 20",2025-12-01T13:57:12.496Z,176459743249609
"""waho @ Oc04ITRF7i"" posts a small blind of 10",2025-12-01T13:57:12.496Z,176459743249608
"Player stacks: #1 ""Shindo @ vZ7dvFc8ti"" (3987) | #2 ""はるぽん @ Vr4hVH6Y-l"" (1505) | #3 ""waho @ Oc04ITRF7i"" (2230) | #4 ""Tom @ 1pz3XQvr3U"" (3315) | #5 ""konasho @ f_d8ebrXPg"" (2170) | #8 ""しゅごしゅぎ @ mvDUEnmMJs"" (3355)",2025-12-01T13:57:12.496Z,176459743249601
"-- starting hand #169 (id: tot4r4vivkfj)  (No Limit Texas Hold'em) (dealer: ""はるぽん @ Vr4hVH6Y-l"") --",2025-12-01T13:57:12.496Z,176459743249600
"-- ending hand #168 --",2025-12-01T13:57:09.586Z,176459742958602
"""しゅごしゅぎ @ mvDUEnmMJs"" collected 50 from pot",2025-12-01T13:57:09.586Z,176459742958601
"Uncalled bet of 30 returned to ""しゅごしゅぎ @ mvDUEnmMJs""",2025-12-01T13:57:09.586Z,176459742958600
"""waho @ Oc04ITRF7i"" folds",2025-12-01T13:57:08.752Z,176459742875200
"""はるぽん @ Vr4hVH6Y-l"" folds",2025-12-01T13:57:07.255Z,176459742725500
"""Shindo @ vZ7dvFc8ti"" folds",2025-12-01T13:57:06.206Z,176459742620600
"""しゅごしゅぎ @ mvDUEnmMJs"" raises to 50",2025-12-01T13:57:05.117Z,176459742511700
"""konasho @ f_d8ebrXPg"" folds",2025-12-01T13:57:02.273Z,176459742227300
"""Tom @ 1pz3XQvr3U"" folds",2025-12-01T13:56:59.340Z,176459741934000
"""waho @ Oc04ITRF7i"" posts a big blind of 20",2025-12-01T13:56:53.775Z,176459741377509
"""はるぽん @ Vr4hVH6Y-l"" posts a small blind of 10",2025-12-01T13:56:53.775Z,176459741377508
"Player stacks: #1 ""Shindo @ vZ7dvFc8ti"" (3987) | #2 ""はるぽん @ Vr4hVH6Y-l"" (1515) | #3 ""waho @ Oc04ITRF7i"" (2250) | #4 ""Tom @ 1pz3XQvr3U"" (3315) | #5 ""konasho @ f_d8ebrXPg"" (2170) | #8 ""しゅごしゅぎ @ mvDUEnmMJs"" (3325)",2025-12-01T13:56:53.775Z,176459741377501
"-- starting hand #168 (id: 2girflfztqr9)  (No Limit Texas Hold'em) (dealer: ""Shindo @ vZ7dvFc8ti"") --",2025-12-01T13:56:53.775Z,176459741377500
