entry,at,order
"The player ""Ene @ 7kPHYByVxS"" quits the game with a stack of 1858.",2025-12-01T14:00:27.940Z,176459762794000
"The admin ""とーち @ OCY4-ehNwS"" enqueued the game stop on next hand.",2025-12-01T14:00:09.663Z,176459760966300
"""Ene @ 7kPHYByVxS"" shows a K♦, Q♦.",2025-12-01T14:00:07.011Z,176459760701100
"-- ending hand #67 --",2025-12-01T14:00:06.299Z,176459760629902
"""とーち @ OCY4-ehNwS"" collected 360 from pot",2025-12-01T14:00:06.299Z,176459760629901
"Uncalled bet of 270 returned to ""とーち @ OCY4-ehNwS""",2025-12-01T14:00:06.299Z,176459760629900
"""Ene @ 7kPHYByVxS"" folds",2025-12-01T14:00:05.453Z,176459760545300
"""とーち @ OCY4-ehNwS"" bets 270",2025-12-01T13:59:47.624Z,176459758762400
"""Ene @ 7kPHYByVxS"" checks",2025-12-01T13:59:32.742Z,176459757274200
"Flop:  [A♦, A♣, 2♠]",2025-12-01T13:59:29.521Z,176459756952100
"""とーち @ OCY4-ehNwS"" calls 170",2025-12-01T13:59:28.672Z,176459756867200
"""ぼくだよ @ EN9N_Z9A78"" folds",2025-12-01T13:59:08.033Z,176459754803300
"""Ene @ 7kPHYByVxS"" raises to 170",2025-12-01T13:59:06.965Z,176459754696500
"""とーち @ OCY4-ehNwS"" raises to 50",2025-12-01T13:58:59.821Z,176459753982100
"""mo' @ nNZUAXFJLQ"" folds",2025-12-01T13:58:56.402Z,176459753640200
"""Doc @ rNZKJiwrNl"" folds",2025-12-01T13:58:55.265Z,176459753526500
"""systemysk @ BQ0T2n7S1h"" folds",2025-12-01T13:58:54.179Z,176459753417900
"""ぼくだよ @ EN9N_Z9A78"" posts a big blind of 20",2025-12-01T13:58:43.464Z,176459752346409
"""Ene @ 7kPHYByVxS"" posts a small blind of 10",2025-12-01T13:58:43.464Z,176459752346408
"Player stacks: #1 ""Doc @ rNZKJiwrNl"" (1777) | #3 ""mo' @ nNZUAXFJLQ"" (2126) | #6 ""とーち @ OCY4-ehNwS"" (2753) | #8 ""Ene @ 7kPHYByVxS"" (2028) | #9 ""ぼくだよ @ EN9N_Z9A78"" (2443) | #10 ""systemysk @ BQ0T2n7S1h"" (3122)",2025-12-01T13:58:43.464Z,176459752346401
"-- starting hand #67 (id: hvyg4o2pndnl)  (No Limit Texas Hold'em) (dealer: ""とーち @ OCY4-ehNwS"") --",2025-12-01T13:58:43.464Z,176459752346400
"-- ending hand #66 --",2025-12-01T13:58:40.547Z,176459752054702
"""ぼくだよ @ EN9N_Z9A78"" collected 50 from pot",2025-12-01T13:58:40.547Z,176459752054701
"Uncalled bet of 20 returned to ""ぼくだよ @ EN9N_Z9A78""",2025-12-01T13:58:40.547Z,176459752054700
"""Ene @ 7kPHYByVxS"" folds",2025-12-01T13:58:39.722Z,176459751972200
"""とーち @ OCY4-ehNwS"" folds",2025-12-01T13:58:38.661Z,176459751866100
"""mo' @ nNZUAXFJLQ"" folds",2025-12-01T13:58:35.386Z,176459751538600
"""Doc @ rNZKJiwrNl"" folds",2025-12-01T13:58:34.314Z,176459751431400
"""systemysk @ BQ0T2n7S1h"" folds",2025-12-01T13:58:33.254Z,176459751325400
"""ぼくだよ @ EN9N_Z9A78"" raises to 40",2025-12-01T13:58:27.994Z,176459750799400
"""Ene @ 7kPHYByVxS"" posts a big blind of 20",2025-12-01T13:58:24.845Z,176459750484509
"""とーち @ OCY4-ehNwS"" posts a small blind of 10",2025-12-01T13:58:24.845Z,176459750484508
"Player stacks: #1 ""Doc @ rNZKJiwrNl"" (1777) | #3 ""mo' @ nNZUAXFJLQ"" (2126) | #6 ""とーち @ OCY4-ehNwS"" (2763) | #8 ""Ene @ 7kPHYByVxS"" (2048) | #9 ""ぼくだよ @ EN9N_Z9A78"" (2413) | #10 ""systemysk @ BQ0T2n7S1h"" (3122)",2025-12-01T13:58:24.845Z,176459750484501
"-- starting hand #66 (id: psgkiizbnlgh)  (No Limit Texas Hold'em) (dealer: ""mo' @ nNZUAXFJLQ"") --",2025-12-01T13:58:24.845Z,176459750484500
"-- ending hand #65 --",2025-12-01T13:58:21.889Z,176459750188902
"""とーち @ OCY4-ehNwS"" collected 120 from pot",2025-12-01T13:58:21.889Z,176459750188901
"Uncalled bet of 200 returned to ""とーち @ OCY4-ehNwS""",2025-12-01T13:58:21.889Z,176459750188900
"""systemysk @ BQ0T2n7S1h"" folds",2025-12-01T13:58:21.046Z,176459750104600
"""とーち @ OCY4-ehNwS"" raises to 250",2025-12-01T13:58:02.143Z,176459748214300
"""mo' @ nNZUAXFJLQ"" folds",2025-12-01T13:57:55.821Z,176459747582100
"""Doc @ rNZKJiwrNl"" folds",2025-12-01T13:57:54.619Z,176459747461900
"""systemysk @ BQ0T2n7S1h"" raises to 50",2025-12-01T13:57:52.823Z,176459747282300
"""ぼくだよ @ EN9N_Z9A78"" folds",2025-12-01T13:57:25.754Z,176459744575400
"""Ene @ 7kPHYByVxS"" folds",2025-12-01T13:57:24.679Z,176459744467900
