player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Jongo",k0crc0zzkL,2025-12-08T13:41:35.056Z,,3000,,2920,-80
"Hibari",gG60J3OV2j,2025-12-08T13:36:32.311Z,,3000,,2785,-215
"utos",g0yui9LXM4,2025-12-08T13:25:37.567Z,,2200,1026,2734,1560
"ばどえあー",yIVa1pKt3y,2025-12-08T12:21:34.763Z,,2746,,1905,-841
"hi!",F4_m-ucyaY,2025-12-08T12:21:34.758Z,2025-12-08T13:51:53.756Z,2825,4330,0,1505
"わた",tsb_cnTeqj,2025-12-08T12:15:03.859Z,,5092,,3003,-2089
"LostLamb",nZVZhqDbpq,2025-12-08T12:05:03.896Z,,3970,1920,2346,296
"waho",Oc04ITRF7i,2025-12-08T12:05:03.893Z,2025-12-08T12:16:43.305Z,2500,2530,0,30
"konasho",f_d8ebrXPg,2025-12-08T11:17:42.671Z,,2550,1010,1920,380
"とーち",OCY4-ehNwS,2025-12-08T11:17:26.606Z,2025-12-08T12:16:01.692Z,3240,2470,0,-770
"Milly",AAC7lMsXCu,2025-12-08T11:17:09.252Z,2025-12-08T11:41:02.889Z,3000,3000,0,0
"systemysk",BQ0T2n7S1h,2025-12-08T11:11:57.836Z,2025-12-08T12:23:22.188Z,4570,3454,0,-1116
"粗茶",GtqOGZOqIV,2025-12-08T11:11:57.832Z,2025-12-08T12:15:36.326Z,2000,3740,0,1740
"るも",zQtsXjEaZl,2025-12-08T11:09:53.269Z,2025-12-08T12:16:43.300Z,2250,3400,0,1150
"konasho",f_d8ebrXPg,2025-12-08T11:03:15.211Z,2025-12-08T11:17:09.249Z,2000,0,0,-2000
"arash!",NnrqlxdnGn,2025-12-08T11:03:15.214Z,2025-12-08T12:08:35.858Z,3000,3420,0,420
"ノガード",WtIP2AbI23,2025-12-08T11:03:15.207Z,,2960,,2990,30
