player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"ナカヤマ",rSiu_iM_f9,2025-12-08T13:51:26.139Z,2025-12-08T14:00:53.769Z,2000,1870,0,-130
"utos",g0yui9LXM4,2025-12-08T13:27:56.626Z,2025-12-08T14:00:34.271Z,2200,2324,0,124
"かいる",nPiUhQEVMi,2025-12-08T13:14:27.314Z,2025-12-08T14:00:34.263Z,2000,2742,0,742
"るも",zQtsXjEaZl,2025-12-08T13:08:40.747Z,,2200,,2090,-110
"Ene",7kPHYByVxS,2025-12-08T12:41:31.674Z,2025-12-08T13:34:06.919Z,2200,2343,0,143
"池田",9zseyWfctH,2025-12-08T12:24:51.819Z,,4430,,2640,-1790
"Doc",rNZKJiwrNl,2025-12-08T12:18:13.029Z,,2500,2140,2990,2630
"るも",zQtsXjEaZl,2025-12-08T12:17:05.787Z,2025-12-08T12:31:14.241Z,2300,2640,0,340
"waho",Oc04ITRF7i,2025-12-08T12:17:05.784Z,2025-12-08T14:00:52.825Z,2500,3031,0,531
"粗茶",GtqOGZOqIV,2025-12-08T12:17:05.791Z,2025-12-08T14:01:17.814Z,2848,3406,0,558
"池田",9zseyWfctH,2025-12-08T12:17:05.789Z,2025-12-08T12:24:15.532Z,2000,0,0,-2000
"とーち",OCY4-ehNwS,2025-12-08T12:17:05.793Z,,3754,,2716,-1038
