entry,at,order
"The player ""粗茶 @ GtqOGZOqIV"" quits the game with a stack of 2490.",2025-12-08T14:01:17.812Z,176520247781200
"The player ""ナカヤマ @ rSiu_iM_f9"" quits the game with a stack of 1870.",2025-12-08T14:00:53.765Z,176520245376500
"The player ""waho @ Oc04ITRF7i"" quits the game with a stack of 3031.",2025-12-08T14:00:52.821Z,176520245282100
"-- ending hand #131 --",2025-12-08T14:00:49.875Z,176520244987502
"""池田 @ 9zseyWfctH"" collected 110 from pot",2025-12-08T14:00:49.875Z,176520244987501
"Uncalled bet of 80 returned to ""池田 @ 9zseyWfctH""",2025-12-08T14:00:49.875Z,176520244987500
"""るも @ zQtsXjEaZl"" folds",2025-12-08T14:00:49.056Z,176520244905600
"""Doc @ rNZKJiwrNl"" folds",2025-12-08T14:00:48.011Z,176520244801100
"""とーち @ OCY4-ehNwS"" folds",2025-12-08T14:00:45.817Z,176520244581700
"""粗茶 @ GtqOGZOqIV"" folds",2025-12-08T14:00:44.816Z,176520244481600
"""池田 @ 9zseyWfctH"" raises to 120",2025-12-08T14:00:43.776Z,176520244377600
"""ナカヤマ @ rSiu_iM_f9"" folds",2025-12-08T14:00:40.072Z,176520244007200
"""るも @ zQtsXjEaZl"" raises to 40",2025-12-08T14:00:38.218Z,176520243821800
"The admin ""とーち @ OCY4-ehNwS"" enqueued the game stop on next hand.",2025-12-08T14:00:37.219Z,176520243721900
"""waho @ Oc04ITRF7i"" folds",2025-12-08T14:00:36.356Z,176520243635600
"""Doc @ rNZKJiwrNl"" posts a big blind of 20",2025-12-08T14:00:34.259Z,176520243425913
"""とーち @ OCY4-ehNwS"" posts a small blind of 10",2025-12-08T14:00:34.259Z,176520243425912
"Player stacks: #1 ""Doc @ rNZKJiwrNl"" (3010) | #2 ""waho @ Oc04ITRF7i"" (3031) | #3 ""るも @ zQtsXjEaZl"" (2130) | #4 ""ナカヤマ @ rSiu_iM_f9"" (1870) | #6 ""池田 @ 9zseyWfctH"" (2570) | #8 ""粗茶 @ GtqOGZOqIV"" (2490) | #9 ""とーち @ OCY4-ehNwS"" (2726)",2025-12-08T14:00:34.259Z,176520243425904
"-- starting hand #131 (id: ivi9lcftyqd3)  (No Limit Texas Hold'em) (dealer: ""粗茶 @ GtqOGZOqIV"") --",2025-12-08T14:00:34.259Z,176520243425903
"The player ""utos @ g0yui9LXM4"" quits the game with a stack of 2324.",2025-12-08T14:00:34.259Z,176520243425902
"The player ""かいる @ nPiUhQEVMi"" quits the game with a stack of 2742.",2025-12-08T14:00:34.259Z,176520243425901
"The player ""かいる @ nPiUhQEVMi"" stand up with the stack of 2742.",2025-12-08T14:00:34.259Z,176520243425900
"-- ending hand #130 --",2025-12-08T14:00:31.323Z,176520243132302
"""粗茶 @ GtqOGZOqIV"" collected 40 from pot",2025-12-08T14:00:31.323Z,176520243132301
"Uncalled bet of 40 returned to ""粗茶 @ GtqOGZOqIV""",2025-12-08T14:00:31.323Z,176520243132300
"""とーち @ OCY4-ehNwS"" folds",2025-12-08T14:00:30.493Z,176520243049300
"""粗茶 @ GtqOGZOqIV"" raises to 60",2025-12-08T14:00:28.419Z,176520242841900
"""池田 @ 9zseyWfctH"" folds",2025-12-08T14:00:24.868Z,176520242486800
"""utos @ g0yui9LXM4"" folds",2025-12-08T14:00:23.804Z,176520242380400
"""ナカヤマ @ rSiu_iM_f9"" folds",2025-12-08T14:00:22.956Z,176520242295600
"""るも @ zQtsXjEaZl"" folds",2025-12-08T14:00:19.926Z,176520241992600
"""waho @ Oc04ITRF7i"" folds",2025-12-08T14:00:18.817Z,176520241881700
"""Doc @ rNZKJiwrNl"" folds",2025-12-08T14:00:17.655Z,176520241765500
"""かいる @ nPiUhQEVMi"" folds",2025-12-08T14:00:16.420Z,176520241642000
"""とーち @ OCY4-ehNwS"" posts a big blind of 20",2025-12-08T14:00:14.839Z,176520241483912
"""粗茶 @ GtqOGZOqIV"" posts a small blind of 10",2025-12-08T14:00:14.839Z,176520241483911
"Player stacks: #1 ""Doc @ rNZKJiwrNl"" (3010) | #2 ""waho @ Oc04ITRF7i"" (3031) | #3 ""るも @ zQtsXjEaZl"" (2130) | #4 ""ナカヤマ @ rSiu_iM_f9"" (1870) | #5 ""utos @ g0yui9LXM4"" (2324) | #6 ""池田 @ 9zseyWfctH"" (2570) | #8 ""粗茶 @ GtqOGZOqIV"" (2470) | #9 ""とーち @ OCY4-ehNwS"" (2746) | #10 ""かいる @ nPiUhQEVMi"" (2742)",2025-12-08T14:00:14.839Z,176520241483901
"-- starting hand #130 (id: myqawfqd14nj)  (No Limit Texas Hold'em) (dealer: ""池田 @ 9zseyWfctH"") --",2025-12-08T14:00:14.839Z,176520241483900
"-- ending hand #129 --",2025-12-08T14:00:11.908Z,176520241190802
"""utos @ g0yui9LXM4"" collected 180 from pot",2025-12-08T14:00:11.908Z,176520241190801
"Uncalled bet of 140 returned to ""utos @ g0yui9LXM4""",2025-12-08T14:00:11.908Z,176520241190800
"""ナカヤマ @ rSiu_iM_f9"" folds",2025-12-08T14:00:11.074Z,176520241107400
"""るも @ zQtsXjEaZl"" folds",2025-12-08T14:00:06.579Z,176520240657900
"""粗茶 @ GtqOGZOqIV"" folds",2025-12-08T14:00:05.394Z,176520240539400
"""池田 @ 9zseyWfctH"" folds",2025-12-08T14:00:04.324Z,176520240432400
"""utos @ g0yui9LXM4"" raises to 200",2025-12-08T14:00:03.232Z,176520240323200
"""ナカヤマ @ rSiu_iM_f9"" raises to 60",2025-12-08T13:59:58.946Z,176520239894600
"""るも @ zQtsXjEaZl"" checks",2025-12-08T13:59:53.041Z,176520239304100
"""waho @ Oc04ITRF7i"" folds",2025-12-08T13:59:50.162Z,176520239016200
"""Doc @ rNZKJiwrNl"" folds",2025-12-08T13:59:49.049Z,176520238904900
"""かいる @ nPiUhQEVMi"" folds",2025-12-08T13:59:48.019Z,176520238801900
