player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"ノガード",WtIP2AbI23,2025-12-15T13:55:46.373Z,,2500,,2540,40
"るも",zQtsXjEaZl,2025-12-15T13:49:50.962Z,,2500,,2290,-210
"sigma",yHZrsG6l5j,2025-12-15T13:13:02.438Z,2025-12-15T13:35:30.329Z,2500,1900,0,-600
"Ene",7kPHYByVxS,2025-12-15T12:37:27.883Z,,2200,,2499,299
"池田",9zseyWfctH,2025-12-15T12:12:30.122Z,,2000,2715,2970,3685
"カイン",QK8nAFN9E2,2025-12-15T12:12:30.120Z,2025-12-15T12:47:42.492Z,2500,0,0,-2500
"ぼくだよ",EN9N_Z9A78,2025-12-15T11:53:40.801Z,,2500,4476,2441,4417
"Milly",AAC7lMsXCu,2025-12-15T11:32:52.517Z,2025-12-15T12:06:00.565Z,3000,2440,0,-560
"-TOMO-",-zWKG5L3i7,2025-12-15T11:17:37.064Z,,3212,,2995,-217
"ばどえあー",yIVa1pKt3y,2025-12-15T11:05:37.694Z,2025-12-15T11:20:32.312Z,2000,2155,0,155
"GIL RAIM",Oo-rx1G24B,2025-12-15T11:04:59.825Z,,3062,1057,4141,2136
"konasho",f_d8ebrXPg,2025-12-15T11:05:37.692Z,2025-12-15T11:20:32.306Z,2000,2510,0,510
"Sabosuke",wD8GUuEYva,2025-12-15T11:05:37.690Z,2025-12-15T12:24:57.413Z,4465,2365,0,-2100
"MAX",7htETinMJU,2025-12-15T11:03:13.949Z,2025-12-15T11:20:03.457Z,3000,2660,0,-340
"そばやき",s5Oh2PJdsS,2025-12-15T11:03:13.946Z,,2500,1092,3000,1592
"TP",NEEYDnny4C,2025-12-15T11:00:43.016Z,2025-12-15T11:20:32.302Z,2500,2320,0,-180
"ノガード",WtIP2AbI23,2025-12-15T11:00:43.005Z,2025-12-15T13:54:44.072Z,7644,1517,0,-6127
