entry,at,order
"""Ene @ 7kPHYByVxS"" shows a 5♣, 4♦.",2025-12-15T14:00:04.618Z,176580720461800
"-- ending hand #173 --",2025-12-15T14:00:03.384Z,176580720338402
"""ぼくだよ @ EN9N_Z9A78"" collected 50 from pot",2025-12-15T14:00:03.384Z,176580720338401
"Uncalled bet of 25 returned to ""ぼくだよ @ EN9N_Z9A78""",2025-12-15T14:00:03.384Z,176580720338400
"""Ene @ 7kPHYByVxS"" folds",2025-12-15T14:00:02.574Z,176580720257400
"The admin ""ノガード @ WtIP2AbI23"" enqueued the game stop on next hand.",2025-12-15T14:00:02.342Z,176580720234200
"""池田 @ 9zseyWfctH"" folds",2025-12-15T14:00:00.864Z,176580720086400
"""るも @ zQtsXjEaZl"" folds",2025-12-15T13:59:59.828Z,176580719982800
"""ぼくだよ @ EN9N_Z9A78"" raises to 45",2025-12-15T13:59:57.610Z,176580719761000
"""ノガード @ WtIP2AbI23"" folds",2025-12-15T13:59:54.754Z,176580719475400
"""GIL RAIM @ Oo-rx1G24B"" folds",2025-12-15T13:59:53.672Z,176580719367200
"""-TOMO- @ -zWKG5L3i7"" folds",2025-12-15T13:59:47.614Z,176580718761400
"""Ene @ 7kPHYByVxS"" posts a big blind of 20",2025-12-15T13:59:45.576Z,176580718557610
"""池田 @ 9zseyWfctH"" posts a small blind of 10",2025-12-15T13:59:45.576Z,176580718557609
"Player stacks: #1 ""るも @ zQtsXjEaZl"" (2290) | #2 ""池田 @ 9zseyWfctH"" (2980) | #3 ""Ene @ 7kPHYByVxS"" (2519) | #5 ""-TOMO- @ -zWKG5L3i7"" (2995) | #7 ""GIL RAIM @ Oo-rx1G24B"" (4141) | #8 ""ノガード @ WtIP2AbI23"" (2540) | #10 ""ぼくだよ @ EN9N_Z9A78"" (2411)",2025-12-15T13:59:45.576Z,176580718557601
"-- starting hand #173 (id: y5slq2cjdb8t)  (No Limit Texas Hold'em) (dealer: ""るも @ zQtsXjEaZl"") --",2025-12-15T13:59:45.576Z,176580718557600
"""-TOMO- @ -zWKG5L3i7"" shows a Q♥, J♥.",2025-12-15T13:59:44.247Z,176580718424700
