player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Utos",g0yui9LXM4,2025-12-15T13:47:37.149Z,2025-12-15T14:03:31.647Z,2400,1532,0,-868
"たか＆とし",7YqlM-T6_C,2025-12-15T13:31:03.507Z,,3000,,3102,102
"たか＆とし",7YqlM-T6_C,2025-12-15T13:21:54.616Z,2025-12-15T13:26:54.905Z,3000,2970,0,-30
"わた",tsb_cnTeqj,2025-12-15T12:47:40.813Z,,3000,3801,2905,3706
"わた",tsb_cnTeqj,2025-12-15T12:37:41.745Z,2025-12-15T12:47:25.278Z,3000,0,0,-3000
"粗茶",GtqOGZOqIV,2025-12-15T12:19:34.608Z,,2000,2190,2397,2587
"Hibari",gG60J3OV2j,2025-12-15T12:16:14.185Z,2025-12-15T14:03:31.638Z,3000,8283,0,5283
"LostLamb",nZVZhqDbpq,2025-12-15T12:06:18.297Z,2025-12-15T12:56:34.699Z,2000,0,0,-2000
"わた",tsb_cnTeqj,2025-12-15T12:04:14.040Z,2025-12-15T12:35:07.947Z,3000,399,0,-2601
"池田",9zseyWfctH,2025-12-15T12:00:30.652Z,2025-12-15T12:11:46.013Z,2000,2000,0,0
"カイン",QK8nAFN9E2,2025-12-15T11:39:29.790Z,2025-12-15T12:11:00.835Z,2500,2551,0,51
"とーち",OCY4-ehNwS,2025-12-15T11:24:29.028Z,,7746,,2363,-5383
"TP",NEEYDnny4C,2025-12-15T11:24:29.025Z,2025-12-15T12:07:45.974Z,3690,2060,0,-1630
"ノガード",WtIP2AbI23,2025-12-15T11:22:00.360Z,2025-12-15T11:24:29.023Z,2500,2500,0,0
"konasho",f_d8ebrXPg,2025-12-15T11:22:00.355Z,,2000,,2511,511
"MAX",7htETinMJU,2025-12-15T11:22:00.352Z,2025-12-15T14:03:50.779Z,2660,4362,0,1702
"ばどえあー",yIVa1pKt3y,2025-12-15T11:22:00.357Z,2025-12-15T13:11:09.032Z,2545,4115,0,1570
"ノガード",WtIP2AbI23,,2025-12-15T11:04:55.693Z,2500,2500,0,0
