entry,at,order
"The player ""MAX @ 7htETinMJU"" quits the game with a stack of 4362.",2025-12-15T14:03:50.775Z,176580743077500
"The player ""Utos @ g0yui9LXM4"" quits the game with a stack of 1532.",2025-12-15T14:03:31.634Z,176580741163401
"The player ""Hibari @ gG60J3OV2j"" quits the game with a stack of 2448.",2025-12-15T14:03:31.634Z,176580741163400
"-- ending hand #167 --",2025-12-15T14:03:28.714Z,176580740871402
"""わた @ tsb_cnTeqj"" collected 20 from pot",2025-12-15T14:03:28.714Z,176580740871401
"Uncalled bet of 10 returned to ""わた @ tsb_cnTeqj""",2025-12-15T14:03:28.714Z,176580740871400
"""粗茶 @ GtqOGZOqIV"" folds",2025-12-15T14:03:27.890Z,176580740789000
"""Utos @ g0yui9LXM4"" folds",2025-12-15T14:03:26.850Z,176580740685000
"""とーち @ OCY4-ehNwS"" folds",2025-12-15T14:03:25.750Z,176580740575000
"The admin ""とーち @ OCY4-ehNwS"" enqueued the game stop on next hand.",2025-12-15T14:03:23.630Z,176580740363000
"""たか＆とし @ 7YqlM-T6_C"" folds",2025-12-15T14:03:14.070Z,176580739407000
"""konasho @ f_d8ebrXPg"" folds",2025-12-15T14:03:12.447Z,176580739244700
"""MAX @ 7htETinMJU"" folds",2025-12-15T14:03:11.282Z,176580739128200
"""Hibari @ gG60J3OV2j"" folds",2025-12-15T14:03:09.650Z,176580738965000
"""わた @ tsb_cnTeqj"" posts a big blind of 20",2025-12-15T14:03:07.810Z,176580738781011
"""粗茶 @ GtqOGZOqIV"" posts a small blind of 10",2025-12-15T14:03:07.810Z,176580738781010
"Player stacks: #1 ""わた @ tsb_cnTeqj"" (2895) | #2 ""Hibari @ gG60J3OV2j"" (2448) | #3 ""MAX @ 7htETinMJU"" (4362) | #4 ""konasho @ f_d8ebrXPg"" (2511) | #5 ""たか＆とし @ 7YqlM-T6_C"" (3102) | #7 ""とーち @ OCY4-ehNwS"" (2363) | #9 ""Utos @ g0yui9LXM4"" (1532) | #10 ""粗茶 @ GtqOGZOqIV"" (2407)",2025-12-15T14:03:07.810Z,176580738781001
"-- starting hand #167 (id: 8munwnwngd6m)  (No Limit Texas Hold'em) (dealer: ""Utos @ g0yui9LXM4"") --",2025-12-15T14:03:07.810Z,176580738781000
"-- ending hand #166 --",2025-12-15T14:03:04.879Z,176580738487902
"""MAX @ 7htETinMJU"" collected 1649 from pot",2025-12-15T14:03:04.879Z,176580738487901
"Uncalled bet of 480 returned to ""MAX @ 7htETinMJU""",2025-12-15T14:03:04.879Z,176580738487900
"""Utos @ g0yui9LXM4"" folds",2025-12-15T14:03:04.029Z,176580738402900
