player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"tanishi",K39Tra2qGg,2025-12-22T13:47:58.631Z,2025-12-22T14:02:12.757Z,2180,2000,0,-180
"わた",tsb_cnTeqj,2025-12-22T12:50:41.665Z,2025-12-22T12:56:48.815Z,3000,3087,0,87
"Ene",7kPHYByVxS,2025-12-22T12:26:22.399Z,,3000,1089,2671,760
"粗茶",GtqOGZOqIV,2025-12-22T12:16:06.764Z,,2882,,2260,-622
"Hiiro",Nb7FKJQWoe,2025-12-22T11:50:31.428Z,,3000,1940,3091,2031
"hanzo",j2dIJuodA7,2025-12-22T11:39:34.832Z,,2500,4665,2428,4593
"hanzo",j2dIJuodA7,2025-12-22T11:20:32.836Z,2025-12-22T11:37:50.062Z,2500,0,0,-2500
"-TOMO-",-zWKG5L3i7,2025-12-22T11:20:32.834Z,2025-12-22T12:13:14.290Z,2982,1970,0,-1012
"Sabosuke",wD8GUuEYva,2025-12-22T11:20:32.831Z,2025-12-22T12:13:37.773Z,2500,2080,0,-420
"utos",g0yui9LXM4,2025-12-22T11:09:59.998Z,2025-12-22T13:31:32.021Z,2400,3557,0,1157
"GIL RAIM",Oo-rx1G24B,2025-12-22T11:07:00.421Z,2025-12-22T12:13:14.288Z,4127,0,0,-4127
"MAX",7htETinMJU,2025-12-22T11:07:00.419Z,2025-12-22T11:28:02.960Z,2500,2450,0,-50
"わた",tsb_cnTeqj,2025-12-22T11:03:46.362Z,2025-12-22T12:50:19.211Z,4376,5000,0,624
"konasho",f_d8ebrXPg,2025-12-22T11:03:21.156Z,2025-12-22T11:28:02.946Z,2290,1970,0,-320
"Ene",7kPHYByVxS,2025-12-22T11:01:08.282Z,2025-12-22T11:28:02.927Z,3000,2943,0,-57
"ノガード",WtIP2AbI23,2025-12-22T11:01:08.278Z,,3402,,3438,36
