entry,at,order
"The player ""tanishi @ K39Tra2qGg"" quits the game with a stack of 2000.",2025-12-22T14:02:12.755Z,176641213275500
"-- ending hand #197 --",2025-12-22T14:01:39.324Z,176641209932402
"""Ene @ 7kPHYByVxS"" collected 246 from pot with Straight, 9 High (combination: 9♥, 8♠, 7♠, 6♠, 5♠)",2025-12-22T14:01:39.324Z,176641209932401
"""Ene @ 7kPHYByVxS"" shows a 5♠, 6♠.",2025-12-22T14:01:39.324Z,176641209932400
"""hanzo @ j2dIJuodA7"" calls 40",2025-12-22T14:01:38.502Z,176641209850200
"""Ene @ 7kPHYByVxS"" bets 40",2025-12-22T14:01:26.747Z,176641208674700
"""hanzo @ j2dIJuodA7"" checks",2025-12-22T14:01:20.094Z,176641208009400
"River: 6♦, 8♠, 9♥, 7♠ [9♣]",2025-12-22T14:01:17.051Z,176641207705100
"""hanzo @ j2dIJuodA7"" calls 38",2025-12-22T14:01:16.182Z,176641207618200
"""Ene @ 7kPHYByVxS"" bets 38",2025-12-22T14:01:07.444Z,176641206744400
"""hanzo @ j2dIJuodA7"" checks",2025-12-22T14:00:54.735Z,176641205473500
"Turn: 6♦, 8♠, 9♥ [7♠]",2025-12-22T14:00:39.422Z,176641203942200
"""Ene @ 7kPHYByVxS"" checks",2025-12-22T14:00:38.591Z,176641203859100
"""hanzo @ j2dIJuodA7"" checks",2025-12-22T14:00:36.917Z,176641203691700
"Flop:  [6♦, 8♠, 9♥]",2025-12-22T14:00:31.664Z,176641203166400
"""hanzo @ j2dIJuodA7"" calls 40",2025-12-22T14:00:30.855Z,176641203085500
"""ノガード @ WtIP2AbI23"" folds",2025-12-22T14:00:25.527Z,176641202552700
"The admin ""ノガード @ WtIP2AbI23"" enqueued the game stop on next hand.",2025-12-22T14:00:19.948Z,176641201994800
"""Hiiro @ Nb7FKJQWoe"" folds",2025-12-22T14:00:19.199Z,176641201919900
"""粗茶 @ GtqOGZOqIV"" folds",2025-12-22T14:00:18.121Z,176641201812100
"""tanishi @ K39Tra2qGg"" folds",2025-12-22T14:00:17.079Z,176641201707900
"""Ene @ 7kPHYByVxS"" raises to 40",2025-12-22T14:00:14.531Z,176641201453100
"""hanzo @ j2dIJuodA7"" posts a big blind of 20",2025-12-22T14:00:09.854Z,176641200985409
"""ノガード @ WtIP2AbI23"" posts a small blind of 10",2025-12-22T14:00:09.854Z,176641200985408
"Player stacks: #1 ""ノガード @ WtIP2AbI23"" (3448) | #2 ""hanzo @ j2dIJuodA7"" (2546) | #3 ""Ene @ 7kPHYByVxS"" (2543) | #4 ""tanishi @ K39Tra2qGg"" (2000) | #9 ""粗茶 @ GtqOGZOqIV"" (2260) | #10 ""Hiiro @ Nb7FKJQWoe"" (3091)",2025-12-22T14:00:09.854Z,176641200985401
"-- starting hand #197 (id: 2qz3zeekuixd)  (No Limit Texas Hold'em) (dealer: ""Hiiro @ Nb7FKJQWoe"") --",2025-12-22T14:00:09.854Z,176641200985400
"-- ending hand #196 --",2025-12-22T14:00:06.930Z,176641200693002
"""hanzo @ j2dIJuodA7"" collected 90 from pot",2025-12-22T14:00:06.930Z,176641200693001
"Uncalled bet of 60 returned to ""hanzo @ j2dIJuodA7""",2025-12-22T14:00:06.930Z,176641200693000
"""ノガード @ WtIP2AbI23"" folds",2025-12-22T14:00:06.082Z,176641200608200
"""hanzo @ j2dIJuodA7"" bets 60",2025-12-22T13:59:59.990Z,176641199999000
"""ノガード @ WtIP2AbI23"" checks",2025-12-22T13:59:27.027Z,176641196702700
"River: 7♣, 2♥, 5♣, 5♠ [K♥]",2025-12-22T13:59:21.221Z,176641196122100
"""hanzo @ j2dIJuodA7"" checks",2025-12-22T13:59:20.406Z,176641196040600
"""ノガード @ WtIP2AbI23"" checks",2025-12-22T13:59:12.375Z,176641195237500
"Turn: 7♣, 2♥, 5♣ [5♠]",2025-12-22T13:59:02.188Z,176641194218800
"""hanzo @ j2dIJuodA7"" checks",2025-12-22T13:59:01.369Z,176641194136900
"""ノガード @ WtIP2AbI23"" checks",2025-12-22T13:58:53.109Z,176641193310900
"Flop:  [7♣, 2♥, 5♣]",2025-12-22T13:58:50.367Z,176641193036700
"""ノガード @ WtIP2AbI23"" calls 40",2025-12-22T13:58:49.565Z,176641192956500
"""Hiiro @ Nb7FKJQWoe"" folds",2025-12-22T13:58:46.454Z,176641192645400
"""粗茶 @ GtqOGZOqIV"" folds",2025-12-22T13:58:40.123Z,176641192012300
"""tanishi @ K39Tra2qGg"" folds",2025-12-22T13:58:39.096Z,176641191909600
"""Ene @ 7kPHYByVxS"" folds",2025-12-22T13:58:36.145Z,176641191614500
"""hanzo @ j2dIJuodA7"" raises to 40",2025-12-22T13:58:34.471Z,176641191447100
"""ノガード @ WtIP2AbI23"" posts a big blind of 20",2025-12-22T13:58:31.559Z,176641191155909
"""Hiiro @ Nb7FKJQWoe"" posts a small blind of 10",2025-12-22T13:58:31.559Z,176641191155908
"Player stacks: #1 ""ノガード @ WtIP2AbI23"" (3488) | #2 ""hanzo @ j2dIJuodA7"" (2496) | #3 ""Ene @ 7kPHYByVxS"" (2543) | #4 ""tanishi @ K39Tra2qGg"" (2000) | #9 ""粗茶 @ GtqOGZOqIV"" (2260) | #10 ""Hiiro @ Nb7FKJQWoe"" (3101)",2025-12-22T13:58:31.559Z,176641191155901
"-- starting hand #196 (id: nrlqxuks50ka)  (No Limit Texas Hold'em) (dealer: ""粗茶 @ GtqOGZOqIV"") --",2025-12-22T13:58:31.559Z,176641191155900
"-- ending hand #195 --",2025-12-22T13:58:28.641Z,176641190864102
"""hanzo @ j2dIJuodA7"" collected 390 from pot",2025-12-22T13:58:28.641Z,176641190864101
"Uncalled bet of 300 returned to ""hanzo @ j2dIJuodA7""",2025-12-22T13:58:28.641Z,176641190864100
"""Ene @ 7kPHYByVxS"" folds",2025-12-22T13:58:27.833Z,176641190783300
"""hanzo @ j2dIJuodA7"" bets 300",2025-12-22T13:58:17.814Z,176641189781400
"River: 5♥, A♥, 2♣, 2♠ [J♠]",2025-12-22T13:57:20.928Z,176641184092800
"""Ene @ 7kPHYByVxS"" checks",2025-12-22T13:57:20.092Z,176641184009200
"""hanzo @ j2dIJuodA7"" checks",2025-12-22T13:57:08.638Z,176641182863800
"Turn: 5♥, A♥, 2♣ [2♠]",2025-12-22T13:56:54.354Z,176641181435400
"""Ene @ 7kPHYByVxS"" calls 140",2025-12-22T13:56:53.542Z,176641181354200
"""hanzo @ j2dIJuodA7"" raises to 140",2025-12-22T13:56:46.772Z,176641180677200
"""Ene @ 7kPHYByVxS"" bets 35",2025-12-22T13:56:13.431Z,176641177343100
"""hanzo @ j2dIJuodA7"" checks",2025-12-22T13:55:57.988Z,176641175798800
