player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Hibari",gG60J3OV2j,2025-12-22T12:36:51.827Z,,3000,,2549,-451
"たか＆とし",8VMvBRQFHc,2025-12-22T12:19:12.143Z,,2500,,2745,245
"MAX",7htETinMJU,2025-12-22T12:15:18.327Z,2025-12-22T14:02:32.757Z,2500,2501,0,1
"waho",Oc04ITRF7i,2025-12-22T12:01:55.256Z,2025-12-22T12:13:56.021Z,3000,3110,0,110
"Hiiro",Nb7FKJQWoe,2025-12-22T11:43:45.037Z,,3624,,1940,-1684
"るも",zQtsXjEaZl,2025-12-22T11:39:51.547Z,2025-12-22T12:07:19.285Z,2200,2300,0,100
"utos",g0yui9LXM4,2025-12-22T11:34:17.064Z,2025-12-22T13:31:42.557Z,2400,3344,0,944
"イナズマKすけ",sGHGkt_acB,2025-12-22T11:32:06.287Z,2025-12-22T12:17:43.427Z,2500,2583,0,83
"arash!",lSXafQ4XJ9,2025-12-22T11:29:54.285Z,2025-12-22T12:14:39.078Z,3000,2633,0,-367
"MAX",7htETinMJU,2025-12-22T11:29:54.293Z,2025-12-22T12:12:35.626Z,2470,2913,0,443
"Ene",7kPHYByVxS,2025-12-22T11:29:54.288Z,,3000,,3367,367
"konasho",f_d8ebrXPg,2025-12-22T11:29:54.290Z,,4000,1327,2882,209
