entry,at,order
"The player ""MAX @ 7htETinMJU"" quits the game with a stack of 2501.",2025-12-22T14:02:32.753Z,176641215275300
"-- ending hand #157 --",2025-12-22T14:02:17.943Z,176641213794304
"""MAX @ 7htETinMJU"" collected 80 from pot with A High (combination: A♣, Q♠, J♠, 10♦, 8♦)",2025-12-22T14:02:17.943Z,176641213794303
"""konasho @ f_d8ebrXPg"" collected 80 from pot with A High (combination: A♥, Q♠, J♠, 10♦, 8♦)",2025-12-22T14:02:17.943Z,176641213794302
"""MAX @ 7htETinMJU"" shows a A♣, 6♠.",2025-12-22T14:02:17.943Z,176641213794301
"""konasho @ f_d8ebrXPg"" shows a 5♦, A♥.",2025-12-22T14:02:17.943Z,176641213794300
"""MAX @ 7htETinMJU"" calls 20",2025-12-22T14:02:17.115Z,176641213711500
"""konasho @ f_d8ebrXPg"" bets 20",2025-12-22T14:01:28.034Z,176641208803400
"River: Q♠, 8♦, J♠, 10♦ [3♣]",2025-12-22T14:01:17.649Z,176641207764900
"""MAX @ 7htETinMJU"" checks",2025-12-22T14:01:16.754Z,176641207675400
"""konasho @ f_d8ebrXPg"" checks",2025-12-22T14:00:38.724Z,176641203872400
"Turn: Q♠, 8♦, J♠ [10♦]",2025-12-22T14:00:23.208Z,176641202320800
"""MAX @ 7htETinMJU"" checks",2025-12-22T14:00:22.327Z,176641202232700
"The admin ""konasho @ f_d8ebrXPg"" enqueued the game stop on next hand.",2025-12-22T14:00:21.066Z,176641202106600
"""konasho @ f_d8ebrXPg"" checks",2025-12-22T14:00:08.018Z,176641200801800
"Flop:  [Q♠, 8♦, J♠]",2025-12-22T13:59:58.365Z,176641199836500
"""MAX @ 7htETinMJU"" calls 60",2025-12-22T13:59:57.559Z,176641199755900
"""konasho @ f_d8ebrXPg"" raises to 60",2025-12-22T13:59:35.294Z,176641197529400
"""Ene @ 7kPHYByVxS"" folds",2025-12-22T13:59:25.966Z,176641196596600
"""たか＆とし @ 8VMvBRQFHc"" folds",2025-12-22T13:59:24.953Z,176641196495300
"""Hibari @ gG60J3OV2j"" folds",2025-12-22T13:59:15.885Z,176641195588500
"""Hiiro @ Nb7FKJQWoe"" folds",2025-12-22T13:59:14.816Z,176641195481600
"""MAX @ 7htETinMJU"" posts a big blind of 20",2025-12-22T13:59:13.354Z,176641195335409
"""konasho @ f_d8ebrXPg"" posts a small blind of 10",2025-12-22T13:59:13.354Z,176641195335408
"Player stacks: #3 ""たか＆とし @ 8VMvBRQFHc"" (2745) | #4 ""Ene @ 7kPHYByVxS"" (3367) | #5 ""konasho @ f_d8ebrXPg"" (2882) | #7 ""MAX @ 7htETinMJU"" (2501) | #9 ""Hiiro @ Nb7FKJQWoe"" (1940) | #10 ""Hibari @ gG60J3OV2j"" (2549)",2025-12-22T13:59:13.354Z,176641195335401
"-- starting hand #157 (id: kjdwbr5rnh4c)  (No Limit Texas Hold'em) (dealer: ""Ene @ 7kPHYByVxS"") --",2025-12-22T13:59:13.354Z,176641195335400
"""たか＆とし @ 8VMvBRQFHc"" shows a K♠.",2025-12-22T13:59:10.825Z,176641195082500
"""konasho @ f_d8ebrXPg"" shows a 5♥, A♥.",2025-12-22T13:59:10.310Z,176641195031000
"""たか＆とし @ 8VMvBRQFHc"" shows a J♥.",2025-12-22T13:59:10.211Z,176641195021100
"-- ending hand #156 --",2025-12-22T13:59:09.017Z,176641194901702
"""konasho @ f_d8ebrXPg"" collected 120 from pot",2025-12-22T13:59:09.017Z,176641194901701
"Uncalled bet of 195 returned to ""konasho @ f_d8ebrXPg""",2025-12-22T13:59:09.017Z,176641194901700
"""たか＆とし @ 8VMvBRQFHc"" folds",2025-12-22T13:59:08.198Z,176641194819800
"""konasho @ f_d8ebrXPg"" raises to 250",2025-12-22T13:58:24.846Z,176641190484600
"""Ene @ 7kPHYByVxS"" folds",2025-12-22T13:58:16.900Z,176641189690000
"""たか＆とし @ 8VMvBRQFHc"" raises to 55",2025-12-22T13:58:15.834Z,176641189583400
"""Hibari @ gG60J3OV2j"" folds",2025-12-22T13:58:09.119Z,176641188911900
"""Hiiro @ Nb7FKJQWoe"" folds",2025-12-22T13:58:07.914Z,176641188791400
"""MAX @ 7htETinMJU"" folds",2025-12-22T13:58:06.911Z,176641188691100
"""konasho @ f_d8ebrXPg"" posts a big blind of 20",2025-12-22T13:58:05.228Z,176641188522809
"""Ene @ 7kPHYByVxS"" posts a small blind of 10",2025-12-22T13:58:05.228Z,176641188522808
"Player stacks: #3 ""たか＆とし @ 8VMvBRQFHc"" (2800) | #4 ""Ene @ 7kPHYByVxS"" (3377) | #5 ""konasho @ f_d8ebrXPg"" (2817) | #7 ""MAX @ 7htETinMJU"" (2501) | #9 ""Hiiro @ Nb7FKJQWoe"" (1940) | #10 ""Hibari @ gG60J3OV2j"" (2549)",2025-12-22T13:58:05.228Z,176641188522801
"-- starting hand #156 (id: cg0tm7cc2tho)  (No Limit Texas Hold'em) (dealer: ""たか＆とし @ 8VMvBRQFHc"") --",2025-12-22T13:58:05.228Z,176641188522800
