player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"hi!",F4_m-ucyaY,2025-12-22T12:54:08.869Z,2025-12-22T13:29:13.308Z,2500,1550,0,-950
"とーち",OCY4-ehNwS,2025-12-22T12:47:50.502Z,,2500,,3600,1100
"かいる",nPiUhQEVMi,2025-12-22T12:41:59.280Z,2025-12-22T12:46:27.601Z,2000,0,0,-2000
"Hibari",gG60J3OV2j,2025-12-22T12:41:59.276Z,,3000,,2258,-742
"MAX",7htETinMJU,2025-12-22T12:24:55.218Z,2025-12-22T12:36:38.570Z,2500,2650,0,150
"たか＆とし",8VMvBRQFHc,2025-12-22T12:16:56.966Z,2025-12-22T12:19:55.032Z,3000,3000,0,0
"arash!",lSXafQ4XJ9,2025-12-22T12:16:28.026Z,2025-12-22T12:46:27.606Z,3000,2420,0,-580
"Sabosuke",wD8GUuEYva,2025-12-22T12:14:08.468Z,2025-12-22T12:41:59.272Z,2500,2485,0,-15
"waho",Oc04ITRF7i,2025-12-22T12:14:08.479Z,2025-12-22T14:00:28.720Z,3000,7295,0,4295
"MAX",7htETinMJU,2025-12-22T12:14:08.475Z,2025-12-22T12:22:44.778Z,2800,0,0,-2800
"-TOMO-",-zWKG5L3i7,2025-12-22T12:14:08.477Z,,3867,,2960,-907
"粗茶",GtqOGZOqIV,2025-12-22T12:14:08.472Z,,2000,,2046,46
"Hiiro",Nb7FKJQWoe,2025-12-22T12:14:08.465Z,,3000,2472,2931,2403
