entry,at,order
"""-TOMO- @ -zWKG5L3i7"" folds",2025-12-22T14:05:33.036Z,176641233303600
"The admin ""Hiiro @ Nb7FKJQWoe"" enqueued the game stop on next hand.",2025-12-22T14:00:59.412Z,176641205941200
"The admin ""Hiiro @ Nb7FKJQWoe"" canceled the game stop on next hand.",2025-12-22T14:00:56.988Z,176641205698800
"The admin ""Hiiro @ Nb7FKJQWoe"" enqueued the game stop on next hand.",2025-12-22T14:00:35.340Z,176641203534000
"""Hibari @ gG60J3OV2j"" posts a big blind of 20",2025-12-22T14:00:28.715Z,176641202871509
"""粗茶 @ GtqOGZOqIV"" posts a small blind of 10",2025-12-22T14:00:28.715Z,176641202871508
"Player stacks: #1 ""Hiiro @ Nb7FKJQWoe"" (2931) | #2 ""とーち @ OCY4-ehNwS"" (3600) | #4 ""粗茶 @ GtqOGZOqIV"" (2046) | #6 ""Hibari @ gG60J3OV2j"" (2258) | #8 ""-TOMO- @ -zWKG5L3i7"" (2960)",2025-12-22T14:00:28.715Z,176641202871502
"-- starting hand #103 (id: 1beumqgphwcp)  (No Limit Texas Hold'em) (dealer: ""とーち @ OCY4-ehNwS"") --",2025-12-22T14:00:28.715Z,176641202871501
"The player ""waho @ Oc04ITRF7i"" quits the game with a stack of 3475.",2025-12-22T14:00:28.715Z,176641202871500
"""Hiiro @ Nb7FKJQWoe"" shows a K♣, K♠.",2025-12-22T14:00:25.966Z,176641202596600
"-- ending hand #102 --",2025-12-22T14:00:25.106Z,176641202510602
"""粗茶 @ GtqOGZOqIV"" collected 250 from pot",2025-12-22T14:00:25.106Z,176641202510601
"Uncalled bet of 400 returned to ""粗茶 @ GtqOGZOqIV""",2025-12-22T14:00:25.106Z,176641202510600
"""Hiiro @ Nb7FKJQWoe"" folds",2025-12-22T14:00:24.289Z,176641202428900
"""粗茶 @ GtqOGZOqIV"" raises to 470",2025-12-22T13:59:18.611Z,176641195861100
"""Hiiro @ Nb7FKJQWoe"" bets 70",2025-12-22T13:58:17.285Z,176641189728500
"""粗茶 @ GtqOGZOqIV"" checks",2025-12-22T13:58:01.813Z,176641188181300
"Turn: 9♠, 10♥, 7♣ [4♣]",2025-12-22T13:57:48.675Z,176641186867500
"""Hiiro @ Nb7FKJQWoe"" checks",2025-12-22T13:57:47.843Z,176641186784300
"""粗茶 @ GtqOGZOqIV"" checks",2025-12-22T13:57:42.701Z,176641186270100
"Flop:  [9♠, 10♥, 7♣]",2025-12-22T13:57:36.234Z,176641185623400
"""粗茶 @ GtqOGZOqIV"" calls 50",2025-12-22T13:57:35.398Z,176641185539800
"""とーち @ OCY4-ehNwS"" folds",2025-12-22T13:57:33.151Z,176641185315100
"""Hiiro @ Nb7FKJQWoe"" raises to 50",2025-12-22T13:57:32.101Z,176641185210100
"""waho @ Oc04ITRF7i"" folds",2025-12-22T13:57:24.927Z,176641184492700
"""-TOMO- @ -zWKG5L3i7"" folds",2025-12-22T13:57:23.680Z,176641184368000
"""Hibari @ gG60J3OV2j"" folds",2025-12-22T13:57:22.606Z,176641184260600
"""粗茶 @ GtqOGZOqIV"" posts a big blind of 20",2025-12-22T13:57:20.927Z,176641184092709
"""とーち @ OCY4-ehNwS"" posts a small blind of 10",2025-12-22T13:57:20.927Z,176641184092708
"Player stacks: #1 ""Hiiro @ Nb7FKJQWoe"" (3051) | #2 ""とーち @ OCY4-ehNwS"" (3610) | #4 ""粗茶 @ GtqOGZOqIV"" (1916) | #6 ""Hibari @ gG60J3OV2j"" (2258) | #8 ""-TOMO- @ -zWKG5L3i7"" (2960) | #10 ""waho @ Oc04ITRF7i"" (3475)",2025-12-22T13:57:20.927Z,176641184092701
"-- starting hand #102 (id: uf31etswpnbm)  (No Limit Texas Hold'em) (dealer: ""Hiiro @ Nb7FKJQWoe"") --",2025-12-22T13:57:20.927Z,176641184092700
"-- ending hand #101 --",2025-12-22T13:57:17.953Z,176641183795302
"""とーち @ OCY4-ehNwS"" collected 240 from pot",2025-12-22T13:57:17.953Z,176641183795301
"Uncalled bet of 240 returned to ""とーち @ OCY4-ehNwS""",2025-12-22T13:57:17.953Z,176641183795300
"""粗茶 @ GtqOGZOqIV"" folds",2025-12-22T13:57:17.140Z,176641183714000
"""とーち @ OCY4-ehNwS"" bets 240",2025-12-22T13:56:27.938Z,176641178793800
"River: 9♠, 5♦, K♦, 6♠ [6♦]",2025-12-22T13:55:45.555Z,176641174555500
"""粗茶 @ GtqOGZOqIV"" checks",2025-12-22T13:55:44.708Z,176641174470800
"""とーち @ OCY4-ehNwS"" checks",2025-12-22T13:55:23.225Z,176641172322500
"Turn: 9♠, 5♦, K♦ [6♠]",2025-12-22T13:54:39.051Z,176641167905100
"""粗茶 @ GtqOGZOqIV"" calls 75",2025-12-22T13:54:38.219Z,176641167821900
"""とーち @ OCY4-ehNwS"" raises to 75",2025-12-22T13:52:53.684Z,176641157368400
"""粗茶 @ GtqOGZOqIV"" bets 30",2025-12-22T13:52:21.195Z,176641154119500
"""とーち @ OCY4-ehNwS"" checks",2025-12-22T13:51:55.674Z,176641151567400
"Flop:  [9♠, 5♦, K♦]",2025-12-22T13:51:53.579Z,176641151357900
"""とーち @ OCY4-ehNwS"" calls 40",2025-12-22T13:51:52.764Z,176641151276400
"""Hiiro @ Nb7FKJQWoe"" folds",2025-12-22T13:51:47.626Z,176641150762600
"""waho @ Oc04ITRF7i"" folds",2025-12-22T13:51:46.613Z,176641150661300
"""-TOMO- @ -zWKG5L3i7"" folds",2025-12-22T13:51:42.837Z,176641150283700
"""Hibari @ gG60J3OV2j"" folds",2025-12-22T13:51:26.882Z,176641148688200
"""粗茶 @ GtqOGZOqIV"" raises to 40",2025-12-22T13:51:25.706Z,176641148570600
"""とーち @ OCY4-ehNwS"" posts a big blind of 20",2025-12-22T13:51:22.554Z,176641148255409
"""Hiiro @ Nb7FKJQWoe"" posts a small blind of 10",2025-12-22T13:51:22.554Z,176641148255408
"Player stacks: #1 ""Hiiro @ Nb7FKJQWoe"" (3061) | #2 ""とーち @ OCY4-ehNwS"" (3485) | #4 ""粗茶 @ GtqOGZOqIV"" (2031) | #6 ""Hibari @ gG60J3OV2j"" (2258) | #8 ""-TOMO- @ -zWKG5L3i7"" (2960) | #10 ""waho @ Oc04ITRF7i"" (3475)",2025-12-22T13:51:22.554Z,176641148255401
"-- starting hand #101 (id: gusfdirt2zfy)  (No Limit Texas Hold'em) (dealer: ""waho @ Oc04ITRF7i"") --",2025-12-22T13:51:22.554Z,176641148255400
"-- ending hand #100 --",2025-12-22T13:51:19.592Z,176641147959202
"""waho @ Oc04ITRF7i"" collected 40 from pot",2025-12-22T13:51:19.592Z,176641147959201
"Uncalled bet of 40 returned to ""waho @ Oc04ITRF7i""",2025-12-22T13:51:19.592Z,176641147959200
"""Hiiro @ Nb7FKJQWoe"" folds",2025-12-22T13:51:18.789Z,176641147878900
"""waho @ Oc04ITRF7i"" raises to 60",2025-12-22T13:51:11.210Z,176641147121000
"""-TOMO- @ -zWKG5L3i7"" folds",2025-12-22T13:51:05.158Z,176641146515800
"""Hibari @ gG60J3OV2j"" folds",2025-12-22T13:51:04.069Z,176641146406900
"""粗茶 @ GtqOGZOqIV"" folds",2025-12-22T13:51:03.046Z,176641146304600
"""とーち @ OCY4-ehNwS"" folds",2025-12-22T13:51:01.267Z,176641146126700
"""Hiiro @ Nb7FKJQWoe"" posts a big blind of 20",2025-12-22T13:50:59.277Z,176641145927709
"""waho @ Oc04ITRF7i"" posts a small blind of 10",2025-12-22T13:50:59.277Z,176641145927708
"Player stacks: #1 ""Hiiro @ Nb7FKJQWoe"" (3081) | #2 ""とーち @ OCY4-ehNwS"" (3485) | #4 ""粗茶 @ GtqOGZOqIV"" (2031) | #6 ""Hibari @ gG60J3OV2j"" (2258) | #8 ""-TOMO- @ -zWKG5L3i7"" (2960) | #10 ""waho @ Oc04ITRF7i"" (3455)",2025-12-22T13:50:59.277Z,176641145927701
"-- starting hand #100 (id: zhnmge8fc1k8)  (No Limit Texas Hold'em) (dealer: ""-TOMO- @ -zWKG5L3i7"") --",2025-12-22T13:50:59.277Z,176641145927700
"-- ending hand #99 --",2025-12-22T13:50:56.356Z,176641145635602
"""Hibari @ gG60J3OV2j"" collected 50 from pot",2025-12-22T13:50:56.356Z,176641145635601
"Uncalled bet of 30 returned to ""Hibari @ gG60J3OV2j""",2025-12-22T13:50:56.356Z,176641145635600
"""waho @ Oc04ITRF7i"" folds",2025-12-22T13:50:55.486Z,176641145548600
"""-TOMO- @ -zWKG5L3i7"" folds",2025-12-22T13:50:54.465Z,176641145446500
"""Hibari @ gG60J3OV2j"" raises to 50",2025-12-22T13:50:52.987Z,176641145298700
"""粗茶 @ GtqOGZOqIV"" folds",2025-12-22T13:50:48.150Z,176641144815000
"""とーち @ OCY4-ehNwS"" folds",2025-12-22T13:50:47.089Z,176641144708900
"""Hiiro @ Nb7FKJQWoe"" folds",2025-12-22T13:50:42.668Z,176641144266800
"""waho @ Oc04ITRF7i"" posts a big blind of 20",2025-12-22T13:50:40.567Z,176641144056709
"""-TOMO- @ -zWKG5L3i7"" posts a small blind of 10",2025-12-22T13:50:40.567Z,176641144056708
"Player stacks: #1 ""Hiiro @ Nb7FKJQWoe"" (3081) | #2 ""とーち @ OCY4-ehNwS"" (3485) | #4 ""粗茶 @ GtqOGZOqIV"" (2031) | #6 ""Hibari @ gG60J3OV2j"" (2228) | #8 ""-TOMO- @ -zWKG5L3i7"" (2970) | #10 ""waho @ Oc04ITRF7i"" (3475)",2025-12-22T13:50:40.567Z,176641144056701
"-- starting hand #99 (id: lcyuewdxfj8l)  (No Limit Texas Hold'em) (dealer: ""Hibari @ gG60J3OV2j"") --",2025-12-22T13:50:40.567Z,176641144056700
"-- ending hand #98 --",2025-12-22T13:50:37.644Z,176641143764402
"""waho @ Oc04ITRF7i"" collected 50 from pot",2025-12-22T13:50:37.644Z,176641143764401
"Uncalled bet of 30 returned to ""waho @ Oc04ITRF7i""",2025-12-22T13:50:37.644Z,176641143764400
