player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"粗茶",oH7etbSi_s,2025-12-29T13:50:06.996Z,,2000,,1810,-190
"sigma",yHZrsG6l5j,2025-12-29T13:35:59.157Z,2025-12-29T14:00:36.757Z,2500,2310,0,-190
"りく",zz83sIdu2k,2025-12-29T12:52:43.573Z,2025-12-29T13:10:14.619Z,2000,2275,0,275
"Sabosuke",wD8GUuEYva,2025-12-29T12:40:10.350Z,2025-12-29T13:48:34.119Z,2500,2270,0,-230
"Hibari",gG60J3OV2j,2025-12-29T12:29:26.152Z,,3000,,3250,250
"Doc",rNZKJiwrNl,2025-12-29T11:53:08.113Z,2025-12-29T12:00:36.962Z,2500,2500,0,0
"utos",g0yui9LXM4,2025-12-29T11:39:27.761Z,,2400,1873,2930,2403
"iori tobeta",C5nTYVaeTv,2025-12-29T11:35:54.387Z,2025-12-29T14:05:53.607Z,2280,1920,0,-360
"粗茶",oH7etbSi_s,2025-12-29T11:08:53.384Z,2025-12-29T13:48:34.114Z,3700,92,0,-3608
"とーち",OCY4-ehNwS,2025-12-29T11:04:42.394Z,2025-12-29T12:00:36.958Z,3220,2782,0,-438
"konasho",f_d8ebrXPg,2025-12-29T11:04:05.250Z,2025-12-29T12:00:36.954Z,2246,2890,0,644
"Ene",7kPHYByVxS,2025-12-29T11:00:40.618Z,,3000,1076,3148,1224
"ノガード",WtIP2AbI23,2025-12-29T11:00:40.614Z,,3004,,3224,220
