entry,at,order
"The player ""iori tobeta @ C5nTYVaeTv"" quits the game with a stack of 1920.",2025-12-29T14:05:53.599Z,176701715359900
"The player ""sigma @ yHZrsG6l5j"" quits the game with a stack of 2310.",2025-12-29T14:00:36.752Z,176701683675201
"The player ""sigma @ yHZrsG6l5j"" stand up with the stack of 2310.",2025-12-29T14:00:36.752Z,176701683675200
"The admin ""ノガード @ WtIP2AbI23"" enqueued the game stop on next hand.",2025-12-29T14:00:34.465Z,176701683446500
"-- ending hand #167 --",2025-12-29T14:00:33.846Z,176701683384602
"""utos @ g0yui9LXM4"" collected 50 from pot",2025-12-29T14:00:33.846Z,176701683384601
"Uncalled bet of 20 returned to ""utos @ g0yui9LXM4""",2025-12-29T14:00:33.846Z,176701683384600
"""iori tobeta @ C5nTYVaeTv"" folds",2025-12-29T14:00:32.964Z,176701683296400
"""粗茶 @ oH7etbSi_s"" folds",2025-12-29T14:00:31.951Z,176701683195100
"""ノガード @ WtIP2AbI23"" folds",2025-12-29T14:00:30.905Z,176701683090500
"""sigma @ yHZrsG6l5j"" folds",2025-12-29T14:00:13.282Z,176701681328200
"""Hibari @ gG60J3OV2j"" folds",2025-12-29T14:00:12.230Z,176701681223000
"""utos @ g0yui9LXM4"" raises to 40",2025-12-29T14:00:11.147Z,176701681114700
"""Ene @ 7kPHYByVxS"" folds",2025-12-29T14:00:08.891Z,176701680889100
"""iori tobeta @ C5nTYVaeTv"" posts a big blind of 20",2025-12-29T14:00:06.290Z,176701680629010
"""粗茶 @ oH7etbSi_s"" posts a small blind of 10",2025-12-29T14:00:06.290Z,176701680629009
"Your hand is 2♠, 2♣",2025-12-29T14:00:06.290Z,176701680629002
"Player stacks: #1 ""ノガード @ WtIP2AbI23"" (3224) | #2 ""粗茶 @ oH7etbSi_s"" (1820) | #4 ""iori tobeta @ C5nTYVaeTv"" (1940) | #5 ""Ene @ 7kPHYByVxS"" (3148) | #6 ""utos @ g0yui9LXM4"" (2900) | #8 ""Hibari @ gG60J3OV2j"" (3250) | #9 ""sigma @ yHZrsG6l5j"" (2310)",2025-12-29T14:00:06.290Z,176701680629001
"-- starting hand #167 (id: qnz1qxktkjkl)  (No Limit Texas Hold'em) (dealer: ""ノガード @ WtIP2AbI23"") --",2025-12-29T14:00:06.290Z,176701680629000
"-- ending hand #166 --",2025-12-29T14:00:03.384Z,176701680338402
"""Hibari @ gG60J3OV2j"" collected 50 from pot",2025-12-29T14:00:03.384Z,176701680338401
"Uncalled bet of 25 returned to ""Hibari @ gG60J3OV2j""",2025-12-29T14:00:03.384Z,176701680338400
"""粗茶 @ oH7etbSi_s"" folds",2025-12-29T14:00:02.373Z,176701680237300
"""ノガード @ WtIP2AbI23"" folds",2025-12-29T14:00:01.100Z,176701680110000
"""sigma @ yHZrsG6l5j"" folds",2025-12-29T13:59:59.185Z,176701679918500
"""Hibari @ gG60J3OV2j"" raises to 45",2025-12-29T13:59:58.177Z,176701679817700
"""utos @ g0yui9LXM4"" folds",2025-12-29T13:59:54.190Z,176701679419000
"""Ene @ 7kPHYByVxS"" folds",2025-12-29T13:59:53.140Z,176701679314000
"""iori tobeta @ C5nTYVaeTv"" folds",2025-12-29T13:59:51.163Z,176701679116300
"""粗茶 @ oH7etbSi_s"" posts a big blind of 20",2025-12-29T13:59:49.147Z,176701678914710
"""ノガード @ WtIP2AbI23"" posts a small blind of 10",2025-12-29T13:59:49.147Z,176701678914709
"Your hand is Q♠, J♣",2025-12-29T13:59:49.147Z,176701678914702
"Player stacks: #1 ""ノガード @ WtIP2AbI23"" (3234) | #2 ""粗茶 @ oH7etbSi_s"" (1840) | #4 ""iori tobeta @ C5nTYVaeTv"" (1940) | #5 ""Ene @ 7kPHYByVxS"" (3148) | #6 ""utos @ g0yui9LXM4"" (2900) | #8 ""Hibari @ gG60J3OV2j"" (3220) | #9 ""sigma @ yHZrsG6l5j"" (2310)",2025-12-29T13:59:49.147Z,176701678914701
"-- starting hand #166 (id: vods6fzefbsv)  (No Limit Texas Hold'em) (dealer: ""sigma @ yHZrsG6l5j"") --",2025-12-29T13:59:49.147Z,176701678914700
"-- ending hand #165 --",2025-12-29T13:59:46.165Z,176701678616502
"""utos @ g0yui9LXM4"" collected 50 from pot",2025-12-29T13:59:46.165Z,176701678616501
"Uncalled bet of 26 returned to ""utos @ g0yui9LXM4""",2025-12-29T13:59:46.165Z,176701678616500
"""ノガード @ WtIP2AbI23"" folds",2025-12-29T13:59:45.355Z,176701678535500
"""sigma @ yHZrsG6l5j"" folds",2025-12-29T13:59:41.946Z,176701678194600
"""Hibari @ gG60J3OV2j"" folds",2025-12-29T13:59:40.944Z,176701678094400
